code,index,name,page,year_code,year_foundation,prov,dist,prov_code,dist_code,enc_name,source,,lon,lat,jg_id,pop_1900,pop_year
GLC_HST_PRBZ,6268Prb,Probuzna,1028,JE-17LX,1799,Galicia,Husiatyn,62,68,PROBUZNA,Jews were present from the late 18th cent,,49.03333333,25.98333333,-1051638,978,1880
GLC_GRD_IVNF,6223Jnw,Janow,,JM-16EX,1600,Galicia,Grodek,62,23,JANOW (I),Jews are mentioned in the early 17th cent,,49.91666667,23.73333333,-1061265,968,1880
GLC_SKL_VRYZ,6241Wrn,Warenz,1424,JE-15XX,1500,Galicia,Stanislawow,62,41,WARENZ,Jews lived there from the 16th cent,,50.51666667,24.1,-1048754,964,1900
PRU_WST_TCHL,6103Tch,Tuchola,1338,JF-1772,1772,Prussia,Westpreussen,61,3,TUCHOLA,Jews settled after the annexation to Prussia in 1772,,53.58333333,17.85,-533487,959,1876
PRU_PMM_SLPS,6104Stl,Stolp,1247,JM-1705,1705,Prussia,Pommern,61,4,STOLP,There is mention of a Jew in S. in 1705.,,54.45,17.03333333,-528852,958,1880
GLC_LNC_KNCZ,6228Knc,Kanczuga,594,JE-1597,1597,Galicia,Lancut,62,28,KANCZUGA,Jews were present from 1597,,49.98333333,22.41666667,-506823,949,1896
PRU_PSN_SZMT,6105Smt_2,Samter,1274,JF-1403,1403,Prussia,Posen,61,5,SZAMOTULY,Jews first settled in 1403.,,52.61666667,16.58333333,-531780,949,1871
GLC_RZS_BLZW,6238Blz,Blazowa,156,JE-17XX,1700,Galicia,Rzeszow,62,38,BLAZOWA,The Jewish settlement dates from the 18th cent,,49.88333333,22.1,-493976,942,1890
GLC_HRD_CHRT,6250Czr_2,Czortowiec,,POP-1921,1921,Galicia,Horodenka,62,50,CZORTOWIEC,In 1921 the Jewish pop. reached 317,,48.7,25.28333333,-1037182,94,1880
GLC_JSL_JSL,6209Jsl,Jaslo,566,JM-13XX,1300,Galicia,Jaslo,62,9,JASLO,Jews are mentioned in the 14th cent,,49.75,21.46666667,-505390,934,1880
BKV_SCZ_DRMN,6310Drm,Darmanesti,,POP-1930,1930,Bukovina,Suceava,63,10,DARMANESTI (II),,,47.73333333,26.15,-1157744,92,1930
GLC_DRH_DRHB,6222Drh,Drohobycz,333,JM-1404,1404,Galicia,Drohobycz,62,22,DROHOBYCZ,Jews are first mentioned in 1404,,49.35,23.5,-1038184,9181,1880
BKV_STR_NYZH,6309Unt,Unter Stanestie,1233,JF-18EX,1800,Bukovina,Storojinet,63,9,STANESTI DE JOS,Jews from Galicia and Russia settled in the late 19th cent,,48.31666667,25.56666667,-1047844,909,1890
GLC_BRZ_BRZZ,6264Brz,Brzozow,207,JF-17XX,1700,Galicia,Brzozow,62,64,BRZOZOW,Permanent settlement began in the 18th cent,,49.7,22.01666667,-495708,907,1890
PRU_SCH_MYSL,6101Mys,Myslowitz,864,JF-16XX,1600,Prussia,Schlesien,61,1,MYSLOWICE,Jews first arrived in the 17th cent,,50.23333333,19.15,-517680,900,1887
PRU_PSN_LBSZ,6105Lbs,Labischin,697,JF-1564,1564,Prussia,Posen,61,5,LABISZYN,The first Jews settled in 1564,,52.95,17.93333333,-512169,900,1850
GLC_STR_VRKH,6257Syn,Synowodzko Wyzne,,JE-15LX,1599,Galicia,Stryj,62,57,SYNOWODZKO-WYZNE,Jews were leasing land from the second half of the 16th cent,,49.1,23.58333333,-1057969,90,1880
GLC_TRK_DZWN,6245Dzw,Dzwiniacz Gorny,351,POP-1921,1921,Galicia,Turka,62,45,DZWINIACZ GORNY,,,49.15,22.78333333,-500692,90,1880
GLC_LNC_SDLC,6228Ml,Male Siedliszcze,788,JF-1851,1851,Galicia,Lancut,62,28,MALE SIEDLISZCZE,M. was founded as a J. farm settlement in 1851,,49.96666667,22.36666667,-527668,9,1880
GLC_JRS_RDYM,6224Rdy,Radymno,1051,JF-1711,1711,Galicia,Jaroslaw,62,24,RADYMNO,The few Jews allowed to settle in the town were expelled in 1711,,49.95,22.83333333,-524975,898,1880
GLC_RZS_JWRN,6238Jwr,Jawornik Polski,569,JE-18XX,1800,Galicia,Rzeszow,62,38,JAWORNIK POLSKI,Jews engaged mainly in farming in the 19th cent,,49.88333333,22.28333333,-505538,89,1880
GLC_ZBR_STRY,6274Str,Stryjowka,,,,Galicia,Zbaraz,62,74,,,,49.6,25.81666667,-1055481,88,1890
GLC_RZS_RZSZ,6238Rch,Reichshof,,JE-1340,1340,Galicia,Rzeszow,62,38,RZESZOW,Jews may have been present before the annexation of the city to Poland in 1340,,50.05,22,-527004,8785,1910
PRU_SCH_GRDK,6101Grt,Grottkau,464,JE-MA,MA,Prussia,Schlesien,61,1,GROTTKAU,"*Upper Silesia, Germany. Jews probably arrived in the Middle Ages",,50.7,17.38333333,-503349,87,1861
GLC_BRS_USTY,6220Usc,Uscie Biskupie,,,,Galicia,Borszczow,62,20,,,,48.61666667,26.1,-1057276,860,1880
PRU_OST_BRTS,6102Brt,Bartenstein,91,JE-1737,1737,Prussia,Ostpreussen,61,2,BARTENSTEIN,The first evidence of a Jewish presence in B. dates from 1737.,,54.25,20.81666667,-492966,86,1880
GLC_TRK_BRYN,6245Bry,Borynia,174,POP-1880,1880,Galicia,Turka,62,45,BORYNIA,"In 1880 there were 86 Jews in a pop. of 1,323",,49.06666667,23,-1036118,86,1880
PRU_PSN_MSTC,6105Frd_2,Friedheim,405,JE-16EX,1600,Prussia,Posen,61,5,FRIESHEIM,Two to five J. families lived in F. from the second half of the 17th cent,,53.1,17,-516056,86,1855
GLC_STR_STRZ,6243Str,Strzyzow,1255,JE-14LX,1499,Galicia,Suceava,62,43,STRZYZOW,Jews were present from the late 15th cent,,49.86666667,21.8,-530846,859,1880
BKV_WZN_VSHK,6306Wsc,Waschkoutz am Czeremosch,,,,Bukovina,Wiznitz,63,6,,,,48.38333333,25.51666667,-1057431,856,1939
PRU_PSN_SLCK,6105Sch_5,Schulitz,1158,JF-1836,1836,Prussia,Posen,61,5,SELETS,S. was founded as an agricultural colony on leased land in 1836,,53.08333333,18.21666667,-529374,85,2880
BKV_SRT_DRNS,6307Drn,Dornestie,323,JF-1774,1774,Bukovina,Sereth,63,7,DORNESTI,Jewish traders settled in 1774.,,47.86666667,26.01666667,-1158383,84,1930
PRU_OST_GLDP,6102Gld,Goldap,438,POP-1843,1843,Prussia,Ostpreussen,61,2,GOLDAP,The Jewish pop. was 60 in 1843,,54.3,22.3,-502167,84,1880
PRU_PSN_PBDZ,6105Pdw,Pudewitz,,,,Prussia,Posen,61,5,,,,52.46666667,17.3,-522417,84,1880
PRU_PSN_WLSZ,6105Wll,Wollstein,1462,JF-1530,1530,Prussia,Posen,61,5,WOLSZTYN,The first Jews arrived in 1530,,52.11666667,16.13333333,-536969,834,1846
GLC_ZLC_OLSK,6275Ols,Olesko,933,CM-15EX,1500,Galicia,Zloczow,62,75,OLESKO,The beginnings of Jewish life can be traced to the early 16th cent,,49.96666667,24.88333333,-1049235,832,1910
GLC_LMN_TYMB,6211Tym,Tymbark,,,,Galicia,Limanowa,62,11,,,,49.73333333,20.33333333,-533791,83,1890
PRU_WST_TCZN,6103Ttz,Tutz,,,,Prussia,Westpreussen,61,3,,,,53.18333333,16.15,-533513,83,1885
GLC_BCZ_USTY,6265Usc,Uscie Zielone,1363,JM-1552,1552,Galicia,Buczacz,62,65,USCIE ZIELONE,Jews are first mentioned in 1552,,49.03333333,24.96666667,-1057280,823,1880
GLC_RW_LBYC,6236Lby,Lubycza Krolewska,757,POP-1900,1900,Galicia,Rawa Ruska,62,36,LUBYCZA KROLEWSKA,"Jews comprised as much as 90% of the pop., numbering 821 in 1900",,50.33333333,23.53333333,-514490,821,1900
GLC_JSL_FRYS,6224Fry,Frysztak,406,CM-16MX,1650,Galicia,Jaslo,62,24,FRYSZTAK,The organized J community dates from the mid-17th cent,,49.83333333,21.61666667,-501016,820,1880
PRU_PMM_DBR,6104Dbr,Daber,291,JE-1700,1700,Prussia,Pommern,61,4,DABER,Jews lived in D. since 1700.,,53.58333333,15.3,-499579,82,1849
BKV_WZN_BNYL,6306Bnl,Banilla am Ceremus,84,JF-18LX,1899,Bukovina,Wiznitz,63,6,BANILA PE CEREMUS,Jews first settled in the late 19th cent,,48.36666667,25.36666667,-1034916,818,1888
BKV_KTZ_TVTR,6305Ttr,Toutry,1299,POP-1930,1930,Bukovina,Kotzman,63,5,TAUTENI,In 1930 the J. pop. was 80,,48.56666667,25.86666667,-1056070,80,1930
PRU_SCH_LWNB,6101Lwn,Loewen,745,POP-1921,1921,Prussia,Schlesien,61,1,LOEWEN,The Jewish pop. was 28,,50.75,17.61666667,-513279,80,1880
PRU_SCH_LDKZ,6101Lnd_3,Landeck,,,,Prussia,Schlesien,61,1,LANDECK,,,50.35,16.88333333,-512252,8,1850
GLC_BRD_STNS,6263Stn,Stanislawczyk,1233,POP-1880,1880,Galicia,Brody,62,63,STANISLAWCZYK,The Jewish community grew to 795 or half the pop. in 1880,,50.16666667,24.9,-1054909,795,1880
PRU_PSN_CHDZ,6105Chd,Chodziez,,,,Prussia,Posen,61,5,CHODZIEZ,,,52.98333333,16.91666667,-496967,795,1871
PRU_PSN_GRDZ,6105Grd,Grodzisk Wielkopolski,459,JF-15LX,1599,Prussia,Posen,61,5,GRODZISK WIELKOPOLSKI,Jews first settled in the late 16th cent,,52.23333333,16.36666667,-503428,793,1875
PRU_SCH_ZBRZ,6101Hnd,Hindenburg,514,JF-18EX,1800,Prussia,Schlesien,61,1,HINDENBURG,Jewish settlement commenced in the early 19th cent,,50.31666667,18.78333333,-537912,789,1895
BKV_SDG_BYNY,6303Bjn,Bojan,165,JE-1860,1860,Bukovina,Sadagora,63,3,BOIAN,Jews were granted permission to settle in 1860.,,48.28333333,26.13333333,-1036272,781,1880
PRU_OST_SVTS,6102Tls,Tilsit,,JF-18EX,1800,Prussia,Ostpreussen,61,2,TILSIT,Jews settled in T. at the beginning of the 19th cent,,55.06666667,21.88333333,-3008427,780,1895
GLC_CSZ_NRL,6230Nrl,Narol,875,CF-16XX,1600,Galicia,Cieszanow,62,30,NAROL,A flourishing community developed in the 17th cent,,50.35,23.31666667,-517886,779,1880
BKV_RDT_RDT,6308Rdt,Radautz,1044,JF-17LX,1799,Bukovina,Radautz,63,8,RADAUTI,Jews settled in the late 18th cent,,47.85,25.91666667,-1168196,7754,1911
GLC_NWY_NWYT,6216Nwy,Nowy Targ,912,JE-17LX,1799,Galicia,Nowy Targ,62,16,NOWY TARG,Few Jews were present until the late 18th cent,,49.48333333,20.03333333,-519152,773,1890
GLC_SKL_TRTK,6241Trt,Tartakow,1296,JF-17LX,1799,Galicia,Sokal,62,41,TARTAKOW,,,50.46666667,24.4,-1056029,770,1880
GLC_LNC_WLZR,6228Wl,Wola Zarzycka,1457,POP-1921,1921,Galicia,Lancut,62,28,WOLA ZARCZYCKA,The Jewish pop. in 1921 was 101,,50.3,22.25,-536584,77,1890
PRU_OST_GRWI,6102Lnd,Landsberg,703,POP-1858,1858,Prussia,Ostpreussen,61,2,LANDSBERG,East The Jewish pop. stood at 211 in 1858,,54.28333333,20.5,-502540,77,1884
PRU_PMM_DB,6104Alt,Altdamm,32,JE-1481,1481,Prussia,Pommern,61,4,ALTDAMM,for nine Jews in 1481 constitute the first evidence of  Jewish settlement here.,,53.4,14.66666667,-498582,77,1849
GLC_KMN_DDYL,6267Dzd,Dziedzilow,,,,Galicia,Kamionka Strumilowa,62,67,,,,49.93333333,24.36666667,-1037569,76,1880
PRU_SCH_BLPR,6101Zlz,Zuelz,1520,JE-14XX,1400,Prussia,Schlesien,61,1,ZUELZ,Jews were present continuously from at least the 15th cent,,50.38333333,17.65,-493258,755,1840
GLC_ZYD_ZHYD,6260Zhy,Zhydachiv,1522,JE-14MX,1450,Galicia,Zywiec,62,60,ZYDACZOW,Jews are recorded in the mid-15th cent,,49.38333333,24.13333333,-1952639,752,1890
GLC_BRD_SHCH,6263Szc,Szczurowice,1277,JM-1570,1570,Galicia,Brody,62,63,SZCZUROWICE,Jews are first mentioned in 1570,,50.26666667,25.03333333,-1053576,752,1880
GLC_GRY_BBW,6223Bbw,Bobowa,157,CE-1765,1765,Galicia,Grybow,62,23,BOBOWA,A community of 44 families lived there  in 1765,,49.7,20.93333333,-494126,749,1900
GLC_SNK_BKWS,6240Bkw,Bukowsko,221,JF-17XX,1700,Galicia,Sanok,62,40,BUKOWSKO,Jews settled in the 18th cent,,49.48333333,22.06666667,-496259,748,1900
GLC_TRM_DRKH,6273Drc,Darachow,292,POP-1921,1921,Galicia,Trembowla,62,73,DARACHOW,The Jewish pop. in 1921 was 109.,,49.3,25.55,-1037514,74,1880
PRU_WST_GRDZ,6103Grd,Grudziondz,465,CF-16XX,1600,Prussia,Westpreussen,61,3,GRUDZIONDZ,The Jewish community was founded in the 17th cent,,53.48333333,18.76666667,-503551,730,1938
PRU_OST_YSNY,6102Kkh,Kaukehmen,604,X,X,Prussia,Ostpreussen,61,2,KAUKEHMEN,K. was a part of the Tilsit community. It had 73 members in 1925,,55.18333333,21.55,-3039599,73,1925
GLC_CZR_ULSH,6266Uls,Ulaszkivtsi,1359,CM-18XX,1800,Galicia,Czortkow,62,66,ULASZKOWCE,The Jewish community began to develop in the 19th cent,,48.9,25.83333333,-1057106,728,1880
GLC_KMN_STYN,6267Stj,Stojanow,1246,JF-1629,1629,Galicia,Kamionka Strumilowa,62,67,STOJANOW,Jews first arrived in 1629,,50.36666667,24.65,-1055371,726,1900
GLC_WDW_WDWC,6217Wdw,Wadowice,1420,X,X,Galicia,Wadowice,62,17,WADOWICE,Residence restrictions delayed the development of a Jewish community until the 1860,,49.88333333,19.48333333,-534197,722,1880
BKV_WZN_YBLN,6306Ibl,Iablonita,538,JF-18LX,1899,Galicia,Zaleszczyki,63,6,IABLONITA,Jews settled in the late 19th cent,,48.03333333,24.91666667,-1059226,72,1930
GLC_TRK_BTLY,6245Btl,Butla,225,POP-1921,1921,Galicia,Turka,62,45,BUTLA,The Jewish pop. in 1921 was 182.,,48.96666667,22.96666667,-1035671,72,1880
GLC_BRS_VRKH,6220Krz,Krzywcze Gorne,686,JE-17MX,1750,Galicia,Borszczow,62,20,KRZYWCZE GORNE,A Jewish settlement apparently existed from the mid-18th cent,,48.7,26.11666667,-1057967,719,1880
PRU_SCH_OPL,6101Opp,Oppeln,939,JE-1396,1396,Prussia,Schlesien,61,1,OPPELN,A number of Jewish families were present in 1396,,50.66666667,17.95,-519973,718,1895
PRU_SCH_GLGW,6101Glg,Glogau,434,JM-1280,1280,Prussia,Schlesien,61,1,GLOGAU,Jews are mentioned in 1280,,51.66666667,16.1,-501806,716,1900
GLC_TLM_NYZH,6259Nzn,Nizniow,897,JF-16XX,1600,Galicia,Tlumacz,62,59,NIZNIOW,Jews settled with the founding of the town in the 17th cent,,48.95,25.08333333,-1047832,711,1880
PRU_SCH_NWSL,6101Nsl,Neusalz,884,POP-1925,1925,Prussia,Schlesien,61,1,NEUSALZ,The Jewish pop. was 71 in 1925,,51.8,15.71666667,-518601,71,1925
PRU_SCH_SWBD,6101Frb,Freiburg,402,JM-1230,1230,Prussia,Schlesien,61,1,FREIBURG,Jews are first mentioned in 1230,,50.86666667,16.33333333,-531408,71,1890
BKV_RDT_SLC,6308Slk,Solka,1266,JF-18EX,1800,Bukovina,Radautz,63,8,SUWALKI,The J. commun ity originated in the beginning of the 19th cent,,47.7,25.85,-1170982,71,1880
GLC_PLZ_PLZN,6276Plz,Pilzno,990,JF-1860,1860,Galicia,Podhajce,62,76,PILZNO,Few Jews settled in P. until the residence ban was lifted in 1860,,49.96666667,21.3,-521931,707,1900
PRU_PSN_PNWY,6105Pnn,Pinne,1005,JF-13XX,1300,Prussia,Posen,61,5,PNIEWY,A Jewish settlement with a cemetery existed from the 14th cent,,52.51666667,16.26666667,-522399,707,1837
PRU_OST_GVRD,6102Tp,Tapiau,1287,POP-1895,1895,Prussia,Ostpreussen,61,2,TAPIAU,In 1895,,54.65,21.06666667,-2913552,70,1895
GLC_RZS_ZGLB,6238Zgl,Zglobien,1507,POP-1766,1766,Galicia,Sadagora,62,38,ZHLOBIN,The J. pop. rose from 268 in 1766.,,50.01666667,21.85,-539607,70,1890
GLC_KLM_BNYB,6226Bn,Bania Berezow,,,,Galicia,Kolomyja,62,26,,,,48.41666667,24.75,-1034922,7,1880
GLC_BCZ_BCHC,6262Bcz,Buczacz,,JE-1500,1500,Galicia,Buczacz,62,62,BUCZACZ,A Jewish presence 1s noted from 1500,,49.08333333,25.4,-1036442,6976,1890
GLC_BRD_LSHN,6263Lsz,Leszniw,724,JE-16EX,1600,Galicia,Brody,62,63,LESZNIOW,Jews were present from the early 17th cent,,50.23333333,25.08333333,-1044632,696,1890
GLC_TRN_ZBN,6206Zbn,Zabno,,,,Bukovina,Tlumacz,62,6,ZABNO,,,50.13333333,20.9,-537811,696,1890
PRU_SCH_GRLT,6101Grl,Goerlitz,437,JF-12EX,1200,Prussia,Schlesien,61,1,GOERLITZ,Jews probably arrived with the foundation of the city in the first half of  the 13th cent,,51.16666667,15,-1777715,691,1885
GLC_STR_SKLV,6242Fls,Felsztyn,380,JE-16EX,1600,Galicia,Stare Miasto,62,42,FELSZTYN,Jews were present from the early 17th cent,,49.53333333,22.96666667,-1054163,690,1900
BKV_STR_BNYL,6309Bnl,Banilla am Sereth,84,JF-18EX,1800,Bukovina,Storojinet,63,9,BANILA PE SIRET,Jews first settled in the early 19th cent,,48.08333333,25.48333333,-1034915,687,1930
GLC_CHR_JWRZ,6204Jwr,Jaworzno,569,CM-18MX,1850,Galicia,Chrzanow,62,4,JAWORZNO,The Jewish settlement began to grow only in the mid-19th cent,,50.21666667,19.28333333,-505580,684,1890
GLC_STR_STRL,6242Str,Strzylki,1255,POP-1921,1921,Galicia,Stare Miasto,62,42,STRZYLKI,The Jewish pop. in 1921 was 242,,49.33333333,22.98333333,-1055407,68,1880
GLC_SKL_TVST,6271Tst,Touste,1318,JE-17EX,1700,Galicia,Sniatyn,62,71,TOUSTE,Jews lived there from the early 18th cent,,49.26666667,26.08333333,-1056411,671,1880
GLC_BRZ_SZCZ,6203Szc,Szczurowa,1276,POP-1921,1921,Galicia,Brzesko,62,3,SZCZUROWA,The Jewish pop. in 1921 was 132,,50.11666667,20.65,-532016,67,1890
GLC_MYS_MKWP,6212Mkw,Makow Podhalanski,788,CE-18LX,1899,Galicia,Myslenice,62,12,MAKOW PODHALANSKI,A community of 100-200 Jews (5% of the total) existed from the late 19th cent,,49.73333333,19.68333333,-515179,67,1881
GLC_NWY_STRY,6215Str,Stary Sacz,,JM-1469,1469,Galicia,Nowy Sacz,62,15,STARY SONCZ,Jews are first mentioned in 1469,,49.56666667,20.65,-530111,666,1910
GLC_NWY_STRY,6215Str,Stary Sacz,,JM-1469,1469,Galicia,Nowy Sacz,62,15,STARY SONCZ,Jews are first mentioned in 1469,,49.56666667,20.65,-530111,666,1910
GLC_NWY_STRY,6215Str_2,Stary Sacz,1238,JM-1469,1469,Galicia,Nowy Sacz,62,15,STARY SONC,Jews are first mentioned in 1469,,49.56666667,20.65,-530111,666,1910
GLC_NWY_STRY,6215Str_2,Stary Sacz,1238,JM-1469,1469,Galicia,Nowy Sacz,62,15,STARY SONC,Jews are first mentioned in 1469,,49.56666667,20.65,-530111,666,1910
GLC_PRZ_DBCK,6234Dbc,Dubieck,335,JM-1622,1622,Galicia,Przemysl,62,34,DUBIECKO,Jews are recorded from 1622 and from the early 18th cent,,49.81666667,22.38333333,-500185,666,1880
PRU_WST_CHLM2,6103Chl_2,Chelmza,,,,Prussia,Westpreussen,61,3,CHELMZA,,,53.18333333,18.61666667,-496761,664,1885
GLC_STN_MRYM,6258Mrm,Mariampol,794,JF-16LX,1699,Galicia,Stanislawow,62,58,MARIAMPOL,Jews settled in the second half of the 17th cent,,49.03333333,24.85,-1045982,663,1890
GLC_HRD_CHRN,6202Czr,Czernelica,288,CE-17EX,1700,Galicia,Horodenka,62,2,CZERNELICA,The Jewish community existed from the early 18th cent,,48.81666667,25.43333333,-1037037,662,1880
GLC_TRK_SKLK,6245Skl,Sokoliki Gorskie,1211,POP-1921,1921,Galicia,Turka,62,45,SOKOLIKI GORSKIE,The Jewish pop. was 292 in 1921.,,49.1,22.86666667,-1054575,66,1880
GLC_STR_STRY2,6257Str,Stryj,,X,X,Galicia,Stryj,62,57,STRYJ,,,49.25,23.85,-1055479,6572,1890
GLC_TRN_RDMY,6244Rdm,Radomysl nad Sanem,1048,JM-1765,1765,Galicia,Tarnobrzeg,62,44,RADOMYSL NAD SANEM,Jews are first recorded in 1765,,50.68333333,21.95,-524876,654,1900
GLC_KSW_VRKH,6251Zb,Zabie,1478,CM-1880s,1880s,Galicia,Kosow,62,51,ZABIE,The Jews were organized as an independent commun ity in the 1880,,48.15,24.8,-1058044,654,1890
PRU_SCH_SYCW,6101Grs_2,Gross Wartenberg,463,JE-1657,1657,Prussia,Schlesien,61,1,GROSS WARTENBERG,A small Jewish community made up mainly of Polish refugees was present by 1657.,,51.3,17.71666667,-531689,65,1910
GLC_DBR_WJTK,6221Wjt,Wojtkowa,,POP-1921,1921,Galicia,Dobromil,62,21,WOJTKOWA,The Jewish pop. in 1921 was 113.,,49.56666667,22.56666667,-536202,65,1890
GLC_RHT_KNHY,6256Knh,Knihynicze,637,JE-17XX,1700,Galicia,Rohatyn,62,56,KNIHYNICZE,The Jewish settlement dating from the 18th cent,,49.38333333,24.46666667,-1042227,648,1880
PRU_WST_KRJN,6103Krj,Krajenke,679,JM-1557,1557,Prussia,Westpreussen,61,3,KROJANKE,Jews are first mentioned in 1557,,53.3,16.98333333,-510586,648,1851
BKV_KTZ_KTSM,6305Csm,Cosmeni,274,CE-18LX,1899,Bukovina,Kotzman,63,5,COSMENI,À Jewish community existed in the late 19th cent,,48.45,25.76666667,-1042070,647,1930
PRU_WST_WLCZ,6103Dts_2,Deutsch Krone,307,JE-1772,1772,Prussia,Westpreussen,61,3,DEUTSCH KRONE,,,53.26666667,16.46666667,-534242,647,1871
GLC_PRZ_NYZH,6234Nzn,Nizankowice,896,JM-1602,1602,Galicia,Przemysl,62,34,NIZANKOWICE,Jews are mentioned from 1602,,49.68333333,22.81666667,-1047796,643,1880
GLC_BBR_BRZD,6219Brz,Berezdivtsi,207,CM-16LX,1699,Galicia,Bobrka,62,19,BRZOZDOWCE,The community apparently dates from the late 17th cent,,49.45,24.15,-1035407,640,1880
PRU_PSN_SKWR,6105Sch_4,Schwerin an der Warthe,1154,JM-1507,1507,Prussia,Posen,61,5,SCHWERIN AN DER WARTHE,Jews are first mentioned in 1507,,52.6,15.5,-528506,640,1871
GLC_KLS_DLZH,6249Dlz,Dolzhka,320,POP-1921,1921,Galicia,Kalusz,62,49,DOLZKA,The Jewish pop. in 1921 was 141.,,49.16666667,24.48333333,-1038046,64,1880
GLC_WDW_ANDR,6217And,Andrychow,44,JF-18EX,1800,Galicia,Wadowice,62,17,ANDRYCHOW,Jews settled in the first half of the 19th cent,,49.85,19.35,-492267,635,1880
GLC_CHR_TRZB,6204Trz,Trzebinia,1337,JF-16LX,1699,Galicia,Chrzanow,62,4,TRZEBINIA,Jews first settled in the late 17th cent,,50.16666667,19.48333333,-533363,634,1880
GLC_ZYD_MYKL,6260Mkl,Mikolajow,822,JE-16EX,1600,Galicia,Zydaczow,62,60,MIKOLAJOW,Jews were present from the early 17th cent,,49.51666667,23.98333333,-1047258,632,1910
BKV_KTZ_ZSTV,6305Zst,Zastawna,1492,CF-1891,1891,Galicia,Kotzman,63,5,ZASTAVNA,The J. community received official recognition in 1891,,48.51666667,25.85,-1060291,629,1930
PRU_SCH_TRNW,6101Trn,Tarnowitz,1296,JM-1732,1732,Prussia,Schlesien,61,1,TARNOWSKIE GORY,Jews are first mentioned in 1732,,50.45,18.86666667,-532708,627,1890
GLC_ZYW_ZYWC,6213Zyw,Zywiec,,,,Galicia,,62,13,ZYWIEC,,,49.68333333,19.21666667,-540364,624,1921
PRU_PSN_KRNW,6105Crn,Crone an der Brahe,659,JF-1772,1772,Prussia,Posen,61,5,KORONOWO,Jews apparently settled only after the Prussian annexation in 1772,,53.31666667,17.95,-509807,620,1871
BKV_KMP_VM,6301Vm,Vama,1374,JF-18EX,1800,Bukovina,Kimpolung,63,1,VAMA,Jews settled in the late 19th cent,,47.56666667,25.68333333,-1174276,618,1910
GLC_HST_SKHS,6268Skh,Sukhostaw,1260,POP-1880,1880,Galicia,Husiatyn,62,68,SUCHOSTAW,The community grew to 614,,49.13333333,25.86666667,-1055614,614,1880
GLC_DLN_PRHN,6248Prh,Perehinsko,979,POP-1921,1921,Galicia,Dolina,62,48,PEREHINSKO,The Jews numbered 612 in 1921,,48.81666667,24.18333333,-1050093,612,1921
GLC_RW_RVRS,6236Rw,Rawa Ruska,1061,JF-1624,1624,Galicia,Rawa Ruska,62,36,RAWA RUSKA,The first Jews arrived with the founding of the town in 1624.,,50.25,23.61666667,-1052059,6112,1910
GLC_CZR_PLSH,6266Psz,Pauszowka,,,,Galicia,Czortkow,62,66,,,,48.96666667,25.56666667,-1049786,61,1931
BKV_RDT_STRJ,6308Str,Strasza,1251,JM-1331,1331,Bukovina,Radautz,63,8,STRAZ,Jews are mentioned in 1331,,47.91666667,25.55,-1171482,61,1880
GLC_ZYD_HNZD,6260Hnz,Hnizdychiv,516,POP-1921,1921,Galicia,Zydaczow,62,60,HNIZDYCZOW,The Jewish pop. in 1921 was 100.,,49.35,24.11666667,-1039103,61,1880
