line,locality,district,juridiction_dicstrict,type,page,serial_no,area_hectares,population_male,population_female,population_total,religion_catholic,religion_greek,religion_jewish,religion_other,c1,c2,village,belong,sum_type,vide,wrong_sum,,,
56,Polanka Wielka,Borszczów,Oświęcim,Gutsgebiete,17,11,610,68,73,141,136,1,4,,,,0,ad 15,,,0,,,
57,Poręba Wielka,Borszczów,Oświęcim,Gutsgebiete,17,12,573,8,11,19,19,,,,,,0,ad 16,,,0,,,
58,Rajsko,Borszczów,Oświęcim,Gutsgebiete,17,13,312,7,14,21,18,,,3,,,0,ad 18,,,0,,,
59,Włosienica,Borszczów,Oświęcim,Gutsgebiete,17,14,258,10,13,23,23,,,,,,0,ad 22,,,0,,,
60,Zaborze,Borszczów,Oświęcim,Gutsgebiete,17,15,281,9,8,17,16,,,1,,,0,ad 23,sum_gutsgebiete,,0,,,
61,Summe der Gutsgebiete,Borszczów,Oświęcim,Gutsgebiete,17,,5003,285,318,603,555,2,34,12,,,0,,sum_gb,,0,,,
62,"Summe des GB. Auschwitz, Oświęcim",Borszczów,Oświęcim,Ortsgemeinden,17,,17117,11455,12498,23953,19633,45,4180,95,,,0,,,,0,,,
64,Ortsgemeinden:,Borszczów,Biała,Ortsgemeinden,17,,,,,,,,,,,,0,,,,,,,
65,Bestwina,Borszczów,Biała,Ortsgemeinden,17,1,1356,877,908,1785,1755,,29,1,,,0,,,,0,,,
66,Bestwinka,Borszczów,Biała,Ortsgemeinden,17,2,730,400,444,844,836,,9,6,,,0,,,,1,,,
67,Bestwinka,Borszczów,Biała,Ortsgemeinden,17,1,328,361,,689,681,,,6,,,0,,,,1,,,
68,Kaniów Bestwiński,Borszczów,Biała,Ortsgemeinden,17,2,72,83,,155,155,,,,,,0,,,,0,,,
69,"Biala, Biała",Borszczów,Biała,Ortsgemeinden,17,3,50,3867,4390,8257,6029,32,1088,1108,,,0,,,,0,,,
70,"Biala Stadt, Biała Miasto",Borszczów,Biała,Ortsgemeinden,17,1,2884,3372,,6256,,,,,,,0,,,,1,,,
71,darunter Militär,Borszczów,Biała,Ortsgemeinden,17,,,1,,1,,,,,,,0,,,,1,,,
72,"Biala Vorstadt, Biała Przedmieście",Borszczów,Biała,Ortsgemeinden,17,2,983,1018,,2001,,,,,,,0,,,vide 27,1,,,
73,Bór Łodygowski,Borszczów,Biała,Ortsgemeinden,17,4,27,75,78,,153,153,,,,,0,,,vide 27,1,,,
74,Bór Wilkowski,Borszczów,Biała,Ortsgemeinden,17,5,27,84,92,,176,176,,,,,0,,,,1,,,
75,Buczkowice,Borszczów,Biała,Ortsgemeinden,17,6,647,1032,1100,2132,2070,,55,7,,,0,,,,0,,,
76,Bystra,Borszczów,Biała,Ortsgemeinden,17,7,847,465,482,,947,947,,,,,0,,,,1,,,
77,Dankowice,Borszczów,Biała,Ortsgemeinden,17,8,1139,565,727,1292,1968,,94,,,,0,,,,1,,,
78,Dankowice,Borszczów,Biała,Ortsgemeinden,17,1,463,595,1058,,1084,,94,,,,0,,,,1,,,
79,Kaniów Dankowski,Borszczów,Biała,Ortsgemeinden,17,2,102,132,,234,234,,,,,,0,,,,0,,,
80,Godziska Nowa,Borszczów,Biała,Ortsgemeinden,17,9,113,139,,252,252,,,,,,0,,,,0,,,
81,Godziska Stara,Borszczów,Biała,Ortsgemeinden,17,10,315,239,251,,490,479,,18,,,0,,,,1,,,
82,Godziska Wilkowska,Borszczów,Biała,Ortsgemeinden,17,11,,129,146,,275,275,,,,,0,,,,1,,,
83,Hałcnów,Borszczów,Biała,Ortsgemeinden,17,12,835,1224,1392,2616,2604,1,11,,,,0,,,,0,,,
84,Hucisko,Borszczów,Biała,Ortsgemeinden,17,13,186,110,99,,209,209,,,,,0,,,,1,,,
85,Janowice,Borszczów,Biała,Ortsgemeinden,17,14,708,376,397,,773,773,,,,,0,,,,1,,,
86,Kalna,Borszczów,Biała,Ortsgemeinden,17,15,83,177,216,,393,393,,,,,0,,,,1,,,
87,Kaniów Stary,Borszczów,Biała,Ortsgemeinden,17,16,981,473,503,,976,951,,11,14,,0,,,,1,,,
88,Komorowice,Borszczów,Biała,Ortsgemeinden,17,17,1109,1314,1423,2737,2661,,73,3,,,0,,,,0,,,
89,Bark,Borszczów,Biała,Ortsgemeinden,17,1,234,231,,465,445,,20,,,,0,,,,0,,,
90,Komorowice,Borszczów,Biała,Ortsgemeinden,17,2,1080,1192,,2272,2216,,53,3,,,0,,,,0,,,
91,Kozy,Borszczów,Biała,Ortsgemeinden,17,18,1358,1801,1892,3693,3646,1,40,6,,,0,,,,0,,,
92,Lipnik,Borszczów,Biała,Ortsgemeinden,17,19,2076,3978,4439,8417,6855,,508,1052,,,0,,,,1,,,
93,Leszczyny,Borszczów,Biała,Ortsgemeinden,17,1,355,419,,774,641,,13,120,,,0,,,,0,,,
94,Lipnik,Borszczów,Biała,Ortsgemeinden,17,2,3623,4020,,7643,6914,2,495,932,,,0,,,,1,,,
95,Meszna,Borszczów,Biała,Ortsgemeinden,17,20,184,191,197,,388,388,,,,,0,,,,1,,,
96,Międzybrodzie Lipnickie,Borszczów,Biała,Ortsgemeinden,19,21,1817,711,790,1501,1495,6,,,,,0,,,,0,,,
97,Mikuszowice,Borszczów,Biała,Ortsgemeinden,19,22,345,513,547,1060,998,,5,57,,,0,,,,0,,,
98,Rybarzowice,Borszczów,Biała,Ortsgemeinden,19,23,780,742,730,1472,1461,,11,,,,1,,,vide 26,0,,,
99,Salmopol,Borszczów,Biała,Ortsgemeinden,19,24,26,89,80,169,50,,,119,,,1,,,,0,,,
100,Straconka,Borszczów,Biała,Ortsgemeinden,19,25,1292,773,803,1576,1576,,,,,,1,,,,0,,,
101,Szczyrk,Borszczów,Biała,Ortsgemeinden,19,26,1896,1216,1249,2465,2448,,13,4,,,1,,,,0,,,
102,Wilkowice,Borszczów,Biała,Ortsgemeinden,19,27,469,1163,1244,2407,2389,,18,,,,0,,sum_ortsgemeinden,,0,,,
103,Summe der Ortsgemeinden,Borszczów,Biała,Ortsgemeinden,19,,19203,22697,24758,47455,43130,36,1912,2377,,,0,,,,0,,,
104,Buczkowice,Borszczów,Biała,Gutsgebiete,19,1,6,9,17,26,20,,,6,,,0,ad 6,,,0,,,
105,Hafeńów,Borszczów,Biała,Gutsgebiete,19,2,176,18,35,53,48,,,5,,,0,ad 12,,,0,,,
106,Kozy,Borszczów,Biała,Gutsgebiete,19,3,745,74,86,160,155,,,5,,,0,ad 18,,,0,,,
107,Mikuszowice,Borszczów,Biała,Gutsgebiete,19,4,37,8,11,19,16,,,3,,,0,ad 22,,,0,,,
108,Rybarzowice,Borszczów,Biała,Gutsgebiete,19,5,105,27,37,64,64,,,,,,0,ad 23,,,0,,,
109,Szczyrk,Borszczów,Biała,Gutsgebiete,19,6,2011,6,9,15,12,,,3,,,0,ad 26,,,0,,,
110,Wilkowice,Borszczów,Biała,Gutsgebiete,19,7,925,12,10,22,17,2,,3,,,0,ad 27,sum_gutsgebiete,,0,,,
111,Summe der Gutsgebiete,Borszczów,Biała,Gutsgebiete,19,,4005,154,205,359,332,2,6,19,,,0,,sum_gb,,0,,,
112,"Summed GB Biala, Biała",Borszczów,Biała,Ortsgemeinden,19,,23208,22851,24963,47814,43462,38,1918,2396,,,0,,,,0,,,
113,Bielany,Borszczów,Kęty,Ortsgemeinden,19,1,832,458,542,1000,1000,,,,,,0,,,,0,,,
114,Bielany,Borszczów,Kęty,Ortsgemeinden,19,1,,294,367,661,661,,,,,,1,,,,0,,,
115,Zasolany,Borszczów,Kęty,Ortsgemeinden,19,2,,164,175,339,339,,,,,,1,,,,0,,,
116,Bujaków,Borszczów,Kęty,Ortsgemeinden,19,2,442,512,618,1130,1123,,,7,,,1,,,,0,,,
117,Bulowice,Borszczów,Kęty,Ortsgemeinden,19,3,1348,1228,1285,2513,2453,,60,,,,0,,,,0,,,
118,Czaniec,Borszczów,Kęty,Ortsgemeinden,19,4,1729,1221,1336,2557,2501,,50,6,,,1,,,,0,,,
119,Hecznarowice,Borszczów,Kęty,Ortsgemeinden,19,5,684,388,452,840,829,,11,,,,1,,,,0,,,
120,Kańczuga,Borszczów,Kęty,Ortsgemeinden,19,6,52,150,176,326,315,,11,,,,1,,,,0,,,
121,Kety,Borszczów,Kęty,Ortsgemeinden,19,7,2188,2606,2859,5465,5107,10,343,5,,,0,,,,0,,,
122,Czajki,Borszczów,Kęty,Ortsgemeinden,19,1,,14,23,37,37,,,,,,0,,,,0,,,
123,Góry Północne,Borszczów,Kęty,Ortsgemeinden,19,2,,113,160,273,278,,,,,,1,,,,1,,,
124,Góry Południowe,Borszczów,Kęty,Ortsgemeinden,19,3,,161,169,330,330,,,,,,1,,,,0,,,
125,Kety,Borszczów,Kęty,Ortsgemeinden,19,4,,2036,2209,4245,3887,10,343,5,,,1,,,,0,,,
126,darunter Militär,Borszczów,Kęty,Ortsgemeinden,19,,,138,,138,137,,,1,,,0,,,,0,,,
127,Podlasy,Borszczów,Kęty,Ortsgemeinden,19,5,,282,298,580,580,,,,,,1,,,,0,,,
128,Kobiernice,Borszczów,Kęty,Ortsgemeinden,19,8,634,645,726,1371,1346,,25,,,,1,,,,0,,,
129,Łęki,Borszczów,Kęty,Ortsgemeinden,19,9,403,354,398,752,745,,,7,,,1,,,,0,,,
130,Malec,Borszczów,Kęty,Ortsgemeinden,19,10,241,240,246,486,478,,3,5,,,1,,,,0,,,
131,Międzybrodzie Kobiernickie,Borszczów,Kęty,Ortsgemeinden,19,11,738,496,545,1041,1019,,22,,,,0,,,,0,,,
132,Nowa Wieś,Borszczów,Kęty,Ortsgemeinden,21,12,450,374,386,760,755,,5,,,,1,,,,0,,,
133,Osiek,Borszczów,Kęty,Ortsgemeinden,21,13,1900,1375,1407,2782,2753,,29,,,,0,,,,0,,,
134,Pisarzowice,Borszczów,Kęty,Ortsgemeinden,21,14,1281,819,903,1722,1715,,7,,,,0,,,,0,,,
135,Porąbka,Borszczów,Kęty,Ortsgemeinden,21,15,3260,1106,1163,2269,2260,,9,,,,1,,,,0,,,
136,Stara Wieś Dolna,Borszczów,Kęty,Ortsgemeinden,21,16,322,178,207,385,385,,,,,,1,,,,0,,,
137,Stara Wieś Górna,Borszczów,Kęty,Ortsgemeinden,21,17,422,251,279,530,530,,,,,,1,,,,0,,,
138,Wilamowice,Borszczów,Kęty,Ortsgemeinden,21,18,1039,743,976,1719,1677,,42,,,,1,,,,0,,,
139,Witkowice,Borszczów,Kęty,Ortsgemeinden,21,19,706,505,481,986,979,,7,,,,1,,sum_ortsgemeinden,,0,,,
140,Summe der Ortsgemeinden,Borszczów,Kęty,Ortsgemeinden,21,,18671,13649,14985,28634,27970,13,640,11,,,0,,,,0,,,
141,Bielany,Borszczów,Kęty,Gutsgebiete,21,1,171,6,11,17,17,,,,,,0,ad 1,,,0,,,
142,Bujaków,Borszczów,Kęty,Gutsgebiete,21,2,209,5,2,7,7,,,,,,0,ad 2,,,0,,,
143,Bulowice,Borszczów,Kęty,Gutsgebiete,21,3,561,55,77,132,121,,11,,,,0,ad 3,,,0,,,
144,Hecznarowice,Borszczów,Kęty,Gutsgebiete,21,4,80,12,19,31,31,,,,,,0,ad 5,,,0,,,
145,Kańczuga,Borszczów,Kęty,Gutsgebiete,21,5,109,14,10,24,11,,13,,,,0,ad 6,,,0,,,
146,Kobiernice,Borszczów,Kęty,Gutsgebiete,21,6,223,59,15,74,72,2,,,,,0,ad 8,,,0,,,
147,Łęki,Borszczów,Kęty,Gutsgebiete,21,7,274,26,25,51,51,,,,,,0,ad 9,,,0,,,
148,Malec,Borszczów,Kęty,Gutsgebiete,21,8,222,28,34,62,62,,,,,,0,ad 10,,,0,,,
149,Międzybrodzie Kobiernickie,Borszczów,Kęty,Gutsgebiete,21,9,541,2,2,4,4,,,,,,0,ad 11,,,0,,,
150,Nowa Wieś,Borszczów,Kęty,Gutsgebiete,21,10,289,30,25,55,46,,9,,,,0,ad 12,,,0,,,
151,Osiek Dolny,Borszczów,Kęty,Gutsgebiete,21,11,781,107,122,229,215,,7,7,,,0,ad 13,,,0,,,
152,Osiek Górny,Borszczów,Kęty,Gutsgebiete,21,12,208,24,26,50,45,,,5,,,0,ad 13,,,0,,,
153,Pisarzowice,Borszczów,Kęty,Gutsgebiete,21,13,119,85,77,162,152,,5,5,,,0,ad 14,,,0,,,
154,Stara Wieś Dolna,Borszczów,Kęty,Gutsgebiete,21,14,138,19,28,47,47,,,,,,0,ad 16,,,0,,,
155,Stara Wieś Górna,Borszczów,Kęty,Gutsgebiete,21,15,116,13,14,27,26,,,1,,,0,ad 17,,,0,,,
156,Witkowice,Borszczów,Kęty,Gutsgebiete,21,16,439,54,65,119,119,,,,,,0,ad 19,sum_gutsgebiete,,0,,,
157,Summe der Gutsgebiete,Borszczów,Kęty,Gutsgebiete,21,,4480,539,552,1091,1026,2,45,18,,,0,,sum_gb,,0,,,
158,Summe des GB Kęty,Borszczów,Kęty,Ortsgemeinden,21,,23151,14188,15537,29725,28996,15,685,29,,,0,,,,0,,,
159,Bakowce,Borszczów,Chodorów,Ortsgemeinden,23,1,403,242,246,488,117,362,9,,,,0,,,,0,,,
160,Bakowce,Borszczów,Chodorów,Ortsgemeinden,23,1,209,219,428,111,308,9,,,,,0,,,,1,,,
161,Hajduczyzna,Borszczów,Chodorów,Ortsgemeinden,23,2,33,27,60,6,54,,,,,,0,,,,1,,,
162,Berteszów,Borszczów,Chodorów,Ortsgemeinden,23,2,353,242,221,463,4,448,11,,,,1,,,,0,,,
163,Bóbrka,Borszczów,Chodorów,Ortsgemeinden,23,3,1602,2581,2734,5315,1350,1432,2500,33,,,0,,,,0,,,
164,Bóbrka,Borszczów,Chodorów,Ortsgemeinden,23,1,2425,2570,4995,1197,1276,2489,33,,,,0,,,,1,,,
165,darunter Militär,Borszczów,Chodorów,Ortsgemeinden,23,,,,,,,,,,,,0,,,,,,,
166,Szpilczyna,Borszczów,Chodorów,Ortsgemeinden,23,2,156,164,320,153,156,11,,,,,1,,,,1,,,
167,Borusów,Borszczów,Chodorów,Ortsgemeinden,23,4,297,158,136,294,10,272,12,,,,1,,,,0,,,
168,Bryńce Cerkiewne,Borszczów,Chodorów,Ortsgemeinden,23,5,355,259,255,514,110,398,6,,,,0,,,,0,,,
169,Bryńce Zagórne,Borszczów,Chodorów,Ortsgemeinden,23,6,763,408,437,845,293,544,8,,,,0,,,,0,,,
170,Bryńce Zagórne,Borszczów,Chodorów,Ortsgemeinden,23,1,261,300,561,85,476,,,,,,0,,,,1,,,
171,Brzezina,Borszczów,Chodorów,Ortsgemeinden,23,2,147,137,284,208,68,8,,,,,1,,,,1,,,
172,Budków,Borszczów,Chodorów,Ortsgemeinden,23,7,690,409,384,793,127,627,34,5,,,1,,,,0,,,
173,Chlebowice Wielkie,Borszczów,Chodorów,Ortsgemeinden,23,8,1976,1237,1281,2518,764,1654,100,,,,1,,,,0,,,
174,Choderkowce,Borszczów,Chodorów,Ortsgemeinden,23,9,325,240,269,509,170,321,18,,,,0,,,,0,,,
175,Czyżyce,Borszczów,Chodorów,Ortsgemeinden,23,10,211,169,193,362,68,289,5,,,,1,,,,0,,,
176,Dziewiętniki,Borszczów,Chodorów,Ortsgemeinden,23,11,664,446,403,849,28,796,25,,,,1,,,,0,,,
177,Dźwinogród,Borszczów,Chodorów,Ortsgemeinden,23,12,1598,983,1040,2023,131,1764,123,5,,,0,,,vide 21,0,,,
178,Ernsdorf,Borszczów,Chodorów,Ortsgemeinden,23,13,21,53,50,103,75,18,10,,,,1,,,,0,,,
179,Horodysławice,Borszczów,Chodorów,Ortsgemeinden,23,14,863,568,620,1188,5,1152,31,,,,1,,,,0,,,
180,Hryniów,Borszczów,Chodorów,Ortsgemeinden,23,15,895,434,463,897,55,769,44,29,,,0,,,vide 41,0,,,
181,Hucisko,Borszczów,Chodorów,Ortsgemeinden,23,16,41,227,232,459,453,6,,,,,1,,,,0,,,
182,Jatwięgi,Borszczów,Chodorów,Ortsgemeinden,23,17,267,239,235,474,,461,13,,,,1,,,,0,,,
183,Kocurów,Borszczów,Chodorów,Ortsgemeinden,23,18,434,318,320,638,19,570,48,1,,,1,,,,0,,,
184,Kołohury,Borszczów,Chodorów,Ortsgemeinden,23,19,385,237,230,467,21,412,34,,,,1,,,,0,,,
185,Łanki Małe,Borszczów,Chodorów,Ortsgemeinden,23,20,308,189,188,377,157,206,14,,,,0,,,,0,,,
186,Łany,Borszczów,Chodorów,Ortsgemeinden,23,21,760,553,544,1097,391,738,37,6,,,0,,,,1,,,
187,Hajduczyzna,Borszczów,Chodorów,Ortsgemeinden,23,1,65,73,138,52,86,,,,,,1,,,,1,,,
188,Hanczarów,Borszczów,Chodorów,Ortsgemeinden,23,2,83,84,167,19,140,8,,,,,1,,,,1,,,
189,Łany,Borszczów,Chodorów,Ortsgemeinden,23,3,405,387,792,250,507,29,,,,,1,,,,1,,,
190,Łopuszna,Borszczów,Chodorów,Ortsgemeinden,23,22,721,307,310,617,13,587,17,,,,0,,,,0,,,
191,Łopuszna,Borszczów,Chodorów,Ortsgemeinden,23,1,290,295,585,13,555,17,,,,,1,,,,1,,,
192,Mielniki,Borszczów,Chodorów,Ortsgemeinden,23,2,17,15,32,,32,,,,,,0,,,,1,,,
193,Lubeszka,Borszczów,Chodorów,Ortsgemeinden,23,23,543,344,352,696,50,633,13,,,,0,,,,0,,,
194,Lubeszka,Borszczów,Chodorów,Ortsgemeinden,23,1,316,320,636,50,573,13,,,,,1,,,,1,,,
195,Płoskie,Borszczów,Chodorów,Ortsgemeinden,23,2,28,32,60,,60,,,,,,0,,,,1,,,
196,Mikołajów,Borszczów,Chodorów,Ortsgemeinden,23,24,320,446,462,908,24,565,314,5,,,1,,,vide 27,0,,,
197,Mühlbach,Borszczów,Chodorów,Ortsgemeinden,23,25,27,102,100,202,185,8,9,,,,1,,,,0,,,
198,Olchowiec,Borszczów,Chodorów,Ortsgemeinden,23,26,431,239,254,493,20,444,23,6,,,1,,,,0,,,
199,Pietniczany,Borszczów,Chodorów,Ortsgemeinden,23,27,476,200,183,383,89,276,18,,,,1,,,,0,,,
200,Podhorodyszcze,Borszczów,Chodorów,Ortsgemeinden,25,28,701,568,558,1126,29,1042,55,,,,0,,,,0,,,
201,Podjarków,Borszczów,Chodorów,Ortsgemeinden,25,29,987,592,597,1189,29,1105,55,,,,0,,,,0,,,
202,Podmanasterz,Borszczów,Chodorów,Ortsgemeinden,25,30,441,314,298,612,43,519,28,29,,,0,,,,1,,,
203,Podsosnów,Borszczów,Chodorów,Ortsgemeinden,25,31,669,364,365,729,12,668,49,,,,0,,,vide 35,0,,,
204,Rehfeld,Borszczów,Chodorów,Ortsgemeinden,25,32,35,62,69,131,100,26,5,,,,0,,,,0,,,
205,Repechów,Borszczów,Chodorów,Ortsgemeinden,25,33,418,295,295,590,99,478,13,,,,0,,,,0,,,
206,Romanów,Borszczów,Chodorów,Ortsgemeinden,25,34,914,576,609,1185,6,1110,68,1,,,0,,,,0,,,
207,Sarniki,Borszczów,Chodorów,Ortsgemeinden,25,35,614,328,295,623,39,579,19,,,,0,,,,1,,,
208,Siedliska,Borszczów,Chodorów,Ortsgemeinden,25,36,399,288,311,599,9,561,29,,,,0,,,,0,,,
209,Sokołówka,Borszczów,Chodorów,Ortsgemeinden,25,37,464,366,348,714,206,458,50,,,,0,,,,0,,,
210,Sieniawka,Borszczów,Chodorów,Ortsgemeinden,25,1,,110,105,215,62,136,17,,,,0,,,,0,,,
211,Sokołówka,Borszczów,Chodorów,Ortsgemeinden,25,2,,256,243,499,144,322,33,,,,0,,,,0,,,
212,Stare Sioło,Borszczów,Chodorów,Ortsgemeinden,25,38,1007,717,719,1436,795,512,44,85,,,0,,,,0,,,
213,Stoki,Borszczów,Chodorów,Ortsgemeinden,25,39,451,343,336,679,6,673,,,,,0,,,,0,,,
214,Strzałki,Borszczów,Chodorów,Ortsgemeinden,25,40,294,352,387,739,168,521,34,16,,,0,,,,0,,,
215,Suchodór,Borszczów,Chodorów,Ortsgemeinden,25,41,1235,508,455,963,171,738,44,10,,,0,,,,0,,,
216,Huta Suchodolska,Borszczów,Chodorów,Ortsgemeinden,25,1,,90,71,161,71,69,21,,,,0,,,,0,,,
217,Suchodót,Borszczów,Chodorów,Ortsgemeinden,25,2,,418,384,802,100,669,23,10,,,0,,,,0,,,
