country,province,city,year,field,value
HOL,Zuid-Holland,MIDDELHARNIS,,pre_deportation_population,42
HOL,Zuid-Holland,MIDDELHARNIS,,date_of_deportation,
HOL,Zuid-Holland,MIDDELHARNIS,,deported,41
HOL,Zuid-Holland,MIDDELHARNIS,,perished,41
HOL,Zuid-Holland,MIDDELHARNIS,,survived,1
HOL,Zuid-Holland,OUD-BEIJERLAND,,initial_jewish_settlement,17MX
HOL,Zuid-Holland,OUD-BEIJERLAND,,formal_community_foundation,
HOL,Zuid-Holland,OUD-BEIJERLAND,1852,jewish_population,205
HOL,Zuid-Holland,OUD-BEIJERLAND,1941,jewish_population,30
HOL,Zuid-Holland,OUD-BEIJERLAND,1941,total_population,6410
HOL,Zuid-Holland,OUD-BEIJERLAND,,pre_deportation_population,30
HOL,Zuid-Holland,OUD-BEIJERLAND,,date_of_deportation,1942-NA-NA
HOL,Zuid-Holland,OUD-BEIJERLAND,,survived,8
HOL,Zuid-Holland,ROTTERDAM,,initial_jewish_settlement,1647
HOL,Zuid-Holland,ROTTERDAM,,formal_community_foundation,1660
HOL,Zuid-Holland,ROTTERDAM,1797,jewish_population,2500
HOL,Zuid-Holland,ROTTERDAM,1900,jewish_population,9490
HOL,Zuid-Holland,ROTTERDAM,1900,total_population,319866
HOL,Zuid-Holland,ROTTERDAM,1938,jewish_population,10357
HOL,Zuid-Holland,ROTTERDAM,1725,synagogues,TRUE
HOL,Zuid-Holland,ROTTERDAM,1822,school,TRUE
HOL,Zuid-Holland,ROTTERDAM,1891,synagogues,TRUE
HOL,Zuid-Holland,ROTTERDAM,1929,school,TRUE
HOL,Zuid-Holland,ROTTERDAM,1900,Zionist Activity,
HOL,Zuid-Holland,ROTTERDAM,192X,Zionist Youth Groups,
HOL,Zuid-Holland,SLIEDRECHT,,initial_jewish_settlement,18XX
HOL,Zuid-Holland,SLIEDRECHT,,formal_community_foundation,18XX
HOL,Zuid-Holland,SLIEDRECHT,1901,jewish_population,52
HOL,Zuid-Holland,SLIEDRECHT,1941,jewish_population,16
HOL,Zuid-Holland,SLIEDRECHT,1941,total_population,14284
HOL,Zuid-Holland,SLIEDRECHT,,pre_deportation_population,16
HOL,Zuid-Holland,SLIEDRECHT,,date_of_deportation,
HOL,Zuid-Holland,SLIEDRECHT,,deported,13
HOL,Zuid-Holland,SLIEDRECHT,,perished,13
HOL,Zuid-Holland,SLIEDRECHT,,survived,3
HOL,Zuid-Holland,SLIEDRECHT,1800,school,TRUE
HOL,Zuid-Holland,SCHOONHOVEN,,initial_jewish_settlement,17MX
HOL,Zuid-Holland,SCHOONHOVEN,,formal_community_foundation,
HOL,Zuid-Holland,SCHOONHOVEN,1860,jewish_population,108
HOL,Zuid-Holland,SCHOONHOVEN,1941,jewish_population,14
HOL,Zuid-Holland,SCHOONHOVEN,1941,total_population,4617
HOL,Zuid-Holland,SCHOONHOVEN,,pre_deportation_population,14
HOL,Zuid-Holland,SCHOONHOVEN,,date_of_deportation,
HOL,Zuid-Holland,SCHOONHOVEN,,deported,12
HOL,Zuid-Holland,SCHOONHOVEN,,perished,12
HOL,Zuid-Holland,SCHOONHOVEN,,survived,2
HUN,Zichy estate,OROSZVAR,,initial_jewish_settlement,1725
HUN,Zichy estate,OROSZVAR,,formal_community_foundation,1725
HUN,Zichy estate,OROSZVAR,1848,jewish_population,460
HUN,Zichy estate,OROSZVAR,1930,jewish_population,9
HUN,Zichy estate,OROSZVAR,,date_of_deportation,1944-NA-NA
UKR,Zhitomir,RAIGORODOK,,initial_jewish_settlement,17EX
UKR,Zhitomir,RAIGORODOK,,formal_community_foundation,
UKR,Zhitomir,RAIGORODOK,1897,jewish_population,946
UKR,Zhitomir,RAIGORODOK,1897,total_population,2058
UKR,Zhitomir,RAIGORODOK,,perished,172
UKR,Zhitomir,BARASHI,,initial_jewish_settlement,1752
UKR,Zhitomir,BARASHI,,formal_community_foundation,1752
UKR,Zhitomir,BARASHI,1939,jewish_population,320
UKR,Zhitomir,BARASHI,1939,total_population,3187
UKR,Zhitomir,BARASHI,,perished,161
UKR,Zhitomir,BAZAR,,initial_jewish_settlement,17LX
UKR,Zhitomir,BAZAR,,formal_community_foundation,
UKR,Zhitomir,BAZAR,1897,jewish_population,833
UKR,Zhitomir,BAZAR,1897,total_population,1976
UKR,Zhitomir,BAZAR,,date_of_deportation,8/22/1941
UKR,Zhitomir,BAZAR,,perished,297
UKR,Zhitomir,BAZAR,1917,school,TRUE
UKR,Zhitomir,BAZAR,1917,society,Zionist society
UKR,Zhitomir,BERDICHEV,,initial_jewish_settlement,1593
UKR,Zhitomir,BERDICHEV,,formal_community_foundation,
UKR,Zhitomir,BERDICHEV,1765,jewish_population,1220
UKR,Zhitomir,BERDICHEV,1897,jewish_population,41617
UKR,Zhitomir,BERDICHEV,1897,total_population,53351
UKR,Zhitomir,BERDICHEV,1939,jewish_population,23266
UKR,Zhitomir,BERDICHEV,,date_of_deportation,7/7/1941
UKR,Zhitomir,BERDICHEV,,perished,30000
UKR,Zhitomir,BERDICHEV,,date_of_deportation,
UKR,Zhitomir,BERDICHEV,18LX,active,The Zionists
UKR,Zhitomir,BERDICHEV,18LX,leadership,Bund
UKR,Zhitomir,BOLSHIYE NEZGORTSI,,initial_jewish_settlement,
UKR,Zhitomir,BOLSHIYE NEZGORTSI,,formal_community_foundation,
UKR,Zhitomir,BOLSHIYE NEZGORTSI,1897,jewish_population,339
UKR,Zhitomir,BOLSHIYE NEZGORTSI,1926,jewish_population,114
UKR,Zhitomir,BOLSHIYE NEZGORTSI,1926,total_population,1472
UKR,Zhitomir,BOLSHIYE NEZGORTSI,,date_of_deportation,
UKR,Zhitomir,BRUSILOV,,initial_jewish_settlement,1622
UKR,Zhitomir,BRUSILOV,,formal_community_foundation,
UKR,Zhitomir,BRUSILOV,1787,jewish_population,523
UKR,Zhitomir,BRUSILOV,1897,jewish_population,3575
UKR,Zhitomir,BRUSILOV,1897,total_population,6703
UKR,Zhitomir,BRUSILOV,1939,jewish_population,171
UKR,Zhitomir,BRUSILOV,,date_of_deportation,
UKR,Zhitomir,BRUSILOV,,perished,104
UKR,Zhitomir,CHERNIAKHOV,,initial_jewish_settlement,1721
UKR,Zhitomir,CHERNIAKHOV,,formal_community_foundation,
UKR,Zhitomir,CHERNIAKHOV,1897,jewish_population,1774
UKR,Zhitomir,CHERNIAKHOV,1897,total_population,3878
UKR,Zhitomir,CHERNIAKHOV,1926,jewish_population,437
UKR,Zhitomir,CHERNIAKHOV,,date_of_deportation,
UKR,Zhitomir,CHERNIAKHOV,,perished,568
UKR,Zhitomir,CHERVONNOYE,,initial_jewish_settlement,17XX
UKR,Zhitomir,CHERVONNOYE,,formal_community_foundation,
UKR,Zhitomir,CHERVONNOYE,1897,jewish_population,711
UKR,Zhitomir,CHERVONNOYE,1897,total_population,2638
UKR,Zhitomir,CHERVONNOYE,1939,jewish_population,411
UKR,Zhitomir,CHERVONNOYE,,date_of_deportation,
UKR,Zhitomir,CHERVONNOYE,1929,school,TRUE
UKR,Zhitomir,CHOPOVICHI,,initial_jewish_settlement,
UKR,Zhitomir,CHOPOVICHI,,formal_community_foundation,
UKR,Zhitomir,CHOPOVICHI,1897,jewish_population,919
UKR,Zhitomir,CHOPOVICHI,1926,jewish_population,1533
UKR,Zhitomir,CHOPOVICHI,1926,total_population,9369
UKR,Zhitomir,CHOPOVICHI,,date_of_deportation,
UKR,Zhitomir,CHOPOVICHI,,perished,165
UKR,Zhitomir,CHUDNOV,,initial_jewish_settlement,15LX
UKR,Zhitomir,CHUDNOV,,formal_community_foundation,
UKR,Zhitomir,CHUDNOV,1756,jewish_population,1283
UKR,Zhitomir,CHUDNOV,1897,jewish_population,4491
UKR,Zhitomir,CHUDNOV,1897,total_population,5580
UKR,Zhitomir,CHUDNOV,1939,jewish_population,2506
UKR,Zhitomir,CHUDNOV,,date_of_deportation,
UKR,Zhitomir,CHUDNOV,,deported,1500
UKR,Zhitomir,CHUDNOV,1910,school,TRUE
UKR,Zhitomir,CHUDNOV,1930,school,TRUE
UKR,Zhitomir,DEDKOVITCHY,,initial_jewish_settlement,17LX
UKR,Zhitomir,DEDKOVITCHY,,formal_community_foundation,
UKR,Zhitomir,DEDKOVITCHY,1778,jewish_population,4
UKR,Zhitomir,DEDKOVITCHY,1897,jewish_population,276
UKR,Zhitomir,DEDKOVITCHY,1897,total_population,2511
UKR,Zhitomir,DEDKOVITCHY,1926,jewish_population,103
UKR,Zhitomir,DEDKOVITCHY,1939,jewish_population,206
UKR,Zhitomir,DEDKOVITCHY,,date_of_deportation,
UKR,Zhitomir,DIDKOVICHI,,initial_jewish_settlement,
UKR,Zhitomir,DIDKOVICHI,,formal_community_foundation,
UKR,Zhitomir,DIDKOVICHI,1897,jewish_population,276
UKR,Zhitomir,DIDKOVICHI,1897,total_population,2811
UKR,Zhitomir,DIDKOVICHI,1926,jewish_population,103
UKR,Zhitomir,DIDKOVICHI,,date_of_deportation,
UKR,Zhitomir,DOVBISH,,initial_jewish_settlement,18LX
UKR,Zhitomir,DOVBISH,,formal_community_foundation,
UKR,Zhitomir,DOVBISH,1939,jewish_population,513
UKR,Zhitomir,DOVBISH,1939,total_population,4296
UKR,Zhitomir,DOVBISH,,date_of_deportation,
UKR,Zhitomir,HORODNITSA,,initial_jewish_settlement,
UKR,Zhitomir,HORODNITSA,,formal_community_foundation,
UKR,Zhitomir,HORODNITSA,1850,jewish_population,427
UKR,Zhitomir,HORODNITSA,1897,jewish_population,1310
UKR,Zhitomir,HORODNITSA,1897,total_population,2314
UKR,Zhitomir,HORODNITSA,1939,jewish_population,1212
UKR,Zhitomir,HORODNITSA,,date_of_deportation,
UKR,Zhitomir,HORODNITSA,,perished,218
UKR,Zhitomir,IVNITSA,,initial_jewish_settlement,
UKR,Zhitomir,IVNITSA,,formal_community_foundation,
UKR,Zhitomir,IVNITSA,1765,jewish_population,88
UKR,Zhitomir,IVNITSA,1897,jewish_population,607
UKR,Zhitomir,KAMENNI-BROD,,initial_jewish_settlement,17XX
UKR,Zhitomir,KAMENNI-BROD,,formal_community_foundation,
UKR,Zhitomir,KAMENNI-BROD,1897,jewish_population,1147
UKR,Zhitomir,KAMENNI-BROD,1897,total_population,1773
UKR,Zhitomir,KAMENNI-BROD,1939,jewish_population,857
UKR,Zhitomir,KHODAKI,,initial_jewish_settlement,17EX
UKR,Zhitomir,KHODAKI,,formal_community_foundation,
UKR,Zhitomir,KHODAKI,1897,jewish_population,270
UKR,Zhitomir,KHODAKI,1897,total_population,1280
UKR,Zhitomir,KHODORKOV,,initial_jewish_settlement,1720
UKR,Zhitomir,KHODORKOV,,formal_community_foundation,
UKR,Zhitomir,KHODORKOV,1765,jewish_population,372
UKR,Zhitomir,KHODORKOV,1897,jewish_population,3672
UKR,Zhitomir,KHODORKOV,1897,total_population,6910
UKR,Zhitomir,KHODORKOV,1923,jewish_population,361
UKR,Zhitomir,KODNIA,,initial_jewish_settlement,1593
UKR,Zhitomir,KODNIA,,formal_community_foundation,
UKR,Zhitomir,KODNIA,1897,jewish_population,688
UKR,Zhitomir,KODNIA,1897,total_population,1820
UKR,Zhitomir,KODNIA,,perished,185
UKR,Zhitomir,KODNIA,,pre_deportation_population,185
UKR,Zhitomir,KODNIA,,date_of_deportation,
UKR,Zhitomir,KORNIN,,initial_jewish_settlement,1618
UKR,Zhitomir,KORNIN,,formal_community_foundation,
UKR,Zhitomir,KORNIN,1897,jewish_population,807
UKR,Zhitomir,KORNIN,1897,total_population,3103
UKR,Zhitomir,KORNIN,,pre_deportation_population,380
UKR,Zhitomir,KORNIN,,date_of_deportation,
UKR,Zhitomir,KOROSTEN,,initial_jewish_settlement,18XX
UKR,Zhitomir,KOROSTEN,,formal_community_foundation,
UKR,Zhitomir,KOROSTEN,1897,jewish_population,1299
UKR,Zhitomir,KOROSTEN,1939,jewish_population,10991
UKR,Zhitomir,KOROSTEN,,date_of_deportation,
UKR,Zhitomir,KOROSTEN,,perished,1770
UKR,Zhitomir,KOROSTEN,1934,school,TRUE
UKR,Zhitomir,KOROSTEN,1937,school,TRUE
UKR,Zhitomir,KOROSTISHEV,,initial_jewish_settlement,15LX
UKR,Zhitomir,KOROSTISHEV,,formal_community_foundation,
UKR,Zhitomir,KOROSTISHEV,1897,jewish_population,4160
UKR,Zhitomir,KOROSTISHEV,1897,total_population,7863
UKR,Zhitomir,KOROSTISHEV,1939,jewish_population,2170
UKR,Zhitomir,KOROSTISHEV,,date_of_deportation,
UKR,Zhitomir,KOROSTISHEV,,perished,3044
UKR,Zhitomir,KOTELNIA,,initial_jewish_settlement,17EX
UKR,Zhitomir,KOTELNIA,,formal_community_foundation,
UKR,Zhitomir,KOTELNIA,1756,jewish_population,157
UKR,Zhitomir,KOTELNIA,1897,jewish_population,1345
UKR,Zhitomir,KOTELNIA,1897,total_population,3183
UKR,Zhitomir,KOTELNIA,1926,jewish_population,896
UKR,Zhitomir,KOTELNIA,,date_of_deportation,
UKR,Zhitomir,KRANOARMIEYSK,,initial_jewish_settlement,
UKR,Zhitomir,KRANOARMIEYSK,,formal_community_foundation,
UKR,Zhitomir,KRANOARMIEYSK,1897,jewish_population,1168
UKR,Zhitomir,KRANOARMIEYSK,1897,total_population,2736
UKR,Zhitomir,KRANOARMIEYSK,1939,jewish_population,523
UKR,Zhitomir,KRANOARMIEYSK,,date_of_deportation,
UKR,Zhitomir,KRANOARMIEYSK,,deported,274
UKR,Zhitomir,KRANOARMIEYSK,,perished,274
UKR,Zhitomir,LESHCHIN,,initial_jewish_settlement,17EX
UKR,Zhitomir,LESHCHIN,,formal_community_foundation,
UKR,Zhitomir,LESHCHIN,1775,jewish_population,192
UKR,Zhitomir,LESHCHIN,1847,jewish_population,572
UKR,Zhitomir,LESHCHIN,1897,jewish_population,337
UKR,Zhitomir,LESHCHIN,1897,total_population,1666
UKR,Zhitomir,LESHCHIN,1926,jewish_population,157
UKR,Zhitomir,LESHCHIN,,date_of_deportation,
UKR,Zhitomir,LUGINI,,initial_jewish_settlement,17EX
UKR,Zhitomir,LUGINI,,formal_community_foundation,
UKR,Zhitomir,LUGINI,,date_of_deportation,
UKR,Zhitomir,LUGINI,,perished,745
UKR,Zhitomir,LUGINI,1933,school,TRUE
UKR,Zhitomir,MALIN,,initial_jewish_settlement,
UKR,Zhitomir,MALIN,,formal_community_foundation,
UKR,Zhitomir,MALIN,1847,jewish_population,1064
UKR,Zhitomir,MALIN,1897,jewish_population,4256
UKR,Zhitomir,MALIN,1939,jewish_population,3607
UKR,Zhitomir,MALIN,1939,total_population,11367
UKR,Zhitomir,MALIN,1959,jewish_population,1200
UKR,Zhitomir,MALIN,,date_of_deportation,
UKR,Zhitomir,MALIN,,perished,1000
UKR,Zhitomir,MALIN,1920,school,TRUE
UKR,Zhitomir,MIROPOL,,initial_jewish_settlement,17XX
UKR,Zhitomir,MIROPOL,,formal_community_foundation,
UKR,Zhitomir,MIROPOL,1897,jewish_population,1912
UKR,Zhitomir,MIROPOL,1897,total_population,4194
UKR,Zhitomir,MIROPOL,,date_of_deportation,
UKR,Zhitomir,MIROPOL,,perished,960
UKR,Zhitomir,MIROPOL,1930,school,TRUE
UKR,Zhitomir,NARODICHI,,initial_jewish_settlement,16XX
UKR,Zhitomir,NARODICHI,,formal_community_foundation,
UKR,Zhitomir,NARODICHI,,date_of_deportation,
UKR,Zhitomir,NARODICHI,,perished,720
UKR,Zhitomir,NARODICHI,1921,school,TRUE
UKR,Zhitomir,NARODICHI,,initial_jewish_settlement,1648
UKR,Zhitomir,NARODICHI,1629,jewish_population,4
UKR,Zhitomir,NARODICHI,1765,jewish_population,241
UKR,Zhitomir,NARODICHI,1897,jewish_population,2054
UKR,Zhitomir,NARODICHI,1897,total_population,4576
UKR,Zhitomir,NARODICHI,1939,jewish_population,1233
UKR,Zhitomir,NORINSK,,initial_jewish_settlement,17EX
UKR,Zhitomir,NORINSK,,formal_community_foundation,
UKR,Zhitomir,NORINSK,1765,jewish_population,121
UKR,Zhitomir,NORINSK,1897,jewish_population,584
UKR,Zhitomir,NORINSK,1897,total_population,1683
UKR,Zhitomir,NORINSK,1923,jewish_population,329
UKR,Zhitomir,NORINSK,,date_of_deportation,
UKR,Zhitomir,NORINSK,1765,synagogues,TRUE
UKR,Zhitomir,NOVA CHARTORIYA,,initial_jewish_settlement,
UKR,Zhitomir,NOVA CHARTORIYA,,formal_community_foundation,
UKR,Zhitomir,NOVA CHARTORIYA,1750,jewish_population,49
UKR,Zhitomir,NOVA CHARTORIYA,1897,jewish_population,502
UKR,Zhitomir,NOVA CHARTORIYA,1897,total_population,2776
UKR,Zhitomir,NOVA CHARTORIYA,,date_of_deportation,
UKR,Zhitomir,NOVOGRAD-VOLINSKII,,initial_jewish_settlement,16LX
UKR,Zhitomir,NOVOGRAD-VOLINSKII,,formal_community_foundation,
UKR,Zhitomir,NOVOGRAD-VOLINSKII,1765,jewish_population,577
UKR,Zhitomir,NOVOGRAD-VOLINSKII,1897,jewish_population,9378
UKR,Zhitomir,NOVOGRAD-VOLINSKII,1897,total_population,16904
UKR,Zhitomir,NOVOGRAD-VOLINSKII,1939,jewish_population,6839
UKR,Zhitomir,NOVOGRAD-VOLINSKII,,date_of_deportation,
UKR,Zhitomir,NOVOGRAD-VOLINSKII,,perished,5000
UKR,Zhitomir,NOVOGRAD-VOLINSKII,1897,school,TRUE
UKR,Zhitomir,OLEVSK,,initial_jewish_settlement,1750
UKR,Zhitomir,OLEVSK,,formal_community_foundation,
UKR,Zhitomir,OLEVSK,1897,jewish_population,1187
UKR,Zhitomir,OLEVSK,1897,total_population,2070
UKR,Zhitomir,OLEVSK,1959,jewish_population,1300
UKR,Zhitomir,OLEVSK,,date_of_deportation,
UKR,Zhitomir,OLEVSK,,perished,580
UKR,Zhitomir,OVRUCH,,initial_jewish_settlement,1629
UKR,Zhitomir,OVRUCH,,formal_community_foundation,
UKR,Zhitomir,OVRUCH,1629,jewish_population,3
UKR,Zhitomir,OVRUCH,1897,jewish_population,3445
UKR,Zhitomir,OVRUCH,1897,total_population,7393
UKR,Zhitomir,OVRUCH,1939,jewish_population,3862
UKR,Zhitomir,OVRUCH,1957,jewish_population,2200
UKR,Zhitomir,OVRUCH,,date_of_deportation,
UKR,Zhitomir,OVRUCH,,perished,516
UKR,Zhitomir,OVRUCH,,initial_jewish_settlement,1750
UKR,Zhitomir,OVRUCH,1928,synagogues,TRUE
UKR,Zhitomir,PERVOMAYSK,,initial_jewish_settlement,1933
UKR,Zhitomir,PERVOMAYSK,,formal_community_foundation,
UKR,Zhitomir,PERVOMAYSK,1939,jewish_population,279
UKR,Zhitomir,PERVOMAYSK,1939,total_population,3580
UKR,Zhitomir,PERVOMAYSK,,date_of_deportation,1/6/1942
UKR,Zhitomir,PIATKA,,initial_jewish_settlement,17MX
UKR,Zhitomir,PIATKA,,formal_community_foundation,
UKR,Zhitomir,PIATKA,1750,jewish_population,78
UKR,Zhitomir,PIATKA,1897,jewish_population,833
UKR,Zhitomir,PIATKA,1897,total_population,2703
UKR,Zhitomir,PIATKA,,date_of_deportation,10/24/1941
UKR,Zhitomir,PIATKA,,perished,211
UKR,Zhitomir,PIATKA,1920,school,TRUE
UKR,Zhitomir,POPELNIA,,initial_jewish_settlement,20XX
UKR,Zhitomir,POPELNIA,,formal_community_foundation,
UKR,Zhitomir,POPELNIA,1939,jewish_population,129
UKR,Zhitomir,POPELNIA,,perished,297
UKR,Zhitomir,RADOMYSL,,initial_jewish_settlement,1764
UKR,Zhitomir,RADOMYSL,,formal_community_foundation,
UKR,Zhitomir,RADOMYSL,1792,jewish_population,1424
UKR,Zhitomir,RADOMYSL,1897,jewish_population,7502
UKR,Zhitomir,RADOMYSL,1897,total_population,10906
UKR,Zhitomir,RADOMYSL,1939,jewish_population,2348
UKR,Zhitomir,RADOMYSL,,date_of_deportation,9/6/1941
UKR,Zhitomir,RADOMYSL,,perished,1668
UKR,Zhitomir,RADOMYSL,1900,school,TRUE
UKR,Zhitomir,ROGACHEYV,,initial_jewish_settlement,
UKR,Zhitomir,ROGACHEYV,,formal_community_foundation,
UKR,Zhitomir,ROGACHEYV,1847,jewish_population,404
UKR,Zhitomir,ROGACHEYV,1897,jewish_population,1303
UKR,Zhitomir,ROGACHEYV,1897,total_population,1381
UKR,Zhitomir,ROGACHEYV,1926,jewish_population,265
UKR,Zhitomir,ROGACHEYV,,date_of_deportation,10/10/1941
UKR,Zhitomir,ROMANOV,,initial_jewish_settlement,1787
UKR,Zhitomir,ROMANOV,,formal_community_foundation,
UKR,Zhitomir,ROMANOV,1897,jewish_population,2599
