name,first_jewish_presence,peak_jewish_population,jewish_population_in_1933,content,author__sources,url,sid
Ahrweiler,13th century,82 in 1885,31,"Jews settled in Ahrweiler as early as the 13th century, during which time they enjoyed the protection of the Archbishop of Cologne. By the beginning of the 15th century, Ahrweiler Jews had a designated Jewish street (Judengasse) and their own rabbi and mikveh. The community inaugurated a prayer room in 1773, a second prayer hall in 1844 (both were located in private residences), and a synagogue, on Altenbaustrasse, in 1894. Ahrweiler’s first Jewish cemetery was closed down in 1870, after which, in 1871, the community consecrated new burial grounds. In 1933, the 31 Jews of Ahrweiler ran a women’s association and a literary society. A teacher from Bad Neuenahr instructed schoolchildren in religion. On Pogrom Night, SA men smashed the synagogue’s windows, overturned its benches and hurled furnishings, ritual objects and books onto a bonfire. Jewish-owned stores were vandalized that night, and Jewish men were arrested and sent to concentration camps. Eleven Ahrweiler Jews emigrated, seven relocated within Germany and 12 were deported to the East in 1942 (six in April, six in July). A Jewish woman and her son survived the war by hiding in Ahrweiler and, later, in Cologne. At least 31 local Jews perished in the Shoah. The former synagogue, renovated in 1990, now houses a permanent exhibition on Ahrweiler’s Jewish community.Amazingly, the original Torah curtain from 1882 was discovered in a Frankfurt art dealer’s shop and returned to the synagogue. Esther Sarah Evans Sources: AJ, EJL, SG-RPS","Esther Sarah Evans; Sources: AJ, EJL, SG-RPS",http://germansynagogues.com/index.php/synagogues-and-communities?sid=88,88
Affaltrach,1588,219 in 1858,19,"￼￼The synagogue of Affaltrach after World War II. Courtesy of: Historical Society of the Former Synagogue of Affaltrach. The first available record of a Jewish presence in Affaltrach is dated 1588. A community was established there in the 17th century, as was a cemetery (1670). Jews from Eschenau conducted services in Affaltrach’s 18th-century prayer room, which by 1824 included a women’s balcony. The prayer room was closed for safety reasons in 1844, after which (in 1851) it was replaced by a synagogue, which also housed a mikveh and a classroom. The Jews of nearby Eschenau frequented the new synagogue from 1900 onwards as members of the Affaltrach Eschenau community. Two prominent Affaltrach Jews were August Thalheimer and his sister Bertha, both of whom were was murdered during the Nazis’ euthanasia program. Six local Jews were eventually deported to the East, and at least 12 perished in the Shoah. After the war, the synagogue was used as a storage site. Both synagogue and mikveh were later restored and converted into a museum.","Yehoshua Ahrens  Sources: AJ, EJL, PK BW, WK",http://germansynagogues.com/index.php/synagogues-and-communities?sid=85,85
Ahaus,16th century,130 in 1903,72,"Although records from the second half of the 16th century mention the presence in Ahaus of individual “protected” Jews, it was not until 1678 that Jews began to reside there permanently. The community’s first synagogue, erected in 1818, was destroyed in a neighborhood fire in 1863, after which, in 1869, a new synagogue was inaugurated. Ahaus Jews also maintained a Jewish school and a mikveh, the latter of which was built behind the synagogue in 1898. The synagogue was vandalized in 1934 and in 1935, and we also know that the building was set on fire on Pogrom Night, when Jewish homes and stores were severely damaged. By 1941, 46 Jews had left the town, of whom 17 had gone to the Netherlands and 16 to other localities in Germany.Eighteen Jews were later deported to the ghettos in Riga and Theresienstadt; of these, most ultimately perished in the Auschwitz and Sobibor death camps, as did some of those who had earlier reached the Netherlands and other German cities. At least 47 Ahaus Jews perished in the Shoah.","Moshe Aumann; Sources: EJL, LJG, SG-NRW",http://germansynagogues.com/index.php/synagogues-and-communities?sid=86,86
Ahlen,16th century,160 in 1933,,"The synagogue of Ahlen after Pogrom Night. Courtesy of: State Archive of North Rhine – Westphalia, State Attorney of Muenster. The history of Jewish Ahlen began in 1546, when Bishop Franz von Waldock offered his protection to any Jews who wished to settle there. It was not until 1678, however, that a continuous Jewish presence was established in the town. The Jewish community experienced steady growth during the 18th and 19th centuries, numbering approximately 100 members in the second half of the 19th century (2-3% of the total population) and peaking at 160 in 1933. The synagogue, in use since 1757, was burned down on Pogrom Night. A cemetery was consecrated in Ahlen in the late 1780s, as was a new one in the 1930s. We also know that Ahlen was home to a Jewish elementary school between 1835 and 1939. The school—it had been officially recognized by the municipality in 1847—restricted its curriculum to religious studies in 1922, when enrollment there began to dwindle considerably. The Rosenberg family, which owned enamelware factories and traded in grain and textiles, was the most prominent Jewish family in Ahlen; its members chaired the community council until the Nazi period. In response to the deteriorating economic and political climate, many Jews left Ahlen after 1933: 17 reached Palestine and 17 North and South America. On October 6, 1939, the remaining 49 Jews were expelled, after which most moved to other German towns. In all, 98 Ahlen Jews who did not succeed in escaping from Germany were sent to the camps, where they perished.","Moshe Aumann; Sources: EJL, LJG, SG-NRW, SIA",http://germansynagogues.com/index.php/synagogues-and-communities?sid=87,87
Allendorf on Lumda,1770,91 in 1895,55,"A Jewish presence was first recorded in Allendorf in 1770. By 1838, a community had been founded there. In 1844, the community replaced its prayer room with a synagogue at 3 Nordecker Strasse; the building probably housed a schoolroom and an apartment for a teacher, who also performed the duties of chazzan and shochet. Local Jews also maintained a mikveh and, beginning in the late 19th century, a cemetery. Although the synagogue was sold in 1938, its interior was destroyed on Pogrom Night, when ritual objects and furniture were burned in one of the town’s squares. That night, SA men and local residents destroyed the interiors of Jewish apartments with axes. Seventeen Jews immigrated (12 to the United States), 14 relocated within Germany, five moved to unknown destinations and three died in Allendorf. In September 1942, 26 Jews, Allendorf ’s last, were deported: 21 to Poland, five to Theresienstadt. At least 47 Allendorf Jews perished in the Shoah. The synagogue has since been remodeled into a residential building, to which a memorial plaque was affixed in 1982. A memorial stone was unveiled at the cemetery in 1988, and in 2002 a memorial monument made of Jerusalem stone was erected in Allendorf.","Esther Sarah Evans; Sources: AJ, EJL, PK-HNF www.allendorf-lda.de, www.kirche-allendorf.de",http://germansynagogues.com/index.php/synagogues-and-communities?sid=91,91
Aidhausen,1596,82 in 1867,23,"The Jewish community of Aidhausen initially conducted services in a prayer hall. The synagogue, built in 1869, contained a mikveh, a classroom and living quarters for a schoolteacher who also served the community as chazzan and shochet. Julius Rosenberger held this post for 52 years (from 1878 until 1930). Local Jews buried their dead in Kleinsteinach. In 1933, the local Jewish teacher instructed children from Hofheim, Kleinsteinach and Aidhausen. After the teacher for the nearby communities of Koenigshofen im Grabfeld and Hoechheim emigrated, the Aidhausen teacher took on students from these communities as well. On October 10, 1938, windows in the synagogue and in several Jewish houses were smashed; some of the synagogue’s ritual objects were desecrated. Later, presumably on Pogrom Night, the synagogue’s interior and ritual items were destroyed. Ten Aidhausen Jews emigrated (seven to the United States); eleven were deported to Izbica (via Wuerzburg) in April, 1942; and five, the last, were moved to Schweinfurt in June 1942, and deported to Theresienstadt in September of that year. At least 21 Aidhausen Jews perished in the Shoah. The synagogue was converted into a private residence after the war. A memorial stone has been unveiled opposite the site.","Yaakov Borut; Sources: AJ, EJL, PK-BAV",http://germansynagogues.com/index.php/synagogues-and-communities?sid=89,89
Albersweiler,1529,271 in 1848,32,"A Jewish presence was recorded in Albersweiler in 1529, and an official community founded there in either the 16th or 17th century. Records suggest that Albersweiler’s first synagogue was built before 1700 on present-day Hohlstrasse. Established in 1855, the Jewish school was presided over by a teacher who also served as chazzan and shochet. We also know that, in 1868, the community inaugurated a new, Moorish- style synagogue on what was then called Synagogengasse. As for the older synagogue, it was demolished in 1877 to make room for a new school building. In 1933, five children received religious instruction; a charity association was active in the community that year. The Jews of nearby Annweiler, where burials were conducted, were members of the Albersweiler community. Fifteen Jews lived in Albersweiler in 1938. The almost defunct community tried to sell the synagogue to the municipality that same year, but the sale was not approved. On Pogrom Night, the synagogue was set on fire, soon after which the ruins were cleared and the land handed over to the local authorities. Albersweiler’s last four Jews were deported to Gurs in October, 1940. At least 24 local Jews perished in the Shoah. A warehouse was built on the former synagogue site in 1959; a memorial plaque was unveiled there in November, 1988.","Daniel Weiss; Sources: AJ, EJL, SG-RPS, SIA",http://germansynagogues.com/index.php/synagogues-and-communities?sid=90,90
Allenstein,1820,612 in 1925,448,"Jews founded a community in Allenstein in 1820, soon after which they established a prayer room on Richterstrasse. When the need for larger quarters became acute, the Jews of Allenstein acquired a plot of land on Liebstadter Strasse and built, in 1877, a large and ornate synagogue there. Other communal institutions included a cemetery on Seestrasse (present-day Grundwalzka Strasse) and a Jewish school. The Association of East Prussian Jewish Communities maintained a retirement home in Allenstein, as well as an office that aided Eastern European immigrants Allenstein was the birthplace of Erich Mendelsohn (1887- 1953), the world-famous Jewish architect whose unique buildings can be found all over Europe, in many North American cities and in Israel. In Allenstein, Mendelsohn designed the mourners’ chapel (called Mendelsohn Haus) next to the cemetery. The Jews of Allenstein were closely involved in the social and cultural life of the town, with many serving on the boards of prominent committees. This tranquil life began to unravel in the early 1920s, as anti-Semitic incidents escalated with every passing day. The situation worsened considerably after 1933: Boycotts were enforced zealously, several Jewish- owned department stores were firebombed, Nazi hoodlums roamed the streets and physically threatened Jews and, in early 1936, the Jewish cemetery was vandalized. On Pogrom Night, storm troopers destroyed Jewish establishments and burned down the synagogue, after which the site served as a bomb shelter; we also know that a number of Jews were arrested and deported that night. The pogrom triggered a mass emigration of local Jews from Germany, so that by 1939 only 135 Jews lived in the town. Those Jews who still lived in Allenstein in 1940 were deported to concentration camps. The Jewish cemetery and the Mendelsohn Haus survived the war. In 1960, however, the cemetery was leveled. Now an open, grassy area, the old cemetery site is the only remnant of Jewish Allenstein. A restoration project of the Mendelsohn Haus began in 2008.","Moshe Finkel; Sources: EJL, LJG www.ostpreussen.net",http://germansynagogues.com/index.php/synagogues-and-communities?sid=92,92
Alpen,18th century,60 in 1907,35,"Alpen (North Rhine-Westphalia) – First Jewish presence: 18th century; peak Jewish population: 60 in 1907; Jewish population in 1933: 35 In 1714, Jews, all of whom were given letters of protection, settled in Alpen. Between 60 and 70 Jews (up to 8% of the total population) lived there in the 19th century, most earning their livings through trade. The community maintained a synagogue (inaugurated in 1880), a school, a mikveh and a cemetery, in which the oldest surviving tombstone is dated 1792. In 1933, only 35 Jews remained in Alpen, 17 of whom had left by Pogrom Night, when rioters set the synagogue on fire and wrecked Jewish homes. Nine Jews left Alpen soon after the pogrom, and we also know that 14 Alpen Jews managed to immigrate: six to Palestine, five to Brazil and three to South Africa. The remaining Jews were deported to the ghettos in Riga and Minsk in 1941 and 1942. Sixteen Alpen Jews perished in the Shoah.","Moshe Aumann; Sources: EJL, LJG, SG-NRW",http://germansynagogues.com/index.php/synagogues-and-communities?sid=93,93
Alsbach,1423,58 in 1910,21,"The Jewish cemetery of Alsbach, consecrated in the early 17th century, would later become one of the largest in Hessen, serving 32 communities. In the late 18th century, the Jews of Alsbach founded a community, to which the Jews of Bickenbach, Haehnlein and Jugenheim an der Bergstrasse were affiliated. In 1778, the community replaced its prayer hall with a synagogue at 19 Hauptstrasse. In 1788, an adjacent building Interior of the synagogue of Alsbach. Courtesy of: Unknown. was converted into a community center with a classroom, a mikveh and an apartment for the teacher. A women’s association, two charitable societies and a branch of a Zionist organization were active in Alsbach in 1933. The synagogue’s interior and contents were destroyed on Pogrom Night; the cemetery was desecrated, and its tahara house blown up. Two Jewish homes, Alsbach’s last, were damaged and plundered, and Jewish men were sent to Buchenwald. Sold to a local resident for only 1,500 Reichsmarks, the synagogue was later used for storage. Alsbach was declared “free of Jews” in 1940. At least 11 Alsbach Jews, seven from Bickenbach, nine from Haehnlein and six from Jugenheim perished in the Shoah. The cemetery was restored after the war by order of a Jewish-American soldier whose forefathers were buried there. At the former synagogue’s site—the building was sold to a bank and converted into a combined residential and commercial complex—a memorial plaque was unveiled in 1991.","Nurit Borut; Sources: AJ, EJL, PK-HNF",http://germansynagogues.com/index.php/synagogues-and-communities?sid=94,94
Alsfeld,approx. 14th century,252 in 1910,220,"In Alsfeld, a Jewish community (it maintained a synagogue) was annihilated during the Black Death pogroms of 1348/49. The roots of the modern community emerged in the 17th century. Records suggest that the Alsfeld prayer room was established in the 18th century. A proper mikveh, built to replace three privately owned ritual baths, was opened in 1826. The community inaugurated a synagogue in a rented building on Metzgergasse in 1833; six years later it purchased the building. The synagogue housed a schoolroom and an apartment for a teacher who performed the duties of shochet and chazzan. The community established a cemetery in 1877, and, in 1905, a new synagogue on Lutherstrasse (350 seats). Local Jews were assaulted by Nazis on two occasions in 1931. In 1933, 220 Jews still lived in Alsfeld; 25 schoolchildren studied religion that year, and several religious and charitable associations were active. Under Nazi rule, Alsfeld Jews suffered many violent attacks, including cases of burglary, assault and destruction of property. Between 30 and 40 Jews left Alsfeld each year until 1939. On Pogrom Night (November 1938), the synagogue’s interior was incinerated; the building’s exterior was also damaged. Jewish homes and businesses were attacked and property was destroyed. After the pogrom, the Nazis gave some remaining ritual objects to the local museum. The damaged synagogue was converted into a residence. Eighty-seven Jews emigrated; others relocated within Germany. In June 1939, the remaining 18 Jews were moved into a “Jew’s house.” All later left Alsfeld. At least 90 local Jews perished in the Shoah. Several ritual objects were later sent to Israel. A memorial stone was unveiled in Alsfeld in 1988, and in 2009 memorial “stumbling stones” were placed on the town’s sidewalks.","Heike Zaun Goshen; Sources: AH, AJ, EJL, PK-HNF, www.juedisches-museum-vogelsberg.de, www.osthessen-news.de",http://germansynagogues.com/index.php/synagogues-and-communities?sid=95,95
Altenbamberg,18th century,66 in 1873 (see below),32,"This community consecrated its first cemetery in 1750. Religious services were conducted in a prayer hall, located in a private residence, until 1892, when a synagogue was built on Hintergasse (later renamed Burgstrasse). By the end of the 19th century, local Jews had consecrated a new cemetery (probably in 1873) and built a mikveh. A teacher who also served as chazzan and shochet was responsible for the religious education of Jewish children. The village’s peak Jewish population in 1873 included Jews from nearby Ebernburg and Feilbingert. In 1933, the community counted 39 members, six of whom lived in Altenbamberg, 14 in Ebernburg and 19 in Hochstaetten. One Jewish child received religious instruction that year. On Pogrom Night, Altenbamberg’s synagogue was set on fire; the blaze consumed all but the outer walls. We also know that the cemetery was desecrated in 1939. Many Altenbamberg Jews emigrated during the 1930s. Those who remained after the pogrom were, in October 1940, deported to Gurs. At least six Jews from Altenbamberg, four from Ebernburg and five from Hochstaetten perished in the Shoah. The former synagogue site was sold in the 1960s, after which an apartment building was erected there. In 2006, a memorial plaque was unveiled at the newer Jewish cemetery.","Daniel Weiss; Sources: AJ, HU, SIA",http://germansynagogues.com/index.php/synagogues-and-communities?sid=98,98
