id,content
23,"AGRINION (Agrinio, Vrachori, Vrakhori) Karilli dist., Greece. There were 200 J. families in A. prior to the Greek revolt (1821), when all were massacred. In 1943, there were between six and ten families, or 40 Jews, but no organized community. At the"
24,"AHAUS Westphalia, Germany. Jews under letters of protection are first mentioned in 1667 but they were also present before that time. Their pop. comprised just a few families until the mid-19th cent. and reached a peak of 110 (total3,100) in 1895. A s"
25,"AHLEN Westphalia, Germany. Jews were permitted to settle in the mid-16th cent. under the protection of Bishop Franz von Waldeck and from 1678 maintained a continuous presence. In the 18th cent., the community grew steadily,reaching a pop. of around 1"
26,"AHRENSBURG Schleswig-Holstein, Germany. Thereis evidence of thepresence of Jews from the last third of the 18th cent. In 1822, the small community (39 members in 1811) established asynagogue and a cemetery. In June 1933, only 16 Jews were still livin"
27,"AHRWEILER Rhineland, Germany. Jews were already present in the 13th cent. and continued to live in A. under the protection of the Archbishop of Cologne. The J. pop. never exceeded a few dozen,reaching apeak of 82 (total4,346)in 1885. A cemetery was o"
28,"AIDHAUSEN Lower Franconia, Germany. The J. community numbered 82 (total 697) in 1867 with a synagogueerectedin 1869.In 1933,23 Jewsremained. The synagogue and J. homes were vandalized in Oct. 1938. Ten Jews emigrated in 1935-39 and the rest were depo"
29,"AIUD (Hung. Nagyenyed) S. Transylvania dist., Rumania. An Orthodox J. community was establishedin 1880,but in 1912 it reorganizedand joined theNeologist association. From the beginning of the cent. until the end of WWI, Jews dominated the wine trade "
30,"AIX-EN-PROVENCE (locally called Aix) Bouchesdu-Rhone dist., France. The first reference to Jews dates from about 1283 and mention is made of a Street of the Jews. By 1341, the Jews numbered 1,205, about 10% of the total pop. In 1430, anti-J. riots to"
31,"AIZPUTE (Yid. Hosenpoth) Courland dist., Latvia. Jews arrived in the 16th cent., mostly from the commercial towns of E. Prussia (Hamburg, Danzig, etc.). In 1751, the Polish parliament or Sejm authorized the constructionof a synagogue andthe establish"
32,"AJAK Szabolcs dist., Hungary. Jews settled in the late 18th cent. and numbered 74 in 1880. In May 1944, the 50 remaining Jews who had not been subjected to forced labor were expelled to Kisvarda and from there deported to Auschwitz on 25-27 June."
33,"AJDABIYA Cyrenaica dist., Libya. First settling in A. in the eighth cent., the Jews left in the 11th cent. with the city's decline.UnderItalian rule,a small community was established, numbering 54 in 1935. In WWILA.'s Jews sharedthe fateof all Cyrena"
34,"AKHTYRKA Sumy dist., Ukraine. The J. pop. was 168 (total 23,399) in 1897 and 277 in 1939. A. was captured by the Germans on 18 Oct. 1941. By the end of the year, about 60 Jews were murdered in two Aktions."
35,"AKMENE (Yid. Akmian) Mazeikiai dist., Lithuania. J. settlement began in the mid-18th cent. By the first half of the 19th cent, Jews comprised two-thirds of the total pop. The 1897 J. pop. was 543, 36% of the total. Prior to WWII there were 100 Jews i"
36,"AKNISTE Zemgale (Courland) dist., Latvia. The J. settlement was founded in the mid-19th cent. and numbered 199 (total pop. 473) in 1935. Nearly all were murderedby the Germans in July 1941."
37,"ALBA-IULIA (Hung. Gyulafehervar; Ger. Karlsburg) S. Transylvania dist., Rumania. This first and most important J. community in Transylvania was founded in the mid-16th cent.; in the 17th cent. a Sephardi community was organized. The community expande"
38,"ALBANIA Balkan republic. Jews lived in the port town of Durres (Ital. Durazzo) from the 13th cent. Most dealt in the salt trade. After the Ottomans conquered Durres in 1501, J. settlement in A. increased significantly, and included communities in Lez"
39,"ALBERSWEILER Palatinate, Germany. Jews are first mentioned in 1529. An organized community existed by the 18th cent.,reaching a peak pop. of 271 in 1848 with over two-thirds engagedin trade.A J.public school was openedin 1855 and a synagogue was cons"
40,"ALBERT-IRSA Pest-Pilis-Solt-Kiskun dist., Hungary. Jews settled in 1746, paying heavy taxes to the proprietor of the village for protection and the right to sell alcoholic beverages and other goods. In 1869, they reached a peak pop. of 540, which sub"
41,"ALBERTFALVA Pestdist.,Hungary. Jews settledin the late 19th cent. and numbered 89 in 1930. They were deported to Auschwitz via Budafok on 29 June 1944."
42,"ALEKSANDRIA Volhynia dist., Poland, today Ukraine. A few Jews remained after the destruction of A. in the Chmielnicki disturbances of 1648-49. The community grew to 2,154 (total 3,189) in 1897 with the development of light industry and the building o"
43,"ALEKSANDROBOLIS (Yid. Alaksandrabal) Rokiskis dist., Lithuania. Ten J. families lived here in 1918. In WWII all Jews were killed by Lithuanian nationalists."
44,"ALEKSANDROW (Aleksander) Lodz dist., Poland. Jews were among the first settlers in 1818, and after a few years a community was organized. Most were artisans and tradesmen who had incurred heavy debts, and it was only in 1909 that the synagogue was bu"
45,"ALEKSANDROW-KUJAWSKI Warsaw dist., Poland. Jews settled in the late 19th cent., numbering 286in 1897. By 1939 there were about 1,200 Jews (10% of the total). After the Germans occupied the town (Sept. 1939), the Jews were expelled in two waves (Sept."
46,"ALEKSIN Tula dist., Russia. J. settlement probably commencedin the early 20th cent.In 1926, the J. pop. was 68 (total 3,942). The few remaining Jews, who had neither fled norbeen evacuated, were murderedduring the short German occupation of the town "
47,"ALESSANDRIA Piedmont,Italy. The J. presence in A. dates from 1490, with the coming of Abraham Vitale de Sacerdoti(Cohen), who openedabank and was grantedresidence rights for his family. The family dominatedcommunal life in thenext centuries,producing"
48,"ALEXANDRENI Bessarabia, Rumania, today Republic of Moldova. Jews first settled in mid-19th cent. By 1897, 1,190 Jews constituted 95% of the total pop. of this J. agricultural settlement. Jews grew corn and later tobacco. A J. school opened early in t"
49,"ALEXANDRIA (Betcha)Kirovograd dist., Ukraine. Jews apparently settledin the late 18th cent. andnumbered 3,735 (total14,007)in 1897. Jewsmainly traded in farm produce (including grain) and worked as tailors. They were victimized by pogroms in 1882; in"
50,"ALEXANDROPOULIS (Alexandropole, Dedeagatch, Alexandropoli) Evrou dist., Greece. There was a small J. community in the early 20th cent. It operated a school and numbered 48 families in 1912. The community dwindled in the 1920s and became financially d"
51,"ALEXANDROVKA Kirovograd dist., Ukraine. Jews apparently arrived in the late 18th cent. and increased in number from 356 in 1847 to 3,213 (total 4,366) in 1897. In a Dec. 1919 pogrom, Anton Denikin's White Army murdered 48 Jews. In the Soviet period, "
52,"ALKMAAR Noord-Holland dist., Holland. A shortlived Sephardi community was established in 1604, under the protection of the authorities. This was the first time Jews in Holland received full equality. From the end of the 17th cent. an Ashkenazi commun"
53,"ALLENDORF (now part of Stadt-Allendorf) Hesse-Nassau, Germany. Jews lived there in the 17th cent. Together with J. villagers in neighboring Hatzbach, Erksdorf, and Speckswinkel, they established a unified community (1842) and numbered over 120 in 186"
54,"ALLENDORFAN DER LUMDA Hesse, Germany. Establishedaround 1838, the community numbered91 (8% of the total) in 1895. On Kristallnacht (9-10 Nov. 1938) J. property was destroyed andby 1939 the Jews hadmostly emigratedor settledelsewhere.Theremaining 20 w"
55,"ALLENSTEIN (Pol. Olsztyn) East Prussia, Germany, today Poland. First evidence of a J. presence dates from 1819. With 56 members in 1820, the community grew steadilyand there were212 Jews in 1871; 471 in 1905; and 612 in 1925. In the beginning of the "
56,"ALLERSHEIM (in J. sources, Alirshi, Alersha) Lower Franconia, Germany. Jews are known from the mid-17th cent. The cemetery, consecrated in 1729, served numerous communities in the region. In 1816, the J. pop. was 90 (total 331), declining steadily to"
57,"ALMAZNAYA Voroshilovgraddist.,Ukraine. The J. pop. in 1939 was 165 (total 8,898). After their arrival on 12 July 1942, the Germans murderedthe Jews who failed to escaped or were not evacuated."
58,"ALMELO Overijssel dist., Holland. The J. presence dates back to the mid-17th cent. By 1901 there were 562 Jews, many active in the textile industry. In 1941, there were 403 Jews (total 36,812) and the community was well organized. In early 1942, J. y"
59,"ALMOSD Bihar dist., Hungary. The J. community was founded in the 18th cent. and grew to a peak pop. of 227in 1830 before Jews started leaving for the cities. In 1941, 80 remained.Between 20 May and 3 June 1944, they were deportedto Auschwitz via Nagy"
60,"ALOVE (Yid. Alave) Alytus dist, Lithuania. In 1923, A. had 78 Jews. In WWII all of A's. Jews were killed."
61,"ALPEN Rhineland, Germany. Jews began settling under letters of protection in 1714. In the 19th cent., they maintained asynagogue, cemetery, and J. school with a pop. of 60-70 (up to 8% of the total). Most engagedin trade.In 1933, 35 remained. Of thes"
62,"ALPHEN AAN DE RIJN Zuid-Holland dist., Holland. Jews settled there in the 18th cent. The J. pop. was 70 (total 19,471) prior to the Holocaust, when all were deported; none returned."
63,"ALSBACH Hesse,Germany. Some Jews lived there from the 15th cent., opening a burial ground (1616) before a community was established in the late 18th cent. It numbered 58 (5% of the total) in 1910 and had declined to 21 (seven families) by 1933. These"
64,"ALSEDZIAI (Yid. Alshad) Telsiai dist., Lithuania. Jews were living here in 1662. The 1897 J. pop. was 295 (27%). In 1940 there were about 30 families. With the outbreak of WWiI, Lithuanians harassed the Jews but were stopped from killing them by the "
65,"ALSENZ Palatinate, Germany. Two protected J. families were present in 1650. In 1731 there were 22 families, trading in cattle and grain and engaged in moneylending.In 1807, the J. pop. comprised 13 families and in 1846, 22 (102 Jews), including 17 me"
66,"ALSFELD Hesse, Germany. A community established in medieval times fell victim to the Black Death persecutions of 1348-49. Jews returned in the late 18th cent. and helped develop local industries. The modern community—numbering 252 (5% of the total) i"
67,"ALSHEIM Hesse,Germany. The community, established in 1750, numbered 73 (5% of the total) in 1861. Religiously Liberal, it was celebrated for its choir. All 20 Jews living there in 1933 had emigrated or moved elsewhere by WWII."
68,"ALSODABAS Pest-Pilis-Solt-Kiskun dist., Hungary. Jews settled in the late 18th cent., numbering 145 in 1880 and 44 in 1930. On 6 July 1944, they were deported to Auschwitz via Monor. After the war about 30 survivors renewed the community."
69,"ALSOSAG Vas dist., Hungary. AJ. family settledin 1746,but the community developedonly in the second half of the 19th cent.SevenJews in the areaweremurdered in the White Terror attacks of 1919 and many fled A. In 1930, the J. pop. was 109. In 1944, th"
70,"ALSOZSOLCA Borsod dist., Hungary. The J. pop. was 75 in 1930. On 10 June 1944, the Jews were deported to Auschwitz."
71,"ALTDAMM (Pol. Dombie), today part of Stettin, Pomerania,Germany, today Poland. Letters of protection (Schutzbriefe) for nine Jews in 1481 constitute the first evidence of J. settlement here. Between 1491-93, the local Jews, together with the Jews of "
72,"ALTDORF Baden, Germany. Jews are first mentionedin the 1570s.A permanent settlement was established by J. refugees from Ettenheim in 1716. Jews reached a peak pop. of 313 in 1855 (about 20% of the total), which declined to 51 in 1933. Fifteen emigrat"
73,"ALTENA Westphalia, Germany. A few J. families, numbering 15-25 people, were present in the mid-18th cent. The J. pop. reached a peak of 126 in 1821. The community built three synagogues (in 1808, 1828, and 1915) and maintained a cemetery from at leas"
74,"ALTENBURG Thuringia, Germany. Jews first settled in A. in 1364, but were expelled in the 15th cent. It is unclear when they were allowed to settle again,but in the 19th cent. thereis evidence of a thriving J. community which was well integrated into "
75,"ALTEN-BUSECK Hesse, Germany. The nobles of B. took so many Jews into their eight villages that the area became known as ""Little Palestine"" (1776). Numbering over 60 in 1831, the community dwindled to five (0.4% of the total) in 1939. The last three J"
76,"ALTENGRONAU Hesse, Germany. Jews from Steinau took refuge there during the Black Death persecutions of 1348-49. The later community, numbering 51 (5% of the total) in 1905, owned one of the oldest (17th cent.) and largest J. cemeteries in Hesse, wher"
77,"ALTENKIRCHEN IM WESTERWALD Rhineland, Germany. Ten J. families were present in the 16th cent. In 1648, they were forced to convert or leave. In 1843, the community numbered 83, reaching apeak of 260 in 1908,but subsequently the J.pop. declined steadi"
78,"ALTENKUNSTADT Upper Franconia, Germany. Jews were present from the 15th cent. Their houses were destroyedduring thepeasantriots of 1699.A synagogue was built in 1726 (replaced in 1822) and a J. public schoolwasopenedin 1869.The J.pop. declined sharpl"
79,"ALTENLOTHEIM Hess., Germany. The J. community numbered 47 (over 9% of the total) in 1871. By 1935,eight of theremaining24 Jewshad emigrated and 12 had moved to other German towns; four were deported in 1941."
80,"ALTENMUHR Middle Franconia, Germany. A J. community was present in the first half of the 18th cent., reaching a pop. of 250in 1837 (total 720). A synagogue was built in 1815. In 1933 the J. pop. was 29. In the face of the Nazi economic boycott the Je"
81,"ALTENSCHOENBACH Lower Franconia, Germany. Jews are mentioned in the early 18th cent., with an organized community in the late 18th cent. and a J. school enrolling 27 children in 1850. The J. pop. declined steadily from 141 in 1814 (total 499) to 15 i"
82,"ALTENSTADT Hesse, Germany. Jews first settled there in 1650 and by 1834 they numbered 403 (about 50% of the total), declining to 91 (9.4%) within 60 years. Many Jews had emigrated even before the 136-year-old synagogue was destroyed on Kristallnacht "
83,"ALTINOVKA Sumy dist., Ukraine. The J. pop. in 1897 was 450 (1% of the total). After their arrival on 15 Sept. 1941, the Germans murdered the few remaining Jews who had neither fled norbeen evacuated."
84,"ALTKIRCH Haut-Rhine dist., France. A J. community was establishedin the 19th cent. A synagogue was inauguratedin 1834.It was damagedduring anti-J. riots in 1848 in the area. In 1865, there were 320 Jews listed as residing in A., dropping to 309 in 19"
85,"ALTLANDSBERG Brandenburg, Germany. Jews settled in A. at the end of 18th cent. In 1801, there werethreeJ. families.The town was thecenterof a district community covering theNiederbarnimareawhich included 14 affiliated communities, numbering about 450"
86,"ALTONA Schleswig-Holstein (now part of Hamburg), Germany. Although Jews were excluded from Hamburgin the late 16th century, they were welcomed in theneighboring township of A. In 1612,thecount of Schauenburg grantedJews theprivilege of living in A. a"
87,"ALTWIEDERMUS Hesse,Germany.Many Jews of Spanish-PortugueseandBohemianorigin lived in nearby Ronneburg until about 1850. The smaller A. community, with a maximum pop. of 29 in 1910,had vanished by Dec. 1938."
88,"ALUKSNE Vidzeme (Livonia) dist., Latvia. Jews began settling in the 1890s and reached a pop. of 233 (total 1,976) in 1920. Though economic conditions were favorable between the wars, with Jews owning eight of the town's 31 small factories and 21 of i"
89,"ALUNTA (also Avanta) Utena dist., Lithuania. A.'s J. community began in the 19th cent. The J. pop. in 1923 was 222 (48% of the total). In 1939, a blood libel provoked attacks on Jews and their homes. With the Soviet occupation in fall 1940, Zionist a"
90,"ALUPKA Crimea, Russia, today Ukraine. Though present long before, Jews received formal residence rights in this resort town in 1903. In 1939, they numbered242 (total7,787) The Germans occupiedA. on 8 Nov. 1941 and in Dec. murdered the few remaining J"
91,"ALUSHTA Crimea, Russia, today Ukraine. Jews were given formal residence rights only in 1903. In 1910, they numbered 544 (total 4,096). The Zionists won the elections to the community council in 1918. In 1939, the J. pop. was 277. The Germans occupied"
92,"ALYTUS (Yid. Alita) Alytus dist., Lithuania. A. occupies both banks of the Niemen River and at times was consideredtwo cities. The J. community in eastern A. beganin the 16th cent.In 1897, westernA. had 481 Jews (33 % of the total) andeasternA. had 7"
93,"ALZENAU Lower Franconia, Germany. The community was probably founded in the 17th cent. Jews played animportantrole in the town's economic development, opening tobacco factories and controlling the cattle trade. À synagogue was built in 1826 and the J"
94,"ALZEY Hesse,Germany. The medieval community, established before 1260, was shattered by the Black Death persecutions of 1348-49 and expelled in 1391. Jews returned about 300 years later and their number grew to over 350 (7% of the total) in 1861. Most"
95,"AMBERG Upper Palatinate, Germany. Jews were present in the 13th cent. In the Rindfleisch massacres of 1298, 13 were murdered and in 1403 all were expelled. The community was renewed in the 1850s and 1860s and numbered 101 in 1900 (total 22,039). The "
96,"AMERSFOORT Utrecht dist., Holland. The first Portuguese Jews to settle arrived in 1655. An Ashkenazi community developed in the 18th cent. The fine synagogue built in 1727 still stands. The local council strongly defendedthe rights of its Jews, who w"
97,"AMIENS Somme dist., France. Jews settled in À. in the beginning of the 19th cent.,but its synagogue was inaugurated only in 1935. According to the German census of 1941, only 41 Jews were listed in A. After wwil, with the influx of North African Jews"
98,"AMRUS (also Sug, al-Jama, al-Sahal) Tripolitania dist., Libya. J. settlement commenced in about the 16th cent. when Jews arrived from Gharian. In the 18th cent., they were joined by J. refugees from Tunis. During the Arab Revolt of Mahdi Yehi ben Yeh"
99,AMSTERDAM capital of Holland. A Street of the Jews is mentioned in the 14th cent. but the medieval community was destroyedin theBlack Death persecutions (1348-49). A new community was established only with the consolidation of Dutch independence in t
100,"AMSTETTEN Lower Austria, Austria. Although a J. cemetery was opened in 1859, Jews were allowed to settle in A. only in 1865. A community was established in 1881. A few years later a small synagogue was inaugurated and in 1894 a new cemetery was conse"
101,"ANANEV Moldavia, today Ukraine. An organizedJ. community existed by the early 19th cent. and numbered 3,527 (total 16,684) in 1897. Jews were victimized by pogroms in 1881, 1905, and 1919, the latter claiming 14 lives. In 1921, under Soviet rule, the"
102,"ANARCS Szabolcs dist., Hungary. Jews, first mentioned in 1747, numbered 105 in 1880 with a synagogue and cemetery and 91 in 1930. On 29-31 May 1944, they were deported to Auschwitz via Kisvarda."
103,"ANCONA Marche, Italy. An organized J. community in this Adriatic seaport is known from the 14th cent. In 1427, the local Jews were forced to wear the J. badge and reside on a single street.In 1492, the community absorbed refugees from Sicily, and als"
104,"ANDERNACH Rhineland, Germany. Benjamin of Tudela numbered A. among the 13 cities on the Rhine with important J. communities in the 12th cent. J. homes were destroyed in anti-J. riots in 1287 and Jews suffered in the Armleder disturbances of 1337 and "
105,"ANDREAPOL Kalinin dist., Russia. Jews probably settled in the late 19th cent. Their pop. was 327 in 1926 and 133 in 1939. During the German occupation of Sept. 1941-Jan. 1942, the few who had not fled or been evacuated were murdered."
106,"ANDREEVO-IVANOVKA (Chemovo, Kulikovo Pole) Odessa dist., Ukraine. The J. pop. was 546 (total 1,458) in 1897 and 330 in 1939. The Germans and Rumanians captured the town on 5 Aug. 1941, shortly afterwards murdering 60 Jews from the area (mostly from A"
107,"ANDRIEJAVAS Kretinga dist., Lithuania. The J. pop. was 66 in 1923. The Jews were killed in the Holocaust. Opening of Jewish community center, Andrychow, Poland, 1924"
108,"ANDRUSHEVKA Zhitomir dist., Ukraine. Jews are first mentionedin the mid-18th cent. as numbering 12. By 1897, their number stood at 430 (total 2,682) and in 1927 at 300. In the Soviet period, 80% of the Jews were artisans or laborers. A J. elementary "
109,"ANDRYCHOW (Yid. Yandrichov) Cracow dist., Poland. Jews settled in the first half of the 19th cent., dealingmainly in cloth, and werebehind the establishment of the first mechanizedknitting plants in the second half of the cent.The community grew to 6"
110,"ANDRZEJEWO Bialystok dist., Poland. Founded in the second half of the 19th cent., the community numbered 277 out of a total pop. of 800 in 1921. In WWII, the Germans deported its Jews to larger centers but some escaped to Soviet Russia."
111,"ANDRZEJOW Lodz dist., Poland. The J. community was foundedin 1805 at this vacationresort,eventually a suburb of Lodz. In 1921, 99 Jews lived there."
112,"ANGENROD Hesse, Germany. Owing to their useful role in the cattletrade, Jews were welcomedandby 1797 had established a community—dubbed ""New Jerusalem"" — which numbered 247 (42% of the total) in 1861. Reduced to 63 by the time Hitler came to power in"
113,"ANGERBURG (Pol. Wegorzewo) East Prussia, Germany, today Poland. The J. pop. grew from 27 in 1843 to 72 in 1871. By 1880, the J. pop. numbered 54. During WWI, the rented prayer room was closed and the religious instruction teacher dismissed for lack o"
114,"ANGERMUENDE Brandenburg, Germany. The earliest evidence of Jews in A. dates from 1681. In 1709, the four J. families in A. acquired a burial ground. In 1815, a synagogue was set up to serve the 20 J. families in the town. In 1880, the J. pop. was 135"
115,"ANGERS Maine-et-Loire dist., France. The renowned talmudist R. Yosef ben Shemuel Tov Elem-Bonfils, lived in A. at the end of the 11th cent. The local Jews lived on theRue dela Juiverieuntil the general expulsion from Francein the 14th cent.In the 19t"
116,"ANKLAM Pomerania,Germany. J. moneylenders in A. were burned to death in the Black Death persecutions of 1348-49. Jews only settled permanently in A. after the regulations regarding Jews in Prussia were revised in 1812. In 1816, the J. pop. of A. came"
117,"ANNABERG Saxony, Germany. Jews did not settle in A. until 1867. In 1890, the community numbered 78 individuals. The community gave complete equality to J. immigrants from Eastern Europe. In 1897, a synagogue was established and a religious education "
118,"ANNOPOL Kamenets-Podolski dist., Ukraine. Jews numbered 395 in 1765 and 1,812 (82.5% of the total) in 1897. Dov Baer of Mezhirech (1704-72), one of the greatest hasidic figures, is buried in the town. The J. pop. dropped to 1,259 in 1926 and presumab"
119,"ANNOPOL-RACHOW Lublin dist., Poland. Jews arrived in the early 17th cent. as innkeepers, distillers, and grain and cattle merchants as wellas artisans and petty traders.In the 19th cent.,A. was a centerof Torah learning. Three generations of the Rubi"
120,"ANRATH Rhineland,Germany. The J.pop. was 116 in 1852 and 44 in 1925. The community maintained a synagogue, a school, and a cemetery. It was affiliated to the Krefeld community. The Nazis deported 13 J. residents, who perished."
121,"ANROECHTE Westphalia, Germany. Jews are first mentioned in 1614. Their pop. never exceeded a few dozen (3-4% of the total). A synagogue was in use in the 18th cent. and a school was opened in 1855 with 24 children in attendance. Jews were prominent i"
122,"ANSBACH (in J. sources, Onolshbach) Middle Franconia, Germany. Jews first settled in the early 14th cent. Most were murdered in the Black Death persecutionsof 1348-49. The community reestablished itselfin the secondhalf of the 14th cent.under theprot"
123,"ANTALIEPTE (Yid. Antalapt) Zarasaidist., Lithuania. The J. pop. in 1897 was 474 (85.5% of the total). After WWI many Jews emigrated to South Africa, the U.S., Uruguay, and Palestine. When the Germans enteredA. on 26 June 1941, they together with the "
124,"ANTANAVAS Marijampole dist., Lithuania. The J. pop. in 1923 was 192. All Jews were killed after the German conquest of 1941."
125,"ANTONINY Kamenets-Podolski dist., Ukraine. The J. pop. in 1939 was 110 (3.5% of the total). The Germans occupied A. on 7 July 1941 and in July 1942 executed the Jews at the village of Manivtsy."
126,"ANTONOVKA Mogilev dist., Belorussia. A. was founded in 1837 as a J. farm settlement. In 1924-25, under the Soviets, 39 J. families were engaged in agriculture.In 1930 the settlement became a kolkhoz with only ten of the J. families continuing to farm"
127,"ANTONOWKA Volhynia dist., Poland, today Ukraine. A. was founded as a J. farm settlement in 1833 on 900 acres of land and numbered 620 Jews in 1897 and 482 (total535) in 1921. After A. was capturedby theGermans in July 1941, all Jews werebrought to th"
128,"ANTOPOL Polesie dist., Poland, today Belarus. J. settlement dates from 1604 and grew considerably in the 19th cent. with highway, canal, and railway links bringing prosperity and the J. pop. reaching 3,137 in 1897 (total 3,867). Jews operated flour m"
129,"ANTWERP (Flem. Antwerpen; Fr. Anvers) Belgium. The arrival of J. craftsmen, Marranos from Portugal, contributed to the expansion of the diamond industry which was established in A. in the 15th cent. In the 16th, 17th, and 18th cents. there was a sign"
130,"ANYKSCIAI Utena dist., Lithuania. A.'s J. community began in the 17th cent. It was hit hard by repeated fires in the late 19th and early 20th cents. The J. pop. in 1897 was 2,754 (70% of the total). On 14 July 1915 a Russianregiment stageda pogrom ag"
131,"APA N. Transylvania dist., Rumania. Jews settledin the mid-18th cent. The J. pop. in 1920 was 69 (3% of the total). In May 1944 the community was transferred to the SatuMare ghetto andin June deportedto Ausch-WIZ."
132,"APAGY Szabolcs dist., Hungary. Jews are first mentioned in 1747. Their pop. was 160 in 1880 and 109 in 1930.On 14 April1944,they werebrought to Szabolcs and from theredeportedbetween 17May and6 June to Auschwitz."
133,"APATIN Vojvodina dist., Yugoslavia. Jews lived in A. from the late 19th cent. until the 1940s. There were 251 in 1921 and 61 in 1940 (total 17,000). Most perished in the Holocaust."
