ejl_line,code,name,region,country,presence_type,year_approx,year_code,source,area,index_sht,src,lon,lat
55,PRU_OST_ALL,ALLENSTEIN,East Prussia,Germany,first_mention,1819,1819,First evidence of a J. presence dates from 1819,Ostpreu��,,GLC_PRU,20.48333333,53.78333333
60,VLN_TRK_ALV,ALOVE,Vilnius,Lithuania,POP,1923,1923,"In 1923, A. had 78 Jews.",Russian Empire,0407Ol2,SHTETLS,24.2,54.35
64,KVN_TLS_ALSD,ALSEDZIAI,Kovno,Lithuania,jews_present,1662,1662,Jews were living here in 1662.,Russian Empire,1706Ol1,SHTETLS,22.05,56.03333333
71,POL_PMR_ALT,ALTDAMM,Pomerania,Germany,first_mention,1481,1481,Letters of protection (Schutzbriefe) for nine Jews in 1481 constitute the first evidence,Congress Poland,,GLC_PRU,14.66666667,53.4
83,CHR_KRL_ALTY,ALTINOVKA,Chernigov,Ukraine,POP,1897,1897,The J. pop. in 1897 was 450,Russian Empire,4807Al1,SHTETLS,33.18333333,51.45
88,LVL_VLK_ALKS,ALUKSNE,Livonia,Latvia,jews_arrived,1890,1890,Jews began settling in the 1890s,Russian Empire,2102Al1,SHTETLS,27.05,57.41666667
89,KVN_VL'_ALNT,ALUNTA,Kovno,Lithuania,community_present,1800,18XX,A.'s J. community began in the 19th cent.,Russian Empire,1702Ov1,SHTETLS,25.3,55.35
101,KHR_ANN_ANNY,ANANEV,Kherson,Ukraine,community_present,1815,18EX,An organized J. community existed by the early 19th cent.,Russian Empire,4703An1,SHTETLS,29.96666667,47.71666667
108,VLH_ZHT_ANDR,ANDRUSHEVKA,Volhinia,Ukraine,first_mention,1750,17MX,Jews are first mentioned in the mid-18th cent.,Russian Empire,0801An1,SHTETLS,29.01666667,50.01666667
109,GLC_KRK_AND,ANDRYCHOW,Cracow,Poland,jews_arrived,1815,18EX,Jews settled in the first half of the 19th cent.,Galicia,,GLC_PRU,19.35,49.85
110,LMZ_OST_ANDR,ANDRZEJEWO,Lomza,Poland,community_founded,1875,18LX,Founded in the second half of the 19th cent.,Russian Empire,5405An1,SHTETLS,22.16666667,52.85
111,POL_LDZ_AND,ANDRZEJOW,Lodz,Poland,community_founded,1805,1805,The J. community was founded in 1805,Congress Poland,,GLC_PRU,19.68333333,51.73333333
113,PRU_OST_ANG,ANGERBURG,East Prussia,Germany,jews_present,1843,1843,The J. pop. grew from 27 in 1843,Ostpreu��,,GLC_PRU,21.73333333,54.21666667
116,POL_PMR_ANK,ANKLAM,Pomerania,Germany,jews_present,1348,1348,J. moneylenders in A. were burned to death in the Black Death persecutions of 1348��,Congress Poland,,GLC_PRU,13.7,53.86666667
118,VLH_OST_ANNP,ANNOPOL,Volhinia,Ukraine,POP,1765,1765,Jews numbered 395 in 1765,Russian Empire,0810An1,SHTETLS,26.9,50.45
119,WGLC_LBL_ANN,ANNOPOL-RACHOW,Lublin,Poland,jews_arrived,1615,16EX,Jews arrived in the early 17th cent.,West Galicia,,GLC_PRU,21.85,50.88333333
124,SWL_MRM_ANTN,ANTANAVAS,Suwalki,Lithuania,POP,1923,1923,The J. pop. in 1923 was 192,Russian Empire,5906An1,SHTETLS,23.28333333,54.71666667
125,VLH_ZSL_ANTN,ANTONINY,Volhinia,Ukraine,POP,1939,1939,The J. pop. in 1939 was 110,Russian Empire,0804An1,SHTETLS,26.86666667,49.8
126,MGL_CHR_ANTN,ANTONOVKA,Mogilev,Belorussia,community_founded,1837,1837,A. was founded in 1837 as a J. farm settlement,Russian Empire,2311An1,SHTETLS,31.51666667,53.85
127,VLH_RVN_ANTN,ANTONOWKA,Volhinia,Poland,community_founded,1833,1833,A. was founded as a J. farm settlement in 1833,Russian Empire,0811An1,SHTETLS,26.5,50.8
130,KVN_VL'_ANYK,ANYKSCIAI,Kovno,Lithuania,community_founded,1600,16XX,A.'s J. community began in the 17th cent.,Russian Empire,1702On1,SHTETLS,25.1,55.53333333
135,LVL_VLK_AP,APE,Livonia,Latvia,POP,,,The J. pop. early in the cent. was 200,Russian Empire,2102Ap1,SHTETLS,26.66666667,57.53333333
140,KHR_KHR_APST,APOSTOLOVO,Kherson,Ukraine,POP,1939,1939,The J. pop. in 1939 was 81,Russian Empire,4701Pk1,SHTETLS,33.73333333,47.66666667
147,BSS_AKK_ARTS,ARCIZ,Bessarabia,Rumania,jews_arrived,1850,18MX,Jews first settled in the mid-19th cent.,Russian Empire,0302St1,SHTETLS,29.41666667,45.98333333
152,KVN_KVN_ARGL,ARIOGALA,Kovno,Lithuania,community_founded,1700,17XX,A.'s J. community began in the 18th cent.,Russian Empire,1701Er1,SHTETLS,23.46666667,55.26666667
155,TRD_PRK_ARMY,ARMYIANSK,Taurida,Russia,jews_arrived,1875,18LX,Jews probably settled in the late 19th cent.,Russian Empire,4106Ar1,SHTETLS,33.7,46.1
163,EKT_BKH_ARTM,ARTIOMOVSK,Yekaterinoslav,Ukraine,jews_arrived,1815,18EX,Jews probably settled in the early 19th cent.,Russian Empire,1303Bk1,SHTETLS,38,48.58333333
178,CRL_TKK_AC,AUCE,Courland,Latvia,jews_arrived,1700,17XX,Jews arrived with the founding of the town in the 18th cent.,Russian Empire,1909At1,SHTETLS,22.88333333,56.46666667
183,SWL_AVG_AGST,AUGUSTOW,Suwalki,Poland,jews_arrived,1564,1564,The first Jews settled in 1564,Russian Empire,5902Av1,SHTETLS,23,53.85
184,VLN_TRK_AKST,AUKSTADVARIS,Vilnius,Lithuania,jews_arrived,1600,16XX,Jews began settling by the 17th cent.,Russian Empire,0407Vy1,SHTETLS,24.53333333,54.58333333
185,SWL_MRM_AKST,AUKSTOJI-PANEMUNE,Suwalki,Lithuania,POP,1897,1897,The J. pop. in 1897 stood at 775,Russian Empire,5906Pn1,SHTETLS,23.96666667,54.85
187,POL_LDZ_AUR,AURELOW,Lodz,Poland,community_present,1918,1918,A small community existed here between the World Wars,Congress Poland,,GLC_PRU,19.35,50.91666667
192,SWL_MRM_AZLB,AZUOLU BUDA,Suwalki,Lithuania,jews_present,1899,1899,In 1899 a Zionist organization was founded here,Russian Empire,5906Db1,SHTETLS,23.51666667,54.7
194,KV_UMN_BBNK,BABENKA,Kiev,Ukraine,POP,1790,1790,Jews numbered 42 in 1790,Russian Empire,1610Bb1,SHTETLS,30.45,48.7
195,POL_LDZ_BBK,BABIAK,Lodz,Poland,jews_present,1857,1857,"In 1857, 240 Jews ... were living here",Congress Poland,,GLC_PRU,18.66666667,52.35
196,MGL_ORS_BBNV,BABINOVICHI,Mogilev,Belorussia,POP,1897,1897,The J. pop. was 552 ... in 1897,Russian Empire,2307Bb1,SHTETLS,30.58333333,54.83333333
198,KVN_KVN_BBT,BABTAI,Kovno,Lithuania,jews_present,1800,18XX,"In the 19th cent., J. merchants developed lumber and agricultural exports",Russian Empire,1701Bb1,SHTETLS,23.8,55.1
210,WGLC_LBL_BCZ,BACZKI,Lublin,Poland,jews_arrived,1875,18LX,Jews first settled in the 1860s,West Galicia,,GLC_PRU,21.78333333,52.53333333
230,POL_PMR_BDP,BAD POLZIN,Pomerania,Germany,first_mention,1711,1711,Mention of a Jew in B. is first made in 1711,Congress Poland,,GLC_PRU,16.08333333,53.75
240,MGL_GRK_BYV,BAEVO,Mogilev,Belorussia,POP,1897,1897,The J. pop. was 505 (total 906) in 1897,Russian Empire,2304Bv1,SHTETLS,31.11666667,54.48333333
250,KVN_SHV_BSGL,BAISOGALA,Kovno,Lithuania,community_founded,1775,17LX,The J. community began at the end of the 18th cent.,Russian Empire,1707Bs1,SHTETLS,23.71666667,55.63333333
253,SWL_SVL_BKLR,BAKALARZEWO,Suwalki,Poland,jews_present,1875,18LX,In the late 19th cent. B. became a resort and this provided many of its Jews with new livelihoods,Russian Empire,5901Bk1,SHTETLS,22.65,54.1
254,TRD_SMF_BKHC,BAKHCHISARAY,Taurida,Russia,jews_present,1215,12EX,Krimchaks lived in Chufat-Kale ... in the early 13th cent.,Russian Empire,4101Bk1,SHTETLS,33.86666667,44.75
255,CHR_KNT_BKHM,BAKHMACH,Chernigov,Ukraine,jews_present,1897,1897,had a J. pop. of 491 in 1897,Russian Empire,4806Bk1,SHTETLS,32.76666667,51.21666667
256,VLN_OSH_BKSH,BAKSZTY,Vilnius,Poland,POP,1897,1897,The J. pop. was 172 in 1897,Russian Empire,0405Bk1,SHTETLS,26.18333333,53.93333333
258,KV_LPV_BLBN,BALABANOVKA,Kiev,Ukraine,jews_present,1775,17LX,About ten Jews were present in the latter half of the 18th cent.,Russian Empire,1606Bl1,SHTETLS,29.61666667,49.11666667
260,TRD_SVS_BLKL,BALAKLAVA,Taurida,Russia,jews_present,1919,1919,A council of Russian Zionists convened here on 18-22 Sept. 1919,Russian Empire,4110Bl1,SHTETLS,33.6,44.5
265,SWL_MRM_BLBR,BALBIERISKIS,Suwalki,Lithuania,community_founded,1650,16MX,The J. community began in the mid-17th cent.,Russian Empire,5906Bl1,SHTETLS,23.88333333,54.53333333
267,GLC_LWW_BLG,BALIGROD,Lwow,Poland,jews_arrived,1775,17LX,The first Jews arrived ... in the late 18th cent.,Galicia,,GLC_PRU,22.28333333,49.33333333
269,PDL_KMN_BLN,BALLIN,Podolia,Ukraine,jews_arrived,1700,17XX,Jews settled in the 18th cent.,Russian Empire,3201Bl1,SHTETLS,26.68333333,48.86666667
271,KVN_VL'_BLNN,BALNINKAI,Kovno,Lithuania,community_founded,1775,17LX,The J. community was established at the end of the 18th cent.,Russian Empire,1702Bl1,SHTETLS,25.13333333,55.3
272,PDL_BLT_BLT,BALTA,Podolia,Ukraine,jews_arrived,1515,15EX,J. settlement commenced in the early 16th cent.,Russian Empire,3202Bl1,SHTETLS,29.61666667,47.93333333
273,BSS_BLT_BLT,BALTI,Bessarabia,Rumania,jews_arrived,1775,17LX,Jews were among the founders ... in the late 18th cent.,Russian Empire,0304Bl1,SHTETLS,27.93333333,47.76666667
281,PDL_MGL_BR,BAR,Podolia,Ukraine,jews_arrived,1500,15XX,Jews settled in the 16th cent.,Russian Empire,3208Br1,SHTETLS,27.66666667,49.06666667
285,MGL_ORS_BRN,BARAN,Mogilev,Belorussia,jews_present,1929,1929,"In 1929, 17 J. families worked on a kolkhoz",Russian Empire,2307Br1,SHTETLS,30.31666667,54.48333333
288,GLC_LWW_BRN,BARANOW (I),Lwow,Poland,community_founded,1700,17XX,After renewal in the 18th cent.,Galicia,,GLC_PRU,21.53333333,50.48333333
289,WGLC_LBL_BRN,BARANOW (II),Lublin,Poland,jews_arrived,1600,16XX,Jews settled in the 17th cent.,West Galicia,,GLC_PRU,22.15,51.56666667
290,MNS_NVG_BRNV,BARANOWICZE,Minsk,Poland,jews_arrived,1870,1870,Jews began settling ... in the 1870s,Russian Empire,2206Br1,SHTETLS,26.03333333,53.13333333
291,VLH_ZHT_BRSH,BARASHI,Volhinia,Ukraine,first_mention,1752,1752,A J. community is first mentioned in 1752,Russian Empire,0801Br1,SHTETLS,28.01666667,50.71666667
303,KVN_TLS_BRST,BARSTYCIAI,Kovno,Lithuania,POP,1923,1923,In 1923 the J. pop. was 87,Russian Empire,1706Br1,SHTETLS,21.86666667,56.16666667
304,PRU_OST_BRT,BARTENSTEIN,East Prussia,Germany,first_mention,1737,1737,The first evidence of a J. presence ��� dates fro,Ostpreu��,,GLC_PRU,20.81666667,54.25
305,SWL_VLK_BRTN,BARTININKAI,Suwalki,Lithuania,POP,1923,1923,The J. pop. in 1923 was 93 (24% of the total).,Russian Empire,5904Br1,SHTETLS,23.05,54.5
306,GLC_TRN_BRY,BARYSZ,Tarnopol,Poland,community_present,1875,18LX,from the late 19th cent. on,Galicia,,GLC_PRU,25.26666667,49.03333333
307,PLT_PRS_BRYS,BARYSZEVKA,Poltava,Ukraine,POP,1897,1897,Jews numbered 462 in 1897,Russian Empire,3311Br1,SHTETLS,31.33333333,50.36666667
312,KVN_RSS_BTK,BATAKIAI,Kovno,Lithuania,POP,1915,19EX,Before WWI B.'s J. pop. was approximately 50 families,Russian Empire,1705Bt1,SHTETLS,22.51666667,55.35
317,GLC_TRN_BTT,BATIATYCZE,Tarnopol,Poland,POP,1921,1921,The J. pop. in 1921 was 195,Galicia,,GLC_PRU,24.26666667,50.1
326,CRL_BSK_BSK,BAUSKA,Courland,Latvia,jews_arrived,1775,17LX,Lithuanian Jews first settled in the Sloboda suburb... in the late 18th cent.,Russian Empire,1902Bs1,SHTETLS,24.18333333,56.4
330,VLH_STR_BZLY,BAZALIYA,Volhinia,Ukraine,jews_arrived,1675,16LX,Jews settled in the late 17th cent.,Russian Empire,0812Bz1,SHTETLS,26.46666667,49.71666667
331,VLH_OVR_BZR,BAZAR,Volhinia,Ukraine,jews_present,1775,17LX,The J. community probably developed from the late 18th cent.,Russian Empire,0809Bz1,SHTETLS,29.3,51.05
332,KVN_SHV_PDBY,BAZILIONAI,Kovno,Lithuania,community_present,1800,18XX,The J. community developed in the 19th cent.,Russian Empire,1707Pd1,SHTETLS,23.13333333,55.8
345,MNS_BRS_BGML,BEGOML,Minsk,Belorussia,jews_arrived,1815,18EX,Jews probably settled in the first half of the 19th cent.,Russian Empire,2203Bg1,SHTETLS,28.06666667,54.73333333
357,KV_VSL_BLTS,BELAYA TSERKOW,Kiev,Ukraine,jews_arrived,1615,16EX,Jews settled in the early 17th cent.,Russian Empire,1603Bl1,SHTETLS,30.11666667,49.78333333
359,TL_BLV_BLV,BELEV,Tula,Russia,jews_arrived,1875,18LX,Jews probably settled in the late 19th cent.,Russian Empire,4404Bl1,SHTETLS,36.13333333,53.81666667
361,POL_PMR_BLG,BELGARD,Pomerania,Germany,jews_present,1675,16LX,A small J. settlement existed at the end of the 17th cent.,Congress Poland,,GLC_PRU,16,54
364,KV_BRD_BLYL,BELILOVKA,Kiev,Ukraine,jews_present,1715,17EX,Jews were present in the early 18th cent.,Russian Empire,1602Bl1,SHTETLS,29.03333333,49.68333333
366,POL_LDZ_BLK,BELKHATOW,Lodz,Poland,jews_present,1808,1808,"In 1808, 17 Jews lived here",Congress Poland,,GLC_PRU,19.38333333,51.36666667
368,VLH_ZSL_BLHR,BELOGORODKA,Volhinia,Ukraine,first_mention,1615,16EX,Jews in small numbers are known from the early 17th cent.,Russian Empire,0804Bl1,SHTETLS,26.63333333,50
369,KV_BRD_BLPL,BELOPOLYE,Kiev,Ukraine,jews_arrived,1721,1721,Jews settled in 1721,Russian Empire,1602Bl2,SHTETLS,28.86666667,49.85
373,SML_BLY_BLYY,BELYI,Smolensk,Russia,jews_arrived,1850,18MX,Jews probably settled in the mid-19th cent.,Russian Empire,4002Bl1,SHTETLS,32.93333333,55.83333333
374,MGL_MGL_BYLY,BELYNICHI,Mogilev,Belorussia,POP,1847,1847,"The J. pop. was 1,087 in 1847",Russian Empire,2301Bl1,SHTETLS,29.7,54
375,GLC_LWW_BLZ,BELZ,Lwow,Poland,first_mention,1413,1413,a complaint against J. tailors in 1413,Galicia,,GLC_PRU,24.01666667,50.38333333
377,WGLC_LBL_BLZ,BELZHYCE,Lublin,Poland,jews_present,1560,1560,A J. settlement existing in the 1560s,West Galicia,,GLC_PRU,22.28333333,51.18333333
379,POL_LDZ_BND,BENDKOW,Lodz,Poland,POP,1857,1857,"In 1857, 248 Jews lived here",Congress Poland,,GLC_PRU,19.75,51.58333333
381,POL_KLC_BND,BENDZIN,Kielce,Poland,jews_present,1275,12LX,in the late 13th cent. were present in the town itself,Congress Poland,,GLC_PRU,19.11666667,50.33333333
392,KV_BRD_BRDY,BERDICHEV,Kiev,Ukraine,first_mention,1593,1593,Jews are first mentioned in 1593,Russian Empire,1602Br1,SHTETLS,28.58333333,49.9
398,VLH_DBN_BRST,BERESTECZKO,Volhinia,Poland,community_present,1550,15MX,The community dates from the mid-16th cent.,Russian Empire,0803Br1,SHTETLS,25.11666667,50.35
402,VLH_NVG_BRZD,BEREZDOV,Volhinia,Ukraine,POP,1765,1765,Jews numbered 205 in 1765,Russian Empire,0808Br2,SHTETLS,27.11666667,50.46666667
403,MNS_IGM_BYRZ,BEREZINO,Minsk,Belorussia,POP,1766,1766,The J. pop. was 208 in 1766,Russian Empire,2204Br1,SHTETLS,29,53.85
404,CHR_CHR_BRZN,BEREZNA,Chernigov,Ukraine,jews_arrived,1815,18EX,Jews settled in the early 19th cent.,Russian Empire,4801Br1,SHTETLS,31.78333333,51.56666667
405,VLH_RVN_BRZN,BEREZNE,Volhinia,Poland,jews_arrived,1550,15MX,Jews settled in the mid-16th cent.,Russian Empire,0811Br1,SHTETLS,26.75,51
406,KHR_KHR_BRZN,BEREZNEGOVATOE,Kherson,Ukraine,jews_arrived,1850,18MX,J. settlement probably commenced in the mid-19th cent.,Russian Empire,4701Br1,SHTETLS,32.85,47.3
407,VLH_LTS_BRZH,BEREZNICA,Volhinia,Poland,first_mention,1648,1648,After 100 Jews lost their lives in the Chmielnicki massacres of 1648-49,Russian Empire,0807Br1,SHTETLS,26.46666667,51.43333333
408,KHR_ANN_BRZV,BEREZOVKA,Kherson,Ukraine,jews_present,1881,1881,A pogrom took place on 26-27 April 1881,Russian Empire,4703Br1,SHTETLS,30.91666667,47.21666667
415,KHR_KHR_BRYS,BERISLAV,Kherson,Ukraine,jews_arrived,1815,18EX,J. settlement began in the early 19th cent.,Russian Empire,4701Br2,SHTETLS,33.41666667,46.83333333
426,PDL_OLG_BRSH,BERSHAD,Podolia,Ukraine,jews_arrived,1500,15XX,J. settlement probably began in the 16th cent.,Russian Empire,3209Br1,SHTETLS,29.51666667,48.36666667
431,VTB_LPL_BYSH,BESHENKOVICHI,Vitebsk,Belorussia,jews_arrived,1715,17EX,Jews settled in the first half of the 18th cent.,Russian Empire,0506Bs1,SHTETLS,29.46666667,55.03333333
432,PRU_PZNW_BTS,BETSCHE,Posen-West,Germany,community_present,1750,17MX,"By the mid-18th century, there was a J. community",Posen,,GLC_PRU,15.76666667,52.46666667
434,KVN_KVN_BTYG,BETYGALA,Kovno,Lithuania,POP,1923,1923,The J. pop. in 1923 was 85,Russian Empire,1701Bt1,SHTETLS,23.36666667,55.36666667
446,WGLC_LDZ_BLC,BIALACHOW,Lodz,Poland,jews_arrived,1860,1860,Jews first settled here in 1860,West Galicia,,GLC_PRU,20.3,51.3
447,WGLC_LBL_BLP,BIALA PODLASKA,Lublin,Poland,community_present,1615,16EX,An organized community with a synagogue and cemetery existed in the first half of the 17th cent.,West Galicia,,GLC_PRU,23.13333333,52.03333333
448,POL_LDZ_BLR,BIALA RAWSKA,Lodz,Poland,jews_present,1775,17LX,Jews lived in B. from the late 18th cent.,Congress Poland,,GLC_PRU,20.48333333,51.8
449,WGLC_KLC_BLB,BIALOBRZEGI,Kielce,Poland,jews_arrived,1815,18EX,Jews settled in the early 19th cent.,West Galicia,,GLC_PRU,20.95,51.65
450,WGLC_KLC_BLG,BIALOGON,Kielce,Poland,POP,1921,1921,The J. pop. in 1921 was 252,West Galicia,,GLC_PRU,20.55,50.85
453,GLC_TRN_BLY,BIALY KAMIEN,Tarnopol,Poland,first_mention,1629,1629,Jews are recorded from 1629,Galicia,,GLC_PRU,24.83333333,49.9
454,GRD_BLS_BLYS,BIALYSTOK,Grodno,Poland,jews_arrived,1715,17EX,Jews were encouraged to settle in the early 18th cent.,Russian Empire,1103Bl1,SHTETLS,23.15,53.13333333
462,GLC_KRK_BCZ,BIECZ,Cracow,Poland,community_founded,1700,17XX,in the 18th cent. were ... a permanent community formed,Galicia,,GLC_PRU,21.25,49.73333333
463,POL_WRS_BLW,BIELAWY,Warsaw,Poland,community_present,1700,17XX,A J. community existed from the 18th cent.,Congress Poland,,GLC_PRU,19.65,52.06666667
465,VLN_LD_BLTS,BIELICA,Vilnius,Poland,jews_arrived,1500,15XX,Jews apparently arrived in the 16th cent.,Russian Empire,0404Bl1,SHTETLS,25.31666667,53.65
467,KHR_SMY_BLPL,BIELOPOLIE,Kharkov,Ukraine,POP,1897,1897,The J. pop. was 105 ... in 1897,Russian Empire,4611Bl1,SHTETLS,34.3,51.15
468,POL_WRS_BLS,BIELSK,Warsaw,Poland,community_present,1800,18XX,The J. community began to develop ... in the 19th cent.,Congress Poland,,GLC_PRU,19.8,52.66666667
469,GLC_KRK_BLS,BIELSKO-BIALA,Cracow,Poland,jews_arrived,1650,16MX,Jews settled in Bielsko in the second half of the 17th centJews settled in Bielsko in the second half ...,Congress Poland,,GLC_PRU,19.0583845,49.8223768
472,POL_WRS_BZU,BIEZUN,Warsaw,Poland,community_present,1815,18EX,By the beginning of the 19th cent. the Jews constituted an independent community.,Congress Poland,,GLC_PRU,19.91666667,52.96666667
478,VLH_ZHT_BYKV,BIKOVKA,Volhinia,Ukraine,POP,1897,1897,Jews numbered 92 in 1897,Russian Empire,0801By1,SHTETLS,27.98333333,50.28333333
480,GLC_TRN_BLC,BILCZE ZLOTE,Tarnopol,Poland,POP,,,Between 20 and 30 J. families lived here mostly as farmers,Galicia,,GLC_PRU,25.86666667,48.78333333
481,WGLC_LBL_BLG,BILGORAI,Lublin,Poland,jews_present,1575,15LX,dating from the late 16th cent.,West Galicia,,GLC_PRU,22.7,50.55
491,GLC_LWW_BRC,BIRCZA,Lwow,Poland,first_mention,1577,1577,A single J. family is mentioned as early as 1577,Galicia,,GLC_PRU,22.46666667,49.68333333
495,KVN_PNV_BRZ,BIRZAI,Kovno,Lithuania,jews_arrived,1615,16EX,Jews first settled in B. at the turn of the 17th cent.,Russian Empire,1704Br1,SHTETLS,24.75,56.2
497,PRU_OST_BSC,BISCHOFSBURG,East Prussia,Germany,jews_arrived,1800,18XX,J. settlement started probably only in the 19th cent.,Ostpreu��,,GLC_PRU,20.96666667,53.86666667
499,POL_OST_BSC,BISCHOFSWERDER,East Prussia,Germany,jews_arrived,1750,17MX,Jews settled in B. in the mid-18th cent.,Congress Poland,,GLC_PRU,19.35,53.5
501,WGLC_LBL_BSK,BISKUPICE,Lublin,Poland,community_present,1750,17MX,A small J. community was present in the mid-18th cent.,West Galicia,,GLC_PRU,22.95,51.13333333
515,POL_LDZ_BLS,BLASZKI,Lodz,Poland,jews_present,1764,1764,"By 1764, 56 Jews earned their living here",Congress Poland,,GLC_PRU,18.45,51.66666667
518,POL_WRS_BLN,BLENDUV,Warsaw,Poland,jews_arrived,1820s,1820s,Jews appeared with the founding of the town... in the 1820s,Congress Poland,,GLC_PRU,20.69638889,51.77916667
524,KV_RDM_BBR,BOBER,Kiev,Ukraine,jews_present,1878,1878,a pop. of eight J. families in 1878,Russian Empire,1607Bb1,SHTETLS,29.55,51.15
526,GLC_KRK_BBW,BOBOWA,Cracow,Poland,jews_present,1765,1765,A community of 44 families lived there in 1765,Galicia,,GLC_PRU,20.93333333,49.7
527,MGL_SNN_BBR,BOBR,Mogilev,Belorussia,jews_arrived,1715,17EX,Jews probably settled in the first half of the 18th cent.,Russian Empire,2309Bb1,SHTETLS,29.26666667,54.33333333
528,KHR_ELZ_BBRY,BOBRINETS,Kherson,Ukraine,jews_arrived,1815,18EX,Jews probably settled in the early 19th cent.,Russian Empire,4704Bb1,SHTETLS,32.16666667,48.05
529,GLC_LWW_BBR,BOBRKA,Lwow,Poland,community_founded,1675,16LX,"community, probably founded in the late 17th cent.",Galicia,,GLC_PRU,24.3,49.63333333
530,CHR_KZL_BBRV,BOBROVITSA,Chernigov,Ukraine,jews_arrived,1875,18LX,Jews settled in the latter half of the 19th cent.,Russian Empire,4805Bb1,SHTETLS,31.38333333,50.75
531,KHR_KHR_BBRV,BOBROVYI KUT,Kherson,Ukraine,community_founded,1807,1807,B. was founded in 1807 by Jews from Mogilev.,Russian Empire,4701Bb1,SHTETLS,32.95,47.1
532,WGLC_LBL_BBR,BOBROWNIKI,Lublin,Poland,community_founded,1700,17XX,only formed an organized community in the 18th cent.,West Galicia,,GLC_PRU,21.93333333,51.56666667
533,MNS_BBR_BBRY,BOBRUISK,Minsk,Belorussia,jews_present,1776,1776,The J. pop. grew from 359 in 1776,Russian Empire,2202Bb1,SHTETLS,29.23333333,53.15
534,VTB_LPL_BCHY,BOCHEYKOVO,Vitebsk,Belorussia,POP,1897,1897,The J. pop. was 323 (total 722) in 1897,Russian Empire,0506Bc1,SHTETLS,29.15,55.01666667
535,GLC_KRK_BCH,BOCHNIA,Cracow,Poland,jews_arrived,1200,12XX,Jews settled in the 13th cent.,Galicia,,GLC_PRU,20.43333333,49.96666667
539,GRD_BLS_BCK,BOCKI,Grodno,Poland,community_founded,1500,15XX,"Founded in the 16th cent., the J. settlement",Russian Empire,1104Bt1,SHTETLS,23.05,52.65
544,POL_WRS_BDZ,BODZANOW,Warsaw,Poland,community_present,1875,18LX,A community existed from the late 19th cent.,Congress Poland,,GLC_PRU,20.01666667,52.5
545,WGLC_KLC_BDZ,BODZENTYN,Kielce,Poland,jews_arrived,1815,18EX,Jews first settled in the early 19th cent.,West Galicia,,GLC_PRU,20.96666667,50.95
550,PDL_BLT_BHCH,BOGACHEVKA,Podolia,Ukraine,community_founded,1850,1850,founded as a J. farm settlement in 1850,Russian Empire,3202Bg1,SHTETLS,30.55,47.96666667
553,WGLC_KLC_BGR,BOGORJA,Kielce,Poland,community_present,1789,1789,A J. community of 125 was present in 1789,West Galicia,,GLC_PRU,21.26666667,50.66666667
555,MGL_ORS_BGSH,BOGUSHEVSK,Mogilev,Belorussia,POP,1811,1811,The J. pop. was 144 in 1811,Russian Empire,2307Bg1,SHTETLS,30.2,54.85
556,KV_KNV_BHSL,BOGUSLAV,Kiev,Ukraine,jews_arrived,1615,16EX,J. settlement commenced in the early 17th cent.,Russian Empire,1605Bg1,SHTETLS,30.88333333,49.55
