id,name,region,country,modern_country,presence_type,year_code,source,alternative_names,events,notes
78,ALTENKUNSTADT,Upper Franconia,Germany,,jews_present,14XX,Jews were present from the 15th cent.,[],"[{'event': 'Peasant riots', 'year': '1699', 'impact': 'houses destroyed', 'source': 'Their houses were destroyed during the peasant riots of 1699'}]",
79,ALTENLOTHEIM,Hesse,Germany,,POP,,The J. community numbered 47 ... in 1871.,[],[],
80,ALTENMUHR,Middle Franconia,Germany,,community_present,17EX,A J. community was present in the first half of the 18th cent.,[],[],
81,ALTENSCHOENBACH,Lower Franconia,Germany,,first_mention,17EX,Jews are mentioned in the early 18th cent.,[],[],
82,ALTENSTADT,Hesse,Germany,,jews_arrived,1650,Jews first settled there in 1650,[],[],
83,ALTINOVKA,Sumy,Ukraine,,POP,1897,The J. pop. in 1897 was 450,[],[],
84,ALTKIRCH,Haut-Rhine,France,,community_founded,18XX,A J. community was established in the 19th cent.,[],"[{'event': 'anti-Jewish riots', 'year': '1848', 'impact': 'synagogue damaged', 'source': 'It was damaged during anti-J. riots in 1848'}]",
85,ALTLANDSBERG,Brandenburg,Germany,,jews_arrived,17LX,Jews settled in A. at the end of 18th cent.,[],[],
86,ALTONA,Schleswig-Holstein,Germany,,jews_arrived,1612,welcomed in the neighboring township of A. In 1612,[],[],
87,ALTWIEDERMUS,Hesse,Germany,,POP,1910,maximum pop. of 29 in 1910,[],[],
88,ALUKSNE,Vidzeme,Latvia,,jews_arrived,18LX,Jews began settling in the 1890s,[],[],
89,ALUNTA,Utena,Lithuania,,community_present,18XX,A.'s J. community began in the 19th cent.,[],[],
90,ALUPKA,Crimea,Russia,Ukraine,jews_present,1903,Jews received formal residence rights in 1903,[],[],
91,ALUSHTA,Crimea,Russia,Ukraine,jews_present,1903,Jews were given formal residence rights only in 1903,[],[],
92,ALYTUS,Alytus,Lithuania,,community_present,15XX,The J. community in eastern A. began in the 16th cent.,"[{'lang': 'yid', 'name': 'Alita'}]",[],
93,ALZENAU,Lower Franconia,Germany,,community_founded,16XX,The community was probably founded in the 17th cent.,[],[],
94,ALZEY,Hesse,Germany,,jews_arrived,16LX,Jews returned about 300 years later,[],"[{'event': 'Black Death persecutions', 'year': '1348–1349', 'impact': 'medieval community shattered', 'source': 'shattered by the Black Death persecutions of 1348-49'}, {'event': 'Expulsion', 'year': '1391', 'impact': 'Jews expelled', 'source': 'expelled in 1391'}]",
95,AMBERG,Upper Palatinate,Germany,,community_founded,18MX,The community was renewed in the 1850s,[],"[{'event': 'Rindfleisch massacres', 'year': '1298', 'impact': '13 murdered', 'source': 'In the Rindfleisch massacres of 1298, 13 were murdered'}, {'event': 'Expulsion', 'year': '1403', 'impact': 'all Jews expelled', 'source': 'in 1403 all were expelled'}]",
96,AMERSFOORT,Utrecht,Holland,,jews_arrived,1655,The first Portuguese Jews to settle arrived in 1655.,[],[],
97,AMIENS,Somme,France,,jews_arrived,18EX,Jews settled in A. in the beginning of the 19th cent.,[],[],
98,AMRUS,Tripolitania,Libya,,jews_arrived,15XX,J. settlement commenced in about the 16th cent.,[],[],
99,AMSTERDAM,,Holland,,first_mention,13XX,A Street of the Jews is mentioned in the 14th cent.,[],"[{'event': 'Black Death persecutions', 'year': '1348–1349', 'impact': 'medieval community destroyed', 'source': 'the medieval community was destroyed in the Black Death persecutions (1348-49)'}]",
100,AMSTETTEN,Lower Austria,Austria,,jews_arrived,1865,Jews were allowed to settle in A. only in 1865.,[],[],
101,ANANEV,,Moldavia,Ukraine,community_present,18EX,An organized J. community existed by the early 19th cent.,[],"[{'event': 'pogrom', 'year': '1881', 'impact': 'Jews victimized', 'source': 'Jews were victimized by pogroms in 1881'}, {'event': 'pogrom', 'year': '1905', 'impact': 'Jews victimized', 'source': 'Jews were victimized by pogroms in 1905'}, {'event': 'pogrom', 'year': '1919', 'impact': 'Jews victimized', 'source': 'Jews were victimized by pogroms in 1919'}]",
102,ANARCS,Szabolcs,Hungary,,first_mention,1747,"Jews, first mentioned in 1747",[],[],
103,ANCONA,Marche,Italy,,community_present,13XX,An organized J. community ... is known from the 14th cent.,[],"[{'event': 'badge and segregation decree', 'year': '1427', 'impact': 'forced to wear badge and reside on a single street', 'source': 'In 1427, the local Jews were forced to wear the J. badge and reside on a single street.'}]",
104,ANDERNACH,Rhineland,Germany,,community_present,11XX,important J. communities in the 12th cent.,[],"[{'event': 'anti-Jewish riots', 'year': '1287', 'impact': 'J. homes destroyed', 'source': 'J. homes were destroyed in anti-J. riots in 1287'}]",
105,ANDREAPOL,Kalinin,Russia,,jews_arrived,18LX,Jews probably settled in the late 19th cent.,[],[],
106,ANDREEVO-IVANOVKA,Odessa,Ukraine,,POP,1897,The J. pop. was 546 ... in 1897,[],[],
107,ANDRIEJAVAS,Kretinga,Lithuania,,POP,1923,The J. pop. was 66 in 1923.,[],[],
108,ANDRUSHEVKA,Zhitomir,Ukraine,,first_mention,17MX,Jews are first mentioned in the mid-18th cent.,[],[],
109,ANDRYCHOW,Cracow,Poland,,jews_arrived,18EX,Jews settled in the first half of the 19th cent.,"[{'lang': 'yid', 'name': 'Yandrichov'}]",[],
110,ANDRZEJEWO,Bialystok,Poland,,community_founded,18LX,Founded in the second half of the 19th cent.,[],[],
111,ANDRZEJOW,Lodz,Poland,,community_founded,1805,The J. community was founded in 1805,[],[],
112,ANGENROD,Hesse,Germany,,community_founded,1797,by 1797 had established a community,[],[],
113,ANGERBURG,East Prussia,Germany,Poland,jews_present,1843,The J. pop. grew from 27 in 1843,"[{'lang': 'pol', 'name': 'Węgorzewo'}]","[{'event': 'WWI disruption', 'year': '1914–1918', 'impact': 'rented prayer room closed', 'source': 'During WWI, the rented prayer room was closed'}]",
114,ANGERMUENDE,Brandenburg,Germany,,first_mention,1681,earliest evidence of Jews in A. dates from 1681,[],[],
115,ANGERS,Maine-et-Loire,France,,jews_present,10LX,lived in A. at the end of the 11th cent.,[],[],
116,ANKLAM,Pomerania,Germany,,jews_present,1348,J. moneylenders in A. were burned to death in the Black Death persecutions of 1348–49,[],"[{'event': 'Black Death persecutions', 'year': '1348–1349', 'impact': 'J. moneylenders burned to death', 'source': 'burned to death in the Black Death persecutions of 1348–49'}]",
117,ANNABERG,Saxony,Germany,,jews_arrived,1867,Jews did not settle in A. until 1867,[],[],
118,ANNOPOL,Kamenets-Podolski,Ukraine,,POP,1765,Jews numbered 395 in 1765,[],[],
119,ANNOPOL-RACHOW,Lublin,Poland,,jews_arrived,16EX,Jews arrived in the early 17th cent.,[],[],
120,ANRATH,Rhineland,Germany,,POP,1852,The J. pop. was 116 in 1852,[],[],
121,ANROECHTE,Westphalia,Germany,,first_mention,1614,Jews are first mentioned in 1614,[],[],
122,ANSBACH,Middle Franconia,Germany,,jews_arrived,13EX,Jews first settled in the early 14th cent.,"[{'lang': 'yid', 'name': 'Onolshbach'}]","[{'event': 'Black Death persecutions', 'year': '1348–1349', 'impact': 'most Jews murdered', 'source': 'Most were murdered in the Black Death persecutions of 1348–49'}]",
123,ANTALIEPTE,Zarasai,Lithuania,,jews_present,1897,The J. pop. in 1897 was 474,"[{'lang': 'yid', 'name': 'Antalapt'}]",[],
124,ANTANAVAS,Marijampole,Lithuania,,POP,1923,The J. pop. in 1923 was 192,[],[],
125,ANTONINY,Kamenets-Podolski,Ukraine,,POP,1939,The J. pop. in 1939 was 110,[],[],
126,ANTONOVKA,Mogilev,Belorussia,,community_founded,1837,A. was founded in 1837 as a J. farm settlement,[],[],
127,ANTONOWKA,Volhynia,Poland,Ukraine,community_founded,1833,A. was founded as a J. farm settlement in 1833,[],[],
128,ANTOPOL,Polesie,Poland,Belarus,jews_arrived,1604,J. settlement dates from 1604,[],[],
129,ANTWERP,,Belgium,,jews_present,15XX,"arrival of J. craftsmen, Marranos from Portugal... the diamond industry... established... in the 15th cent.","[{'lang': 'nld', 'name': 'Antwerpen'}, {'lang': 'fra', 'name': 'Anvers'}]",[],
130,ANYKSCIAI,Utena,Lithuania,,community_founded,16XX,A.'s J. community began in the 17th cent.,[],[],
131,APA,N. Transylvania,Rumania,,jews_arrived,17MX,Jews settled in the mid-18th cent.,[],[],
132,APAGY,Szabolcs,Hungary,,first_mention,1747,Jews are first mentioned in 1747,[],[],
133,APATIN,Vojvodina,Yugoslavia,,jews_present,18LX,Jews lived in A. from the late 19th cent.,[],[],
134,APC,Heves,Hungary,,jews_arrived,18EX,Jews apparently settled in the early 19th cent.,[],[],
135,APE,Vidzeme,Latvia,,POP,20EX,The J. pop. early in the cent. was 200,[],[],
136,APELDOORN,Gelderland,Holland,,jews_arrived,17LX,Jews first settled in A. in the late 18th cent.,[],[],
137,APLERBECK,Westphalia,Germany,,jews_present,1818,Six Jews were present in 1818,[],[],
138,APOLLONIA,Cyrenaica,Libya,,jews_arrived,01EX,Egyptian Jews settled in A. in the Greek and Roman period (4 B.CE.-1 cE),[],[],
139,APOSTAG,Pest-Pilis-Solt-Kiskun,Hungary,,jews_arrived,16EX,Jews arrived in the first half of the 17th cent.,[],"[{'event': 'community_founded', 'year': '18XX', 'impact': '', 'source': 'A new community was formed in the 18th cent.'}]",
140,APOSTOLOVO,Dnepropetrovsk,Ukraine,,POP,,The J. pop. in 1939 was 81,[],[],
141,APPINGEDAM,Groningen,Holland,,jews_arrived,1563,"J. settlement dates back to 1563, when a Jew received permission to settle there",[],[],
142,ARAD,S. Transylvania,Rumania,,jews_arrived,17MX,Jews first settled in the mid-18th cent.,[],"[{'event': 'synagogue built', 'year': '1759', 'impact': '', 'source': 'A synagogue was built in 1759'}]",
143,ARBAYTHEYM,Zaporozhe,Ukraine,,community_founded,20EX,"founded as a J. colony, probably in the early 1920s",[],[],
146,ARCHSHOFEN,Wuerttemberg,Germany,,jews_arrived,17EX,Jews could settle from the early 18th cent.,[],[],
147,ARCIZ,Bessarabia,Rumania,Republic of Moldova,jews_arrived,18MX,Jews first settled in the mid-19th cent.,[],"[{'event': 'drought and relief', 'year': '1900', 'impact': '44 families on verge of starvation; helped by other communities', 'source': '44 families were on the verge of starvation caused by drought and were helped by other communities'}]",
148,ARDED,N. Transylvania,Rumania,,jews_arrived,17MX,Jews settled in the mid-18th cent.,"[{'lang': 'hun', 'name': 'Erdod'}]",[],
149,ARGENSCHWANG,Rhineland,Germany,,jews_arrived,17MX,Jews probably settled in the mid-18th cent.,[],[],
150,ARHEILGEN,Hesse,Germany,,community_founded,1800,Established around 1800,[],[],
151,ARINIS,N. Transylvania,Rumania,,jews_arrived,17LX,Jews settled in the late 18th or early 19th cent.,"[{'lang': 'hun', 'name': 'Egerhat'}]",[],
152,ARIOGALA,Kedainai,Lithuania,,community_founded,17XX,A.'s J. community began in the 18th cent.,"[{'lang': 'yid', 'name': 'Eragala'}, {'lang': 'yid', 'name': 'Ragala'}]",[],
153,ARLON,,Belgium,,community_founded,1831,Established after the independence of Belgium in 1831,"[{'lang': 'dut', 'name': 'Aarlen'}]",[],
154,ARMAVIR,Krasnodar,Russia,,jews_arrived,18LX,"The first Jews, settling in the late 19th cent.",[],[],
155,ARMYIANSK,Crimea,Russia,Ukraine,jews_arrived,18LX,Jews probably settled in the late 19th cent.,[],[],
156,ARNHEM,Gelderland,Holland,,jews_arrived,12XX,J. settlement began in the 13th cent.,[],"[{'event': 'Black Death persecutions', 'year': '1348–1349', 'impact': '', 'source': 'suffered in the Black Death persecutions of 1348-49'}, {'event': 'official recognition', 'year': '1765', 'impact': 'community recognized', 'source': 'A community was officially recognized in 1765'}]",
157,ARNSBERG,Westphalia,Germany,,community_present,1810,"only from 1810, under Hessian rule, did the community begin to grow",[],[],
158,ARNSTADT,Thuringia,Germany,,jews_present,12MX,suffered persecutions in the mid-13th century,[],"[{'event': 'persecutions', 'year': '13MX', 'impact': '', 'source': 'suffered persecutions in the mid-13th century'}, {'event': 'Black Death disturbances', 'year': '1348–1349', 'impact': 'community almost entirely destroyed', 'source': 'almost entirely destroyed in the Black Death disturbances'}]",
159,ARNSTEIN,Lower Franconia,Germany,,jews_present,1298,Jews were present at the time of the Rindfleisch massacres in 1298,[],"[{'event': 'Rindfleisch massacres', 'year': '1298', 'impact': '', 'source': 'at the time of the Rindfleisch massacres in 1298'}]",
160,ARNSWALDE,Brandenburg,Germany,Poland,first_mention,1321,A J. community is mentioned in A. from 1321.,"[{'lang': 'pol', 'name': 'Choszczno'}]",[],
161,AROLSEN,Hesse,Germany,,jews_arrived,1725,Waldeck's landgrave invited Jews to settle there around 1725,[],[],
162,ARTA,Arta,Greece,,community_present,11XX,Benjamin of Tudela... recorded the presence of a J. community,[],[],
163,ARTIOMOVSK,Stalino,Ukraine,,jews_arrived,18EX,Jews probably settled in the early 19th cent.,[],[],
164,ASARE,Courland,Latvia,,POP,1930,The J. pop. in 1930 was 18,[],[],
165,ASCHAFFENBURG,Lower Franconia,Germany,,community_present,13MX,An organized community with a synagogue existed in the mid-14th cent.,[],[],
166,ASCHBACH,Upper Franconia,Germany,,community_founded,17EX,The community was founded in the first half of the 18th cent.,[],[],
167,ASCHENHAUSEN,Thuringia,Germany,,jews_arrived,1695,Jews first settled in A. in 1695,[],[],
168,ASCHERSLEBEN,Saxony,Germany,,first_mention,1325,Jews are first mentioned in 1325.,[],"[{'event': 'Expulsion', 'year': '1494', 'impact': 'Jews expelled by order of Bishop of Halberstadt', 'source': 'their expulsion in 1494 on the orders of the Bishop of Halberstadt'}]",
169,ASKANYIA NOVA,Zaporozhe,Ukraine,,jews_present,19XX,J. scientists and academicians were drawn to the town in the Soviet period,[],[],
170,ASSEN,Drenthe,Holland,,jews_arrived,17XX,A few Jews settled in the 18th cent.,[],[],
171,ASSENHEIM,Hesse,Germany,,jews_present,1277,Jews lived there around 1277-1349,[],[],
172,ASSLAR,Hesse,Germany,,jews_present,17XX,Jews lived there from the 18th cent.,[],[],
173,ASTI,Piedmont,Italy,,jews_arrived,13EX,"originated at the beginning of the 14th cent., when Jews expelled from France took refuge there",[],[],
174,ASUNE,Latgale,Latvia,,POP,1930,The J. pop. in 1930 was 24,[],[],
175,ASZOD,Pest-Pilis-Solt-Kiskun,Hungary,,jews_arrived,17EX,"Jews, mainly from Moravia, settled in the early 18th cent.",[],[],
176,ATHENS,,Greece,,jews_arrived,2BCE,Jews settled in A. by the second cent. B.C.E.,[],[],
177,AUB,Lower Franconia,Germany,,community_present,16EX,The modern community is known from the early 17th cent.,"[{'lang': 'yid', 'name': 'Ava'}, {'lang': 'yid', 'name': 'Oyb'}]","[{'event': 'Rindfleisch massacres', 'year': '1298', 'impact': 'Jews mentioned as victims', 'source': 'Jews are mentioned as victims of the Rindfleisch massacres of 1298'}]",
178,AUCE,Zemgale,Latvia,,jews_arrived,17XX,Jews arrived with the founding of the town in the 18th cent.,"[{'lang': 'yid', 'name': 'Oitz'}]",[],
179,AUERBACH,Hesse,Germany,,community_founded,1770,Established around 1770,[],[],
180,AUFHAUSEN,Wuerttemberg,Germany,,jews_arrived,15XX,Jews first settled in the 16th cent.,[],[],
181,AUFSESS,Upper Franconia,Germany,,jews_present,13EX,Jews were present in the first half of the 14th cent.,"[{'lang': 'ger', 'name': 'Oberaufsess'}]","[{'event': ""Thirty Years' War"", 'year': '1618–1648', 'impact': 'Jews fled', 'source': 'fleeing in the Thirty Years War'}]",
182,AUGSBURG,Swabia,Germany,,community_present,11LX,community probably dated from the second half of the 12th cent.,[],[],
183,AUGUSTOW,Bialystok,Poland,,jews_arrived,1564,The first Jews settled in 1564,[],[],
184,AUKSTADVARIS,Troki,Lithuania,,jews_arrived,16XX,Jews began settling by the 17th cent.,"[{'lang': 'yid', 'name': 'Visoki-Dvor'}]",[],
185,AUKSTOJI-PANEMUNE,Kaunas,Lithuania,,POP,1897,The J. pop. in 1897 stood at 775,"[{'lang': 'yid', 'name': 'Panemon'}]",[],
186,AUMUND-VEGESACK,Hanover,Germany,,first_mention,1758,"Evidence of the first ""protected Jew"" dates from 1758",[],[],
187,AURELOW,Lodz,Poland,,community_present,1918,A small community existed here between the World Wars,[],[],
188,AURICH,Hanover,Germany,,jews_arrived,1635,Jews settled in A. in 1635,[],[],
189,AUTENHAUSEN,Upper Franconia,Germany,,community_founded,15LX,The community was founded around the turn of the 17th cent.,[],[],
190,AVIGNON,Vaucluse,France,,jews_present,3XX,The first archeological evidence of a J. presence in A. dates from the fourth cent.,[],[],
191,AZOV,Rostov,Russia,,community_present,18MX,The modern community dates from the mid-19th cent.,[],[],
