line_id,code,prov,dist,name,ziv_yearcode,year_code,upper_bound,lower,mid_range,source,note,cen,approx_code
11,KIV_CHG_ALKS,Kiev,Chigirin,Aleksandrovka,17LX,17LX,1800,1775,1775,"Jews apparently arrived in the late 18th cent. and increased in number from 356 in 1847 to 3,213 (total 4,366) in 1897. In a Dec. 1919 pogrom, Anton Denikin's White Army murdered 48 Jews. In the Soviet period,",,1700,LX
12,PRU_OST_ALLN,Preussen,Olsztyn,Allenstein,,1819,1819,1819,1819,"Germany, today Poland. First evidence of a J. presence dates from 1819. With 56 members in 1820, the community grew steadilyand there were212 Jews in 1871; 471 in 1905; and 612 in 1925. In the beginning of the",,1800,
13,VLN_TRK_OLV,Vilna,Troki,Olava,18LX,1923,1923,1923,1923,"In 1923, A. had 78 Jews. In WWII all of A's. Jews were killed.",,1900,
14,KVN_TLS_OLSD,Kovno,Telshi,Olsiady,1662,1662,1662,1662,1662,"Jews were living here in 1662. The 1897 J. pop. was 295 (27%). In 1940 there were about 30 families. With the outbreak of WWiI, Lithuanians harassed the Jews but were stopped from killing them by the",,1600,
15,PRU_PMM_ALTD,Preussen,Pommern,Altdamm,,1481,1481,1481,1481,"Letters of protection (Schutzbriefe) for nine Jews in 1481 constitute the first evidence of J. settlement here. Between 1491-93, the local Jews, together with the Jews of",,1400,
16,CRN_KRL_ALTY,Chernigov,Krolevets,Altynovka,1897,1897,1897,1897,1897,"The J. pop. in 1897 was 450 (1% of the total). After their arrival on 15 Sept. 1941, the Germans murdered the few remaining Jews who had neither fled norbeen evacuated.",,1800,
17,LVL_VLK_ALKS,Livland,Valk,Aluksna,1890,1890,1890,1890,1890,"Jews began settling in the 1890s and reached a pop. of 233 (total 1,976) in 1920. Though economic conditions were favorable between the wars, with Jews owning eight of the town's 31 small factories and 21 of i",,1800,
18,KVN_VLK_OVNT,Kovno,Vilkomir,Ovanta,18EX,18XX,1900,1800,1850,"A.'s J. community began in the 19th cent. The J. pop. in 1923 was 222 (48% of the total). In 1939, a blood libel provoked attacks on Jews and their homes. With the Soviet occupation in fall 1940, Zionist a",,1800,XX
19,KHR_ANN_ANNV,Kherson,Ananev,Ananev,18EX,18EX,1850,1800,1825,"An organizedJ. community existed by the early 19th cent. and numbered 3,527 (total 16,684) in 1897. Jews were victimized by pogroms in 1881, 1905, and 1919, the latter claiming 14 lives. In 1921, under Soviet rule, the",,1800,EX
20,VLH_ZHT_ANDR,Volhynia,Zhitomir,Andrushovka,17MX,17MX,1775,1750,1750,"Jews are first mentionedin the mid-18th cent. as numbering 12. By 1897, their number stood at 430 (total 2,682) and in 1927 at 300. In the Soviet period, 80% of the Jews were artisans or laborers. A J. elementary",,1700,MX
21,GLC_CRC_ANDR,Galicia,Wadowice,Andrychów,,18EX,1850,1800,1825,"Jews settled in the first half of the 19th cent., dealingmainly in cloth, and werebehind the establishment of the first mechanizedknitting plants in the second half of the cent.The community grew to 6",,1800,EX
22,LMZ_OST_ANDR,Lomza,Ostrov,Andruseevo,18MX,18LX,1900,1875,1875,"Founded in the second half of the 19th cent., the community numbered 277 out of a total pop. of 800 in 1921. In WWII, the Germans deported its Jews to larger centers but some escaped to Soviet Russia.",,1800,LX
23,PTR_LDZ_ANDR,Piotrkow,Brzeziny,Andrzejów,,1805,1805,1805,1805,"The J. community was foundedin 1805 at this vacationresort,eventually a suburb of Lodz. In 1921, 99 Jews lived there.",,1800,
24,PRU_OST_ANGR,Preussen,Wegorzewo,Angerburg,,1843,1843,1843,1843,"Germany, today Poland. The J. pop. grew from 27 in 1843 to 72 in 1871. By 1880, the J. pop. numbered 54. During WWI, the rented prayer room was closed and the religious instruction teacher dismissed for lack o",,1800,
25,PRU_PMM_ANKL,Preussen,Pommern,Anklam,,1348,1348,1348,1348,"J. moneylenders in A. were burned to death in the Black Death persecutions of 1348-49. Jews only settled permanently in A. after the regulations regarding Jews in Prussia were revised in 1812. In 1816, the J. pop. of A. came",,1300,
26,VLH_OST_ANNP,Volhynia,Ostrog,Annopol,17EX,1765,1765,1765,1765,"Jews numbered 395 in 1765 and 1,812 (82.5% of the total) in 1897. Dov Baer of Mezhirech (1704-72), one of the greatest hasidic figures, is buried in the town. The J. pop. dropped to 1,259 in 1926 and presumab",,1700,
27,LBL_INV_ANNP,Lublin,Janow,Annopol,,16EX,1650,1600,1625,"Jews arrived in the early 17th cent. as innkeepers, distillers, and grain and cattle merchants as wellas artisans and petty traders.In the 19th cent.,A. was a centerof Torah learning. Three generations of the Rubi",,1600,EX
28,SWL_MRM_ANTN,Suwalki,Mariampol,Antanava,18LX,1923,1923,1923,1923,The J. pop. in 1923 was 192. All Jews were killed after the German conquest of 1941.,,1900,
29,VLH_ZSL_ANTN,Volhynia,Zaslavl,Antoniny,18LX,1939,1939,1939,1939,The J. pop. in 1939 was 110 (3.5% of the total). The Germans occupied A. on 7 July 1941 and in July 1942 executed the Jews at the village of Manivtsy.,,1900,
30,MGL_CHR_ANTN,Mogilev,Cherikov,Antonovka,1837,1837,1837,1837,1837,"A. was founded in 1837 as a J. farm settlement. In 1924-25, under the Soviets, 39 J. families were engaged in agriculture.In 1930 the settlement became a kolkhoz with only ten of the J. families continuing to farm",מושבה חקלאית יהודית,1800,
31,VLH_RVN_ANTN,Volhynia,Rovno,Antonovka,1833,1833,1833,1833,1833,"A. was founded as a J. farm settlement in 1833 on 900 acres of land and numbered 620 Jews in 1897 and 482 (total535) in 1921. After A. was capturedby theGermans in July 1941, all Jews werebrought to th",מושבה חקלאית יהודית,1800,
32,KVN_VLK_ONKS,Kovno,Vilkomir,Onikshty,16EX,16XX,1700,1600,1650,"A.'s J. community began in the 17th cent. It was hit hard by repeated fires in the late 19th and early 20th cents. The J. pop. in 1897 was 2,754 (70% of the total). On 14 July 1915 a Russianregiment stageda pogrom ag",,1600,XX
33,LVL_VLK_APPN,Livland,Valk,Appengof,18LX,19EX,1935,1900,1925,The J. pop. early in the cent. was 200 but by 1935 dropped to 82 (total 922). Most stores were J.-owned. The Jews were murderedby the Germans in summer 1941.,,1900,EX
34,KHR_KHR_PKRV,Kherson,Kherson,Pokrovskoe,18LX,1939,1939,1939,1939,"The J. pop. in 1939 was 81 (total 9,997). The Germans captured A. on 17 Aug. 1941 and probably in fall 1941 murdered 129 Jews there.",,1900,
35,BSS_AKK_STRA,Bessarabia,Akkerman,Staro-Artsiz,18MX,18MX,1875,1850,1850,"Jews first settled in the mid-19th cent. In 1900, 44 families were on the verge of starvation causedby drought and werehelpedby other communities. The J. pop. in 1930 was 842 (29% of the total). A",,1800,MX
36,KVN_KVN_ERGL,Kovno,Kovno,Eirogola,17EX,17XX,1800,1700,1750,"A.'s J. community began in the 18th cent. By 1897 the J. pop. was 1,541 (65 %) of the total. The tribulations of WWI, fire, and emigration to the Russian interior, the U.S., South Africa, a",,1700,XX
37,TRD_PRK_ARMN,Taurida,Perekop,Armianskii bazar,18LX,18LX,1900,1875,1875,"Jews probably settled in the late 19th cent. A Zionist group was already active in the early 20th cent. and the community had its own rabbi before WWI. In 1926, the J. pop. was 156, dropping to 107 (total 3,96",תנועה ציונית פעילה,1800,LX
38,EKT_BKH_BKHM,Ekaterinoslav,Bakhmut,Bakhmut,18EX,18EX,1850,1800,1825,"Jews probably settled in the early 19th cent. with the development of chemical industries, particularly the salt industry. In 1897, the J. pop. was 3,259 (total 19,316). Many Jews were killed a",,1800,EX
39,CRL_TKK_ATS,Courland,Tukkum,Autse,17EX,17XX,1800,1700,1750,"Jews arrived with the founding of the town in the 18th cent. The community was under the jurisdiction of Tukums until 1905. During WWI, J. homes and property were destroyed. In 1935 the J. pop. was 1",,1700,XX
40,SWL_AVG_AVGS,Suwalki,Avgustov,Avgustov,1564,1564,1564,1564,1564,"The firstJews settled in 1564. In 1578 they were granted a charter from King StephenBathory permitting them to engage in trade and crafts,including the sale of alcoholic beverages.In the 17th cent. Jews were particul","תנועה ציונית התחילה ב 1885, לצידה היו אגודת ישראל והבונד",1500,
41,VLN_TRK_VYSK,Vilna,Troki,Vysokii dvor,16EX,16XX,1700,1600,1650,"Jews began settling by the 17th cent. The J. pop. in 1888 was 194 (28% of the total). In the late 19th cent. Vilna, 40 miles away, was the source of A.'s J. cultural, educational, and economic l",תנועה ציונית פעילה,1600,XX
42,SWL_MRM_PNMV,Suwalki,Mariampol,Poniemov,18EX,1897,1897,1897,1897,"The J. pop. in 1897 stood at 775 (49% of the total), dropping to a few hundred in 1935. The Jews earned their living as artisans, as tradesmen, and from small industry. Prior to WWII, A.-P. wa",,1800,
43,PTR_NVR_ARLW,Piotrkow,Noworadomsk,Aurelów,,1918,1918,1918,1918,A small community existed here between the World Wars. During WWII Jews were assembled from the region and transported to extermination camps.,,1900,
44,SWL_MRM_DBVB,Suwalki,Mariampol,Debova Buda,18MX,1899,1899,1899,1899,In 1899 a Zionist organization was founded here. Prior to WWI there were about 15 J. families. In July 1941 A.'s Jews were transported to Prienai or Marijampole and shared the fate of the,תנועה ציונית פעילה,1800,
45,KIV_UMN_BBNK,Kiev,Uman,Babanka,1790,1790,1790,1790,1790,"Jews numbered 42 in 1790 and under the Soviets in 1939, 103 (total 4,043). The Germans captured B. on 5 Aug. 1941, murdering the Jews in Sept.",,1700,
46,KLS_KLO_BBK,Kalisz,Kolo,Babiak,,1857,1857,1857,1857,"In 1857, 240 Jews, some of them farmers, were living here. In 1940, the 240 Jews were transported to Bugaj, and then to Chelmno.",,1800,
47,MGL_ORS_BBNV,Mogilev,Orsha,Babinovichi,18MX,1897,1897,1897,1897,"The J. pop. was 552 (total 1,157) in 1897 and 332 in 1926 under the Soviets. The Germans occupied the town in July 1941. In late April 1942, the 100 remaining Jews who had not fled or been evacuated were brought",,1800,
48,KVN_KVN_BBTY,Kovno,Kovno,Bobty,18EX,18XX,1900,1800,1850,"In the 19th cent., J. merchants developed lumber and agricultural exports to Prussia. The J. pop. in 1913 was 900 (75% of the total) and dropped to 153 in 1923. On 28 Aug. 1941Lithuanian nationalists carrie",,1800,XX
49,SDL_WGR_BCZK,Siedlce,Wegrow,Baczki,,18LX,1900,1875,1875,"Jews first settled in the 1860s, most finding employment in factories owned by the Perlis family, which also helped Jews settle in B. by providing them with land allotments and supplies. By the end of the 19th cent., the",,1800,LX
50,PRU_PMM_PLZN,Preussen,Pommern,Polzin,,1711,1711,1711,1711,"Mention of a Jew in B. is first made in 1711. In 1764, there were already four J. families living in the town. In 1880, the J. pop. was 217. The community maintained asynagogue, a comm",,1700,
51,MGL_GRK_BV,Mogilev,Gorki,Baevo,18MX,1897,1897,1897,1897,"The J. pop. was 505 (total 906) in 1897 and 243 in 1923 under the Soviets. In 1930, 15 J. families were employed at a nearby kolkhoz and also engaged in crafts. The Germans occupied B. in July 1941. In early Oct., the",,1800,
52,KVN_SHV_BSGL,Kovno,Shavli,Beisagola,17LX,17LX,1800,1775,1775,The J. community began at the end of the 18th cent. The J. pop. in 1897 was 634 (53% of the total). The 100 Jews who lived in B. at the beginning of WWI were exiled by the Russian authorities. Aft,,1700,LX
53,SWL_SVL_BKLR,Suwalki,Suvalki,Bakalarzhevo,18LX,18LX,1900,1875,1875,"In the late 19th cent. B. became a resort and this provided many of its Jews with new livelihoods. Large numbers fled during WWI, leaving 141 out of a total pop. of 705 in 1921.Expelledby theGermans in Oct. 1939,",,1800,LX
54,TRD_SMF_BKHC,Taurida,Simferopol,Bakhchisarai,12EX,12EX,1250,1200,1225,"Krimchaks lived in Chufat-Kale (part of new B.) in the early 13th cent. A Karaite printing press was founded in 1734 and in 1793-94 the J. pop. was 1,162. The figure dropped to 210 (total 12,959) in 1897 an",קהילה קראית,1200,EX
55,CRN_KNT_BKHM,Chernigov,Konotop,Bakhmach,1870,1897,1897,1897,1897,"B. developed as a railroad junction in the 1860s and 1870s andhad a J.pop. of 491 in 1897.Pogroms were staged in 1905 andin Sept. 1919.In 1939, the Jewsnumbered 295 (total 10,226). The Germans arrived on 10 Sept. 19",,1800,
56,VLN_OSH_BKSH,Vilna,Oshmiany,Bakshty,18MX,1897,1897,1897,1897,"The J. pop. was 172 in 1897 (total 1,461), declining to 55 in the 1920s. The Germans transferredmost to the Iwie ghetto where they were murdered on 12 May 1942.",,1800,
57,KIV_LPV_BLBN,Kiev,Lipovets,Balabanovka,17LX,17LX,1800,1775,1775,"About ten Jews were present in the latter half of the 18th cent. In 1897, they numbered 493 (total 3,089) and 124 in 1926. The Nazis murdered 38 by Dec. 1942.",,1700,LX
58,TRD_SVS_BLKL,Taurida,Sevastopol,Balaklava,18LX,1919,1919,1919,1919,"A council of Russian Zionists convened here on 18-22 Sept. 1919 with the participation of Meir Dizengoff, future mayor of Tel Aviv. In 1939, the J. pop. was 104 (total 5,148). The Germans occupied B. on 30 Nov",תנועה ציונית פעילה,1900,
59,SWL_MRM_BLVR,Suwalki,Mariampol,Balverzhishki,16MX,16MX,1675,1650,1650,"The J. community began in the mid-17th cent. The J. pop. in 1897 was 925 (45% of the total). By 1923 the J. pop. had fallen to 507, economic conditions caused further emigration, and by 19",תנועה ציונית פעילה,1600,MX
60,GLC_LWW_BLGR,Galicia,Lisko,Baligród,,17LX,1800,1775,1775,"The first Jews arrived from Lesko and Sanok in the late 18th cent. The community led a typical village life under hasidic dominance. Tradesmen set up their stalls and carts on market and fair days, some ran inns, and a fe",,1700,LX
61,POD_KMN_BLN,Podolia,Kamenets-Podolsk,Balin,17EX,17XX,1800,1700,1750,"Jews settled in the 18th cent., dwindling in number after Haidamak attacks. In 1897, the J. pop. was 357 (22% of the total). A J. kolkhoz was active between the World Wars. The Germans captured B. on 10 July 1",,1700,XX
62,KVN_VLK_BLNK,Kovno,Vilkomir,Bolniki,17EX,17LX,1800,1775,1775,The J. community was established at the end of the 18th cent. The J. pop. in 1897 was 255 (44% of the total) and dropped to 142 in 1933. Lithuanian nationalists took control of B. after the German inv,,1700,LX
63,POD_BLT_BLT,Podolia,Balta,Balta,15EX,15EX,1550,1500,1525,"J. settlement commenced in the early 16th cent., when the city was located on the border between Poland and the Ottoman Empire. In 1768, the Jews were victimized in Haidamak pogroms. In 1791, the city was annexed to the",,1500,EX
64,BSS_BLT_BLTS,Bessarabia,Bieltsy,Beltsy,17LX,17LX,1800,1775,1775,"Jews were amongthe foundersofB. in the late 18th cent. The J. pop. in 1897 was 10,348 (56% of the total). In 1918 a J. elementary school and high schools for boys and girls were opened wi",היהודים היו בין מקימי העיירה,1700,LX
65,POD_MGL_BR,Podolia,Mogilev,Bar,15EX,15XX,1600,1500,1550,"Jews settled in the 16th cent. In 1648 Chmielnicki's troops killed 2,000 Jews who, together with the Poles, were defending the local fortress. The J. pop. was 547 in 1787 and 5,773 in 1897. The community maintained a syna",,1500,XX
66,MGL_ORS_BRN,Mogilev,Orsha,Baran,18LX,1929,1929,1929,1929,"In 1929, 17 J. families worked on a kolkhoz and in 1939 the J. pop. was 81 (total 1,589). The Germans arrived on 16 July 1941.In Sept. all the Jews werebrought to two houses and held there for months. On 8 April 1942",,1900,
67,GLC_LWW_BRNW,Galicia,Tarnobrzeg,Baranów,,17XX,1800,1700,1750,"Jews are mentioned from the 14th cent. but the community apparently ceased to exist with the upheavals of the mid-17th cent. After renewal in the 18th cent., the J. pop. grew to 1,491 (total 2,371) in 1890, at which ti",,1700,XX
68,LBL_PLW_BRNW,Lublin,Pulawy,Baranów,,16XX,1700,1600,1650,"Jews settled in the 17th cent.,becomingdominant in manufacturing and marketing alcoholic beverages. They supplemented their income supplying a Russian garrison stationednearby following the constructionof barracks i",,1600,XX
69,MNS_NVG_BRNV,Minsk,Novogrudok,Baranovichi,1870,1870,1870,1870,1870,"Jews began settling in leased forest areas in the 1870s and by 1897 numbered 2,171 (total 4,692). The J. settlement continued to grow at an accelerated pace, reaching a pop. of 8,000 on the eve of W",,1800,
70,VLH_ZHT_BRSH,Volhynia,Zhitomir,Barashi,1752,1752,1752,1752,1752,A J. community is first mentioned in 1752 in connection with an argumentbetweenthePinsk community andthe Council of the Four Lands. It numbered 100 families in the late 19th cent. A large porcelain factory was located,,1700,
71,KVN_TLS_BRST,Kovno,Telshi,Barstichai,18LX,1923,1923,1923,1923,In 1923 the J. pop. was 87. All B.'s Jews were killed in the Holocaust.,,1900,
72,PRU_OST_BRTN,Preussen,Frydlad,Bartenstein,,1737,1737,1737,1737,"Germany,today Poland.The first evidenceof a J.presenceinB. dates from 1737.TheJ.pop. numbered86 in 1880, declining to 60-65 in the Weimar years. The community established acemetery (about 1820) and asynago",,1700,
73,SWL_VLK_BRTN,Suwalki,Volkovyshki,Bartniki,18LX,1923,1923,1923,1923,The J. pop. in 1923 was 93 (24% of the total). All Jews were killed in the Holocaust.,,1900,
74,GLC_TRN_BRYS,Galicia,Buczacz,Barysz,,18LX,1900,1875,1875,"Poland. today Belarus.,,,,,,,

The J. community of a few hundred constituted 5-10% of the total J. pop. from the late 19th cent. on. The Jews were expelledto Buczaczby theGermans in Oct.1942 and shared the fate of the local Jews.""""""""",,1800,LX
75,PLT_PRS_BRYS,Poltava,Pereiaslav,Baryshevka,18EX,1897,1897,1897,1897,"Jews numbered 462 in 1897 and 134 (total 2,401) under the Soviets in 1939. The Germans captured B. on 17 Aug. 1941 and murdered the Jews shortly afterwards.",,1800,
76,KVN_RSS_BTK,Kovno,Rossieny,Botoki,18LX,19EX,1950,1900,1925,"Before WWIB.'s J.pop. wasapproximately 50 families, most of whom were expelled during the war. In 1940 there were approximately ten families. After the Germans entered B. on 22-23 June 1941, J. women an",,1900,EX
77,GLC_TRN_BTTY,Galicia,Kamionka,Batiatycze,,1921,1921,1921,1921,The J. pop. in 1921 was 195. Its Jews werepossibly expelledto Kamionka Strumilowa for liquidation in summer-early fall 1942.,,1900,
78,CRL_BSK_BSK,Courland,Bausk,Bausk,17LX,17LX,1800,1775,1775,"Lithuanian Jews first settled in the Sloboda suburb of B. across the Lielupe River in the late 18th cent. and were only permitted to settle in the town proper under Russian rule, establishing an organized comm",,1700,LX
79,VLH_STR_BZL,Volhynia,Starokonstantinov,Bazaliia,16LX,16LX,1700,1675,1675,Jews settledin thelate 17thcent.andin 1765 theynumbered 240 (including the surroundingarea).One of the first J. printing presses in Volhynia was founded in B. The hasidic tzaddik R. Yosef David was active th,,1600,LX
80,VLH_OVR_BZR,Volhynia,Ovruch,Bazar,17LX,17LX,1800,1775,1775,"The J. community probably developed from the late 18th cent., reaching a pop. of 833 (total 1,976) in 1897. A Zionist society and Hebrew school were founded in 1917. During the civil war (1918-21), J. self-defense group",תנועה ציונית פעילה,1700,LX
81,KVN_SHV_PDBS,Kovno,Shavli,Podubis,18EX,18XX,1900,1800,1850,"The J. community developed in the 19th cent. Prior to WWI, 40 J. families lived here, a third of whom emigrated. After the Germans conquered Lithuania, Lithuanian nationalists forced all Jews into a g",,1800,XX
82,MNS_BRS_BGML,Minsk,Borisov,Begoml,18EX,18EX,1850,1800,1825,"Jews probably settled in the first half of the 19th cent. In the Soviet Children's orchestra, Beelitz, Germany period, many Jews (50 in 1930) worked in a kolkhoz founded in 1925. A J. school (of apparently four grades)",,1800,EX
83,KIV_VSL_BLTS,Kiev,Vasilkov,Bielaia Tserkov,16EX,16EX,1650,1600,1625,"Jews settled in the early 17th cent.Six hundredJ. families were massacredin the Chmielnicki disturbances of 1648-49. The J. pop. was 1,457 in 1765 and 18,720 in 1897. In 1904, Jews owned250 workshops and25 factorie",,1600,EX
84,TLA_BLV_BLV,Tula,Bielev,Bielev,18LX,18LX,1900,1875,1875,Jews probably settled in the late 19th cent. Their pop. was 238 in 1926. The few who hadnot fled or beenevacuatedweremurdered during the short German occupation of the town (23 Oct. to 31 Dec. 1941).,,1800,LX
85,PRU_PMM_BLGR,Preussen,Pommern,Belgard,,16LX,1700,1675,1675,"A small J. settlement existed at the end of the 17th cent. In 1764, it comprised only four families. In 1880, the community numbered 281 members and 135 in 1909. The community maintained a sy",,1600,LX
86,KIV_BRD_BLLV,Kiev,Berdichev,Bielilovka,17EX,17EX,1750,1700,1725,"Jews were presentin the early 18th cent. Three were killed in Cossack attacks in 1735. The J. pop. was 124 in 1765 and 2,223 (total4,851)in 1897. The Jews were attackedby the Petlyura gangs in 1918 and by Anton Deni",,1700,EX
87,PTR_PTR_BLCH,Piotrkow,Piotrkow,Bełchatów,,1808,1808,1808,1808,"In 1808, 17 Jews lived here and by 1857 the 1,100 Jews (73% of the total) engaged mainly in the textile industry. At the end of the 19th cent. over 900 of the 2,987 Jews were weavers; others engaged mainly in transport.",,1800,
88,VLH_ZSL_BLGR,Volhynia,Zaslavl,Bielogorodka,16EX,16EX,1650,1600,1625,"Jews in small numbers are known from the early 17th cent. The J. pop. was 100 in 1765 and 1,846 (34% of the total) in 1897. Eighteen Jews were murderedandmany injured in a pogrom during Easter 1918.In 192",,1600,EX
89,KIV_BRD_BLPL,Kiev,Berdichev,Bielopole,1721,1721,1721,1721,1721,"Jews settled in 1721 and numbered 1,141 (total 2,619) in 1897 and 1,255 in 1926 under the Soviets. A J. council was active in the town for awhile. Most children attended a Yiddish school. The Germans arrived in earl",,1700,
90,SML_BLY_BLY,Smolensk,Bielyi,Bielyi,18MX,18MX,1875,1850,1850,"Jews probably settled in the mid-19th cent. and numbered 287 (total 6,952) in 1897. In the Soviet period, the J. pop. fell to 218 in 1926 and 92 in 1939. The Germans first murdered 75 Jews on 4 Oct. 1941 and then another 2",,1800,MX
91,MGL_MGL_BLYN,Mogilev,Mogilev,Bielynichi,1847,1847,1847,1847,1847,"The J. pop. was 1,087 in 1847 and 1,063 in 1897. In 1924, under the Soviets, Jews were employedin three artisancooperatives. In 1925, 47 J. families earned their livelihoods from agriculture, founding an agricultu",,1800,
92,GLC_LWW_BLZ,Galicia,Sokal,Belz,,1413,1413,1413,1413,"There 1s a complaint against J. tailors in 1413, but the Jews may havebeenpresentmuch earlier. J.residencerights were assured by the king. About 200 died of hunger and plague during the Chmielnicki disturbances",,1400,
93,LBL_LBL_BLZY,Lublin,Lublin,Bełżyce,,1560,1560,1560,1560,"A J. settlement existing in the 1560s was sufficiently important to host meetings of the Council of the Four Lands in TheBelz Rebbe attending afuneral, 1851 1625 and 1643. The community suffered grievously in the Chmiel",,1500,
94,PTR_BRZ_BDKW,Piotrkow,Brzeziny,Będków,,1857,1857,1857,1857,"In 1857, 248 Jews lived here. With the German conquest the remaining 228 Jews left.",,1800,
95,RDM_KNS_BNDZ,Radom,Bedzin,Bendzin,,12LX,1300,1275,1275,"The first Jews settled in the surrounding villages in 1226 and in the late 13th cent. were present in the town itself, thenceforth consolidating their position as they obtained down through the years a number of royal pr",,1200,LX
96,KIV_BRD_BRDC,Kiev,Berdichev,Berdichev,1593,1593,1593,1593,1593,"Jews are first mentioned in 1593 and numbered 1,220 in 1765. The J. pop. grew significantly in the 19th cent., reaching 41,617 (total 53,351) in 1897 and 55,876 on the eve of WWI. Among the prominent rabbis serving",,1500,
97,VLH_DBN_BRST,Volhynia,Dubno,Berestechko,15MX,15MX,1575,1550,1550,"The community dates from the mid-16th cent. Only 12 of thetown's 1,000 Jews survivedtheChmielnicki massacres of 1648-1649. The community grew when B. became a transit point for Russian-Austrian trade",השומר הצעיר,1500,MX
98,VLH_NVG_BRZD,Volhynia,Novograd-Volynskii,Berezdov,17EX,1765,1765,1765,1765,"Jews numbered 205 in 1765 and 1,319 (49% of the total) in 1897. Sixty of the 100 workers in a J. owned leather goods factory were Jews. In 1919, during the Russian civil war (1918-21), Jews were attacked in a",,1700,
99,MNS_IGM_BRZN,Minsk,Igumen,Berezino,1766,1766,1766,1766,1766,"The J. pop. was 208 in 1766 and3,377 (total 4,871)in 1897.Peasants from the neighboring villages attacked Jews in 1906 and a pogrom was staged during the Russian civil war (1918-21). In 1930, under the Soviets, 20",,1700,
100,CRN_CHR_BRZN,Chernigov,Chernigov,Berezna,18EX,18EX,1850,1800,1825,"Jews settledin the early 19th cent. and numbered 1,357 (total 9,922) in 1897. J. property was pillaged and destroyed in a 1905 pogrom. The J. pop. fell to 211 in 1939 after much internal migration. Most Jews fled befo",,1800,EX
101,VLH_RVN_BRZN,Volhynia,Rovno,Berezno,15MX,15MX,1575,1550,1550,"Jews settled in the mid-16th cent. Fifty J. families lost their lives in the Chmielnicki massacres of 1648- 49 and the community did not grow significantly until the 19th cent., the J. pop. reaching a pe",,1500,MX
102,KHR_KHR_BRZN,Kherson,Kherson,Bereznegovatyi,18MX,18MX,1875,1850,1850,"J. settlement probably commenced in the mid-19th cent. A pogrom was staged on 30-31 March 1882. The J. pop. in 1939 was 271 (total 6,386). The Germans captured B. on 18 Aug. 1941 and on 15 Sept. murdered the J",,1800,MX
