line_id,code,jg_id,index_sht,prov,dist,name,presence_type,year_code,upper_bound,lower_bound,mid_range,source,ziv_yearcode,note,lon,lat,area,enc_name,enc_page,entry_source,geom_source
11,KIV_CHG_ALKS,-1049206,1612Al1,Kiev,Chigirin,Aleksandrovka,jews_arrived,17LX,1800,1775,1775,"Jews apparently arrived in the late 18th cent. and increased in number from 356 in 1847 to 3,213 (total 4,366) in 1897. In a Dec. 1919 pogrom, Anton Denikin's White Army murdered 48 Jews. In the Soviet period,",17LX,,32.23333333,48.96666667,Pale,ALEXANDROVKA,29,Ziv,jg
12,PRU_OST_ALLN,-519859,,Preussen,Olsztyn,Allenstein,first_mention,1819,1819,1819,1819,"Germany, today Poland. First evidence of a J. presence dates from 1819. With 56 members in 1820, the community grew steadilyand there were212 Jews in 1871; 471 in 1905; and 612 in 1925. In the beginning of the",,,20.48333333,53.78333333,Prussia,ALLENSTEIN,29,Shn,jg
13,VLN_TRK_OLV,-2612619,0407Ol2,Vilna,Troki,Olava,POP,1923,1923,1923,1923,"In 1923, A. had 78 Jews. In WWII all of A's. Jews were killed.",18LX,,24.2,54.35,Pale,ALOVE,31,Ziv,jg
14,KVN_TLS_OLSD,-2612624,1706Ol1,Kovno,Telshi,Olsiady,jews_present,1662,1662,1662,1662,"Jews were living here in 1662. The 1897 J. pop. was 295 (27%). In 1940 there were about 30 families. With the outbreak of WWiI, Lithuanians harassed the Jews but were stopped from killing them by the",1662,,22.05,56.03333333,Pale,ALSEDZIAI,31,Ziv,jg
15,PRU_PMM_ALTD,-498582,,Preussen,Pommern,Altdamm,first_mention,1481,1481,1481,1481,"Letters of protection (Schutzbriefe) for nine Jews in 1481 constitute the first evidence of J. settlement here. Between 1491-93, the local Jews, together with the Jews of",,,14.66666667,53.4,Prussia,ALTDAMM,32,Shn,jg
16,CRN_KRL_ALTY,-1034270,4807Al1,Chernigov,Krolevets,Altynovka,POP,1897,1897,1897,1897,"The J. pop. in 1897 was 450 (1% of the total). After their arrival on 15 Sept. 1941, the Germans murdered the few remaining Jews who had neither fled norbeen evacuated.",1897,,33.18333333,51.45,Pale,ALTINOVKA,34,Ziv,jg
17,LVL_VLK_ALKS,-3206721,2102Al1,Livland,Valk,Aluksna,jews_arrived,1890,1890,1890,1890,"Jews began settling in the 1890s and reached a pop. of 233 (total 1,976) in 1920. Though economic conditions were favorable between the wars, with Jews owning eight of the town's 31 small factories and 21 of i",1890,,27.05,57.41666667,Mainland Russia,ALUKSNE,36,Ziv,jg
18,KVN_VLK_OVNT,-2612570,1702Ov1,Kovno,Vilkomir,Ovanta,community_present,18XX,1900,1800,1850,"A.'s J. community began in the 19th cent. The J. pop. in 1923 was 222 (48% of the total). In 1939, a blood libel provoked attacks on Jews and their homes. With the Soviet occupation in fall 1940, Zionist a",18EX,,25.3,55.35,Pale,ALUNTA,36,Ziv,jg
19,KHR_ANN_ANNV,-1034285,4703An1,Kherson,Ananev,Ananev,community_present,18EX,1850,1800,1825,"An organizedJ. community existed by the early 19th cent. and numbered 3,527 (total 16,684) in 1897. Jews were victimized by pogroms in 1881, 1905, and 1919, the latter claiming 14 lives. In 1921, under Soviet rule, the",18EX,,29.96666667,47.71666667,Pale,ANANEV,42,Ziv,jg
20,VLH_ZHT_ANDR,-1034396,0801An1,Volhynia,Zhitomir,Andrushovka,first_mention,17MX,1775,1750,1750,"Jews are first mentionedin the mid-18th cent. as numbering 12. By 1897, their number stood at 430 (total 2,682) and in 1927 at 300. In the Soviet period, 80% of the Jews were artisans or laborers. A J. elementary",17MX,,29.01666667,50.01666667,Pale,ANDRUSHEVKA,44,Ziv,jg
21,GLC_CRC_ANDR,-492267,,Galicia,Wadowice,Andrychów,jews_arrived,18EX,1850,1800,1825,"Jews settled in the first half of the 19th cent., dealingmainly in cloth, and werebehind the establishment of the first mechanizedknitting plants in the second half of the cent.The community grew to 6",,,19.35,49.85,Galicia,ANDRYCHOW,44,Shn,jg
22,LMZ_OST_ANDR,-492271,5405An1,Lomza,Ostrov,Andruseevo,community_founded,18LX,1900,1875,1875,"Founded in the second half of the 19th cent., the community numbered 277 out of a total pop. of 800 in 1921. In WWII, the Germans deported its Jews to larger centers but some escaped to Soviet Russia.",18MX,,22.16666667,52.85,Congress Poland,ANDRZEJEWO,45,Ziv,jg
23,PTR_LDZ_ANDR,-492280,,Piotrkow,Brzeziny,Andrzejów,community_founded,1805,1805,1805,1805,"The J. community was foundedin 1805 at this vacationresort,eventually a suburb of Lodz. In 1921, 99 Jews lived there.",,,19.68333333,51.73333333,Congress Poland,ANDRZEJOW,45,Shn,jg
24,PRU_OST_ANGR,-534627,,Preussen,Wegorzewo,Angerburg,jews_present,1843,1843,1843,1843,"Germany, today Poland. The J. pop. grew from 27 in 1843 to 72 in 1871. By 1880, the J. pop. numbered 54. During WWI, the rented prayer room was closed and the religious instruction teacher dismissed for lack o",,,21.73333333,54.21666667,Prussia,ANGERBURG,45,Shn,jg
25,PRU_PMM_ANKL,-1740551,,Preussen,Pommern,Anklam,jews_present,1348,1348,1348,1348,"J. moneylenders in A. were burned to death in the Black Death persecutions of 1348-49. Jews only settled permanently in A. after the regulations regarding Jews in Prussia were revised in 1812. In 1816, the J. pop. of A. came",,,13.7,53.86666667,Prussia,ANKLAM,45,Shn,jg
26,VLH_OST_ANNP,-1034425,0810An1,Volhynia,Ostrog,Annopol,POP,1765,1765,1765,1765,"Jews numbered 395 in 1765 and 1,812 (82.5% of the total) in 1897. Dov Baer of Mezhirech (1704-72), one of the greatest hasidic figures, is buried in the town. The J. pop. dropped to 1,259 in 1926 and presumab",17EX,,26.9,50.45,Pale,ANNOPOL,46,Ziv,jg
27,LBL_INV_ANNP,-492321,,Lublin,Janow,Annopol,jews_arrived,16EX,1650,1600,1625,"Jews arrived in the early 17th cent. as innkeepers, distillers, and grain and cattle merchants as wellas artisans and petty traders.In the 19th cent.,A. was a centerof Torah learning. Three generations of the Rubi",,,21.85,50.88333333,Congress Poland,ANNOPOL-RACHOW,46,Shn,jg
28,SWL_MRM_ANTN,-2612699,5906An1,Suwalki,Mariampol,Antanava,POP,1923,1923,1923,1923,The J. pop. in 1923 was 192. All Jews were killed after the German conquest of 1941.,18LX,,23.28333333,54.71666667,Congress Poland,ANTANAVAS,47,Ziv,jg
29,VLH_ZSL_ANTN,-1034469,0804An1,Volhynia,Zaslavl,Antoniny,POP,1939,1939,1939,1939,The J. pop. in 1939 was 110 (3.5% of the total). The Germans occupied A. on 7 July 1941 and in July 1942 executed the Jews at the village of Manivtsy.,18LX,,26.86666667,49.8,Pale,ANTONINY,47,Ziv,jg
30,MGL_CHR_ANTN,-149302,2311An1,Mogilev,Cherikov,Antonovka,community_founded,1837,1837,1837,1837,"A. was founded in 1837 as a J. farm settlement. In 1924-25, under the Soviets, 39 J. families were engaged in agriculture.In 1930 the settlement became a kolkhoz with only ten of the J. families continuing to farm",1837,מושבה חקלאית יהודית,31.51666667,53.85,Pale,ANTONOVKA,48,Ziv,jg
31,VLH_RVN_ANTN,-1034509,0811An1,Volhynia,Rovno,Antonovka,community_founded,1833,1833,1833,1833,"A. was founded as a J. farm settlement in 1833 on 900 acres of land and numbered 620 Jews in 1897 and 482 (total535) in 1921. After A. was capturedby theGermans in July 1941, all Jews werebrought to th",1833,מושבה חקלאית יהודית,26.5,50.8,Pale,ANTONOWKA,48,Ziv,jg
32,KVN_VLK_ONKS,-2612735,1702On1,Kovno,Vilkomir,Onikshty,community_founded,16XX,1700,1600,1650,"A.'s J. community began in the 17th cent. It was hit hard by repeated fires in the late 19th and early 20th cents. The J. pop. in 1897 was 2,754 (70% of the total). On 14 July 1915 a Russianregiment stageda pogrom ag",16EX,,25.1,55.53333333,Pale,ANYKSCIAI,50,Ziv,jg
33,LVL_VLK_APPN,-3206808,2102Ap1,Livland,Valk,Appengof,POP,19EX,1935,1900,1925,The J. pop. early in the cent. was 200 but by 1935 dropped to 82 (total 922). Most stores were J.-owned. The Jews were murderedby the Germans in summer 1941.,18LX,,26.66666667,57.53333333,Mainland Russia,APE,50,Ziv,jg
34,KHR_KHR_PKRV,-1034540,4701Pk1,Kherson,Kherson,Pokrovskoe,POP,1939,1939,1939,1939,"The J. pop. in 1939 was 81 (total 9,997). The Germans captured A. on 17 Aug. 1941 and probably in fall 1941 murdered 129 Jews there.",18LX,,33.73333333,47.66666667,Pale,APOSTOLOVO,52,Ziv,jg
35,BSS_AKK_STRA,-1034623,0302St1,Bessarabia,Akkerman,Staro-Artsiz,jews_arrived,18MX,1875,1850,1850,"Jews first settled in the mid-19th cent. In 1900, 44 families were on the verge of starvation causedby drought and werehelpedby other communities. The J. pop. in 1930 was 842 (29% of the total). A",18MX,,29.41666667,45.98333333,Pale,ARCIZ,54,Ziv,jg
36,KVN_KVN_ERGL,-2612768,1701Er1,Kovno,Kovno,Eirogola,community_founded,17XX,1800,1700,1750,"A.'s J. community began in the 18th cent. By 1897 the J. pop. was 1,541 (65 %) of the total. The tribulations of WWI, fire, and emigration to the Russian interior, the U.S., South Africa, a",17EX,,23.46666667,55.26666667,Pale,ARIOGALA,54,Ziv,jg
37,TRD_PRK_ARMN,-1034582,4106Ar1,Taurida,Perekop,Armianskii bazar,jews_arrived,18LX,1900,1875,1875,"Jews probably settled in the late 19th cent. A Zionist group was already active in the early 20th cent. and the community had its own rabbi before WWI. In 1926, the J. pop. was 156, dropping to 107 (total 3,96",18LX,תנועה ציונית פעילה,33.7,46.1,Pale,ARMYIANSK,55,Ziv,jg
38,EKT_BKH_BKHM,-1034612,1303Bk1,Ekaterinoslav,Bakhmut,Bakhmut,jews_arrived,18EX,1850,1800,1825,"Jews probably settled in the early 19th cent. with the development of chemical industries, particularly the salt industry. In 1897, the J. pop. was 3,259 (total 19,316). Many Jews were killed a",18EX,,38,48.58333333,Mainland Russia,ARTIOMOVSK,56,Ziv,jg
39,CRL_TKK_ATS,-3206918,1909At1,Courland,Tukkum,Autse,jews_arrived,17XX,1800,1700,1750,"Jews arrived with the founding of the town in the 18th cent. The community was under the jurisdiction of Tukums until 1905. During WWI, J. homes and property were destroyed. In 1935 the J. pop. was 1",17EX,,22.88333333,56.46666667,Mainland Russia,AUCE,61,Ziv,jg
40,SWL_AVG_AVGS,-492452,5902Av1,Suwalki,Avgustov,Avgustov,jews_arrived,1564,1564,1564,1564,"The firstJews settled in 1564. In 1578 they were granted a charter from King StephenBathory permitting them to engage in trade and crafts,including the sale of alcoholic beverages.In the 17th cent. Jews were particul",1564,"תנועה ציונית התחילה ב 1885, לצידה היו אגודת ישראל והבונד",23,53.85,Congress Poland,AUGUSTOW,63,Ziv,jg
41,VLN_TRK_VYSK,-2612835,0407Vy1,Vilna,Troki,Vysokii dvor,jews_arrived,16XX,1700,1600,1650,"Jews began settling by the 17th cent. The J. pop. in 1888 was 194 (28% of the total). In the late 19th cent. Vilna, 40 miles away, was the source of A.'s J. cultural, educational, and economic l",16EX,תנועה ציונית פעילה,24.53333333,54.58333333,Pale,AUKSTADVARIS,64,Ziv,jg
42,SWL_MRM_PNMV,-2612858,5906Pn1,Suwalki,Mariampol,Poniemov,POP,1897,1897,1897,1897,"The J. pop. in 1897 stood at 775 (49% of the total), dropping to a few hundred in 1935. The Jews earned their living as artisans, as tradesmen, and from small industry. Prior to WWII, A.-P. wa",18EX,,23.96666667,54.85,Congress Poland,AUKSTOJI-PANEMUNE,64,Ziv,jg
43,PTR_NVR_ARLW,-492476,,Piotrkow,Noworadomsk,Aurelów,community_present,1918,1918,1918,1918,A small community existed here between the World Wars. During WWII Jews were assembled from the region and transported to extermination camps.,,,19.35,50.91666667,Congress Poland,AURELOW,64,Shn,jg
44,SWL_MRM_DBVB,-2612904,5906Db1,Suwalki,Mariampol,Debova Buda,jews_present,1899,1899,1899,1899,In 1899 a Zionist organization was founded here. Prior to WWI there were about 15 J. families. In July 1941 A.'s Jews were transported to Prienai or Marijampole and shared the fate of the,18MX,תנועה ציונית פעילה,23.51666667,54.7,Congress Poland,AZUOLU BUDA,65,Ziv,jg
45,KIV_UMN_BBNK,-1034731,1610Bb1,Kiev,Uman,Babanka,POP,1790,1790,1790,1790,"Jews numbered 42 in 1790 and under the Soviets in 1939, 103 (total 4,043). The Germans captured B. on 5 Aug. 1941, murdering the Jews in Sept.",1790,,30.45,48.7,Pale,BABENKA,66,Ziv,jg
46,KLS_KLO_BBK,-492488,,Kalisz,Kolo,Babiak,jews_present,1857,1857,1857,1857,"In 1857, 240 Jews, some of them farmers, were living here. In 1940, the 240 Jews were transported to Bugaj, and then to Chelmno.",,,18.66666667,52.35,Congress Poland,BABIAK,66,Shn,jg
47,MGL_ORS_BBNV,-1940990,2307Bb1,Mogilev,Orsha,Babinovichi,POP,1897,1897,1897,1897,"The J. pop. was 552 (total 1,157) in 1897 and 332 in 1926 under the Soviets. The Germans occupied the town in July 1941. In late April 1942, the 100 remaining Jews who had not fled or been evacuated were brought",18MX,,30.58333333,54.83333333,Pale,BABINOVICHI,66,Ziv,jg
48,KVN_KVN_BBTY,-2612928,1701Bb1,Kovno,Kovno,Bobty,jews_present,18XX,1900,1800,1850,"In the 19th cent., J. merchants developed lumber and agricultural exports to Prussia. The J. pop. in 1913 was 900 (75% of the total) and dropped to 153 in 1923. On 28 Aug. 1941Lithuanian nationalists carrie",18EX,,23.8,55.1,Pale,BABTAI,66,Ziv,jg
49,SDL_WGR_BCZK,-492601,,Siedlce,Wegrow,Baczki,jews_arrived,18LX,1900,1875,1875,"Jews first settled in the 1860s, most finding employment in factories owned by the Perlis family, which also helped Jews settle in B. by providing them with land allotments and supplies. By the end of the 19th cent., the",,,21.78333333,52.53333333,Congress Poland,BACZKI,68,Shn,jg
50,PRU_PMM_PLZN,-523032,,Preussen,Pommern,Polzin,first_mention,1711,1711,1711,1711,"Mention of a Jew in B. is first made in 1711. In 1764, there were already four J. families living in the town. In 1880, the J. pop. was 217. The community maintained asynagogue, a comm",,,16.08333333,53.75,Prussia,BAD POLZIN,76,Shn,jg
51,MGL_GRK_BV,-1941110,2304Bv1,Mogilev,Gorki,Baevo,POP,1897,1897,1897,1897,"The J. pop. was 505 (total 906) in 1897 and 243 in 1923 under the Soviets. In 1930, 15 J. families were employed at a nearby kolkhoz and also engaged in crafts. The Germans occupied B. in July 1941. In early Oct., the",18MX,,31.11666667,54.48333333,Pale,BAEVO,78,Ziv,jg
52,KVN_SHV_BSGL,-2612966,1707Bs1,Kovno,Shavli,Beisagola,community_founded,17LX,1800,1775,1775,The J. community began at the end of the 18th cent. The J. pop. in 1897 was 634 (53% of the total). The 100 Jews who lived in B. at the beginning of WWI were exiled by the Russian authorities. Aft,17LX,,23.71666667,55.63333333,Pale,BAISOGALA,79,Ziv,jg
53,SWL_SVL_BKLR,-492685,5901Bk1,Suwalki,Suvalki,Bakalarzhevo,jews_present,18LX,1900,1875,1875,"In the late 19th cent. B. became a resort and this provided many of its Jews with new livelihoods. Large numbers fled during WWI, leaving 141 out of a total pop. of 705 in 1921.Expelledby theGermans in Oct. 1939,",18LX,,22.65,54.1,Congress Poland,BAKALARZEWO,80,Ziv,jg
54,TRD_SMF_BKHC,-1034817,4101Bk1,Taurida,Simferopol,Bakhchisarai,jews_present,12EX,1250,1200,1225,"Krimchaks lived in Chufat-Kale (part of new B.) in the early 13th cent. A Karaite printing press was founded in 1734 and in 1793-94 the J. pop. was 1,162. The figure dropped to 210 (total 12,959) in 1897 an",12EX,קהילה קראית,33.86666667,44.75,Pale,BAKHCHISARAY,80,Ziv,jg
55,CRN_KNT_BKHM,-1034820,4806Bk1,Chernigov,Konotop,Bakhmach,jews_present,1897,1897,1897,1897,"B. developed as a railroad junction in the 1860s and 1870s andhad a J.pop. of 491 in 1897.Pogroms were staged in 1905 andin Sept. 1919.In 1939, the Jewsnumbered 295 (total 10,226). The Germans arrived on 10 Sept. 19",1870,,32.76666667,51.21666667,Pale,BAKHMACH,80,Ziv,jg
56,VLN_OSH_BKSH,-1941013,0405Bk1,Vilna,Oshmiany,Bakshty,POP,1897,1897,1897,1897,"The J. pop. was 172 in 1897 (total 1,461), declining to 55 in the 1920s. The Germans transferredmost to the Iwie ghetto where they were murdered on 12 May 1942.",18MX,,26.18333333,53.93333333,Pale,BAKSZTY,80,Ziv,jg
57,KIV_LPV_BLBN,-1034851,1606Bl1,Kiev,Lipovets,Balabanovka,jews_present,17LX,1800,1775,1775,"About ten Jews were present in the latter half of the 18th cent. In 1897, they numbered 493 (total 3,089) and 124 in 1926. The Nazis murdered 38 by Dec. 1942.",17LX,,29.61666667,49.11666667,Pale,BALABANOVKA,80,Ziv,jg
58,TRD_SVS_BLKL,-1034856,4110Bl1,Taurida,Sevastopol,Balaklava,jews_present,1919,1919,1919,1919,"A council of Russian Zionists convened here on 18-22 Sept. 1919 with the participation of Meir Dizengoff, future mayor of Tel Aviv. In 1939, the J. pop. was 104 (total 5,148). The Germans occupied B. on 30 Nov",18LX,תנועה ציונית פעילה,33.6,44.5,Pale,BALAKLAVA,80,Ziv,jg
59,SWL_MRM_BLVR,-2612996,5906Bl1,Suwalki,Mariampol,Balverzhishki,community_founded,16MX,1675,1650,1650,"The J. community began in the mid-17th cent. The J. pop. in 1897 was 925 (45% of the total). By 1923 the J. pop. had fallen to 507, economic conditions caused further emigration, and by 19",16MX,תנועה ציונית פעילה,23.88333333,54.53333333,Congress Poland,BALBIERISKIS,81,Ziv,jg
60,GLC_LWW_BLGR,-492736,,Galicia,Lisko,Baligród,jews_arrived,17LX,1800,1775,1775,"The first Jews arrived from Lesko and Sanok in the late 18th cent. The community led a typical village life under hasidic dominance. Tradesmen set up their stalls and carts on market and fair days, some ran inns, and a fe",,,22.28333333,49.33333333,Galicia,BALIGROD,81,Shn,jg
61,POD_KMN_BLN,-1034883,3201Bl1,Podolia,Kamenets-Podolsk,Balin,jews_arrived,17XX,1800,1700,1750,"Jews settled in the 18th cent., dwindling in number after Haidamak attacks. In 1897, the J. pop. was 357 (22% of the total). A J. kolkhoz was active between the World Wars. The Germans captured B. on 10 July 1",17EX,,26.68333333,48.86666667,Pale,BALLIN,82,Ziv,jg
62,KVN_VLK_BLNK,-2613022,1702Bl1,Kovno,Vilkomir,Bolniki,community_founded,17LX,1800,1775,1775,The J. community was established at the end of the 18th cent. The J. pop. in 1897 was 255 (44% of the total) and dropped to 142 in 1933. Lithuanian nationalists took control of B. after the German inv,17EX,,25.13333333,55.3,Pale,BALNINKAI,82,Ziv,jg
63,POD_BLT_BLT,-1034900,3202Bl1,Podolia,Balta,Balta,jews_arrived,15EX,1550,1500,1525,"J. settlement commenced in the early 16th cent., when the city was located on the border between Poland and the Ottoman Empire. In 1768, the Jews were victimized in Haidamak pogroms. In 1791, the city was annexed to the",15EX,,29.61666667,47.93333333,Pale,BALTA,82,Ziv,jg
64,BSS_BLT_BLTS,-2276030,0304Bl1,Bessarabia,Bieltsy,Beltsy,jews_arrived,17LX,1800,1775,1775,"Jews were amongthe foundersofB. in the late 18th cent. The J. pop. in 1897 was 10,348 (56% of the total). In 1918 a J. elementary school and high schools for boys and girls were opened wi",17LX,היהודים היו בין מקימי העיירה,27.93333333,47.76666667,Pale,BALTI,82,Ziv,jg
65,POD_MGL_BR,-1034926,3208Br1,Podolia,Mogilev,Bar,jews_arrived,15XX,1600,1500,1550,"Jews settled in the 16th cent. In 1648 Chmielnicki's troops killed 2,000 Jews who, together with the Poles, were defending the local fortress. The J. pop. was 547 in 1787 and 5,773 in 1897. The community maintained a syna",15EX,,27.66666667,49.06666667,Pale,BAR,86,Ziv,jg
66,MGL_ORS_BRN,-1941033,2307Br1,Mogilev,Orsha,Baran,jews_present,1929,1929,1929,1929,"In 1929, 17 J. families worked on a kolkhoz and in 1939 the J. pop. was 81 (total 1,589). The Germans arrived on 16 July 1941.In Sept. all the Jews werebrought to two houses and held there for months. On 8 April 1942",18LX,,30.31666667,54.48333333,Pale,BARAN,86,Ziv,jg
67,GLC_LWW_BRNW,-492818,,Galicia,Tarnobrzeg,Baranów,community_founded,17XX,1800,1700,1750,"Jews are mentioned from the 14th cent. but the community apparently ceased to exist with the upheavals of the mid-17th cent. After renewal in the 18th cent., the J. pop. grew to 1,491 (total 2,371) in 1890, at which ti",,,21.53333333,50.48333333,Galicia,BARANOW (I),87,Shn,jg
68,LBL_PLW_BRNW,-492799,,Lublin,Pulawy,Baranów,jews_arrived,16XX,1700,1600,1650,"Jews settled in the 17th cent.,becomingdominant in manufacturing and marketing alcoholic beverages. They supplemented their income supplying a Russian garrison stationednearby following the constructionof barracks i",,,22.15,51.56666667,Congress Poland,BARANOW (II),88,Shn,jg
69,MNS_NVG_BRNV,-1941035,2206Br1,Minsk,Novogrudok,Baranovichi,jews_arrived,1870,1870,1870,1870,"Jews began settling in leased forest areas in the 1870s and by 1897 numbered 2,171 (total 4,692). The J. settlement continued to grow at an accelerated pace, reaching a pop. of 8,000 on the eve of W",1870,,26.03333333,53.13333333,Pale,BARANOWICZE,88,Ziv,jg
70,VLH_ZHT_BRSH,-1034965,0801Br1,Volhynia,Zhitomir,Barashi,first_mention,1752,1752,1752,1752,A J. community is first mentioned in 1752 in connection with an argumentbetweenthePinsk community andthe Council of the Four Lands. It numbered 100 families in the late 19th cent. A large porcelain factory was located,1752,,28.01666667,50.71666667,Pale,BARASHI,88,Ziv,jg
71,KVN_TLS_BRST,-2613110,1706Br1,Kovno,Telshi,Barstichai,POP,1923,1923,1923,1923,In 1923 the J. pop. was 87. All B.'s Jews were killed in the Holocaust.,18LX,,21.86666667,56.16666667,Pale,BARSTYCIAI,90,Ziv,jg
72,PRU_OST_BRTN,-492966,,Preussen,Frydlad,Bartenstein,first_mention,1737,1737,1737,1737,"Germany,today Poland.The first evidenceof a J.presenceinB. dates from 1737.TheJ.pop. numbered86 in 1880, declining to 60-65 in the Weimar years. The community established acemetery (about 1820) and asynago",,,20.81666667,54.25,Prussia,BARTENSTEIN,91,Shn,jg
73,SWL_VLK_BRTN,-2613121,5904Br1,Suwalki,Volkovyshki,Bartniki,POP,1923,1923,1923,1923,The J. pop. in 1923 was 93 (24% of the total). All Jews were killed in the Holocaust.,18LX,,23.05,54.5,Congress Poland,BARTININKAI,91,Ziv,jg
74,GLC_TRN_BRYS,-1035000,,Galicia,Buczacz,Barysz,community_present,18LX,1900,1875,1875,"Poland. today Belarus.,,,,,,,

The J. community of a few hundred constituted 5-10% of the total J. pop. from the late 19th cent. on. The Jews were expelledto Buczaczby theGermans in Oct.1942 and shared the fate of the local Jews.""""""""",,,25.26666667,49.03333333,Galicia,BARYSZ,91,Shn,jg
75,PLT_PRS_BRYS,-1035001,3311Br1,Poltava,Pereiaslav,Baryshevka,POP,1897,1897,1897,1897,"Jews numbered 462 in 1897 and 134 (total 2,401) under the Soviets in 1939. The Germans captured B. on 17 Aug. 1941 and murdered the Jews shortly afterwards.",18EX,,31.33333333,50.36666667,Pale,BARYSZEVKA,91,Ziv,jg
76,KVN_RSS_BTK,-2613151,1705Bt1,Kovno,Rossieny,Botoki,POP,19EX,1950,1900,1925,"Before WWIB.'s J.pop. wasapproximately 50 families, most of whom were expelled during the war. In 1940 there were approximately ten families. After the Germans entered B. on 22-23 June 1941, J. women an",18LX,,22.51666667,55.35,Pale,BATAKIAI,91,Ziv,jg
77,GLC_TRN_BTTY,-1035044,,Galicia,Kamionka,Batiatycze,POP,1921,1921,1921,1921,The J. pop. in 1921 was 195. Its Jews werepossibly expelledto Kamionka Strumilowa for liquidation in summer-early fall 1942.,,,24.26666667,50.1,Galicia,BATIATYCZE,92,Shn,jg
78,CRL_BSK_BSK,-3207144,1902Bs1,Courland,Bausk,Bausk,jews_arrived,17LX,1800,1775,1775,"Lithuanian Jews first settled in the Sloboda suburb of B. across the Lielupe River in the late 18th cent. and were only permitted to settle in the town proper under Russian rule, establishing an organized comm",17LX,,24.18333333,56.4,Mainland Russia,BAUSKA,92,Ziv,jg
